name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Paragon,paragon,Battleship,High Tech,fortressshield,30,18000,1500,25000,31250,1250,370,,30,15,10,5,5,3500,OMNI,,360,0.6,0.6,,,400,1000,300,300,10,30,7,500000,4,20,720,0.25,60,60,,,,,,,,"rare_bp, hist3t, merc",,0.6,2,4,,504
#Staple,missp_staple,Battleship,Midline,maneuveringjets,26,18000,1600,25000,25000,1200,365,,40,20,15,6,4,3000,OMNI,,180,0.5,1.4,,,600,1200,400,400,15,27,8,350000,3,13,720,0.25,40,40,,"musashi_bp,independent,luddic_church",,0.5,2,4,515,,,,,,,
#Expedition,missp_expedition,Battlecarrier,Low Tech,targetingfeed,24,20000,1600,18000,20000,1000,241,4,30,15,10,5,3,4000,OMNI,,120,0.5,1,,,2000,6000,1200,1200,30,40,6,400000,2,20,600,0.25,50,50,CARRIER,,,0.7,2,4,518,,,,,,,
#Odyssey,odyssey,Battlecruiser,High Tech,microburn,25,10000,1000,15000,25000,1000,280,2,70,50,40,8,12,2500,OMNI,,180,0.25,1,,,400,800,400,450,8,56,8,330000,4,20,600,0.25,45,45,,,,,,,,"rare_bp, hist3t, merc",,0.6,2,4,,505
#Venture,venture,Cruiser,Low Tech,fastmissileracks,10,10000,1250,7000,6000,300,110,1,40,15,10,12,6,1500,OMNI,,120,0.4,1,,,125,350,350,120,3,40,7,110000,5,10,540,0.25,15,15,,,,,,,,"base_bp, merc",,0.4,2,3,,402
#Apogee,apogee,Cruiser,High Tech,flarelauncher_active,14,9000,750,12000,14000,700,140,,60,40,30,20,25,2000,FRONT,,360,0.6,0.7,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,18,18,,,,,,,,"hightech_bp, merc",,0.6,2,3,,403
#Hammerhead,hammerhead,Destroyer,Midline,ammofeed,10,5000,500,4200,4167,250,95,,90,60,40,30,60,400,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,40000,5,12,360,0.25,10,10,,,,,,,,"midline_bp, merc",,0.5,2,3,,300
#Sunder,sunder,Destroyer,Midline,highenergyfocus,10,4000,250,7500,8333,500,105,,90,80,60,30,30,350,FRONT,,300,0.4,1.2,,,50,70,80,50,2,25,9,45000,5,15,300,0.25,11,11,,,,,,,,"midline_bp, merc",,0.5,2,3,,301
#Condor,condor,Light Carrier,Low Tech,fastmissileracks,9,5000,500,2200,1833,110,45,2,40,30,20,20,10,400,OMNI,,120,0.4,1.2,,,90,150,120,30,2,15,9,32000,5,10,360,0.25,10,10,,,,,,,CARRIER,base_bp,,0.5,2,3,,302
#Enforcer,enforcer,Destroyer,Low Tech,burndrive,10,6000,900,4000,3333,200,110,,60,40,20,30,20,500,OMNI,,150,0.4,1,,,60,100,90,90,3,30,9,38000,5,12,420,0.25,9,9,,,,,,,,"lowtech_bp, merc",,0.4,2,3,,303
#Atlas,atlas,Superfreighter,Low Tech,flarelauncher,7,8000,250,4000,5000,200,65,,25,5,2,3,2,4000,OMNI,,45,0.5,1,,,50,100,2000,400,6,67,6,75000,2,20,720,0.25,10,10,200,333,,,,,"CIVILIAN, FREIGHTER","rare_bp, merc",,0.7,2,4,,502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Xyphos,xyphos,,High Tech,,,450,50,600,,50,0,,160,300,250,90,180,30,OMNI,,160,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,103
#Broadsword,broadsword,,Low Tech,flarelauncher_fighter,,750,100,80,,10,0,,200,400,350,90,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
#Piranha,piranha,,Low Tech,,,500,75,200,,100,0,,150,200,200,40,120,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,105
#Trident,trident,,High Tech,,,500,25,500,,50,0,,130,150,125,30,90,50,OMNI,,180,0,1,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Lasher,lasher,Frigate,Low Tech,ammofeed,5,1750,300,2100,1750,140,55,,120,110,90,60,90,200,FRONT,,210,0.4,1,,,25,50,40,25,1,25,10,9000,8,10,240,0.25,4,4,,,,,,,,"lowtech_bp, merc",,0.4,2,2,,204
#Omen,omen,Frigate,High Tech,emp,6,750,125,2500,2500,200,40,,155,220,175,120,360,100,OMNI,,360,0.3,0.6,,,10,20,30,20,1,20,10,20000,10,20,180,0.25,5,5,,,,,,,,"rare_bp, merc",,0.5,2,2,,205
#Tempest,tempest,Frigate,High Tech,highenergyfocus,8,1250,200,2500,2813,225,50,1,180,200,175,90,270,200,OMNI,,120,0.2,0.8,,,15,25,30,20,1,20,11,36000,10,20,180,0.25,8,8,,,,,,,,"rare_bp, hist1t, merc",0.75,0.5,2,2,,206
#Astral,astral,Carrier,High Tech,recalldevice,27,10000,900,12000,15000,600,270,6,30,15,10,7,4,3000,FRONT,,360,0.7,0.6,,,450,1000,250,200,10,20,7,400000,3,15,600,0.25,50,50,,,,,,,CARRIER,"rare_bp, merc",,0.6,2,4,,501
