id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
A_S-F_micropulser_shot,projectile,55,0.2,0.2,"[100,120,255]",,60,0.2,0.35,"[50,85,225]",50,0.1,0.3,"[100,120,255]",,0.4,TRUE
A_S-F_nieuport_shot,projectile,90,0.25,0.3,"[200,255,200]",,90,0.2,0.5,"[200,255,200]",,,,,,1,TRUE
A_S-F_nieuport_shot_sub_1,projectile,90,0.25,0.3,"[200,255,200]",,90,0.2,0.5,"[200,255,200]",,,,,,1,TRUE
A_S-F_nieuport_shot_sub_2,projectile,92,0.25,0.3,"[200,255,200]",,92,0.2,0.5,"[200,255,200]",,,,,,1,TRUE
A_S-F_nieuport_shot_sub_3,projectile,94,0.25,0.3,"[200,255,200]",,94,0.2,0.5,"[200,255,200]",,,,,,1,TRUE
A_S-F_nieuport_shot_sub_4,projectile,97,0.25,0.3,"[200,255,200]",,97,0.2,0.5,"[200,255,200]",,,,,,1,TRUE
A_S-F_nieuport_shot_sub_5,projectile,100,0.25,0.3,"[200,255,200]",,100,0.2,0.5,"[200,255,200]",,,,,,1,TRUE
A_S-F_phantasmagoria_cutter_overcharge_shot,projectile,130,0.4,0.25,"[100,190,255]",,125,0.3,0.5,"[125,145,255]",120,0.3,0.5,"[100,150,255]",,1,FALSE
A_S-F_phantasmagoria_cutter_shot,projectile,100,0.2,0.2,"[190,100,255]",,100,0.2,0.3,"[145,125,255]",70,0.1,0.3,"[100,150,255]",,1,FALSE
A_S-F_phantasmagoria_piercer_overcharge_shot,projectile,160,0.6,0.35,"[255,90,200]",,160,0.4,0.7,"[225,75,225]",170,0.5,0.7,"[160,90,255]",,1,FALSE
A_S-F_phantasmagoria_piercer_shot,projectile,130,0.4,0.3,"[200,90,255]",,125,0.3,0.5,"[185,85,255]",120,0.25,0.5,"[160,90,255]",,1,FALSE
A_S-F_phantasmagoria_slicer_overcharge_shot,projectile,100,0.2,0.2,"[70,220,255]",,100,0.2,0.3,"[70,220,255]",90,0.1,0.6,"[80,170,255]",,1,FALSE
A_S-F_phantasmagoria_slicer_shot,projectile,80,0.15,0.2,"[100,190,255]",,80,0.15,0.25,"[90,185,255]",80,0.1,0.4,"[80,170,255]",,1,FALSE
A_S-F_plas_b_shot,projectile,100,0.3,0.5,"[255,100,150]",,130,0.4,1,"[255,100,150]",130,0.25,0.5,"[255,100,150]",,1,TRUE
A_S-F_quicksand_shot,projectile,90,0.2,0.2,"[255,210,70]",,120,0.2,0.5,"[255,210,70]",70,0.15,0.3,"[255,165,105]",,0.5,TRUE
A_S-F_sakset_shot,projectile,140,0.4,0.3,"[245,255,155]",,140,0.42,0.75,"[45,45,255]",190,0.5,0.35,"[175,225,175]",,1,TRUE
A_S-F_salmson_shot,projectile,80,0.2,0.3,"[255,100,70]",,100,0.3,0.9,"[255,100,70]",75,0.2,0.4,"[255,125,105]",,1,TRUE
A_S-F_silaha_shot,projectile,160,0.4,0.2,"[75,255,95]",,175,0.45,1,"[135,255,155]",220,0.55,0.3,"[90,220,90]",,1,TRUE
A_S-F_spellbind_shot,projectile,300,0.4,0.49,"[155,225,75]",,,,,"[155,225,75]",190,0.5,0.8,"[185,255,130]",,1,TRUE
A_S-F_stamp_shot,projectile,80,0.2,0.3,"[255,65,50]",,90,0.2,0.5,"[255,65,50]",80,0.1,0.15,"[255,150,120]",,1,TRUE
A_S-F_sumake_shot,projectile,60,0.08,0.15,"[75,255,75]",,110,0.1,0.5,"[210,90,210]",60,0.05,0.4,"[150,70,150]",,1,TRUE
A_S-F_x-pulse_shot,projectile,130,0.25,0.25,"[25,0,255]",,150,0.3,0.7,"[25,0,255]",130,0.25,0.2,"[125,100,255]",,1,TRUE
A_S-F_zalak_bolt_shot,projectile,110,0.25,0.3,"[0,255,150]",,150,0.3,0.75,"[50,255,160]",140,0.2,0.2,"[60,255,140]",,1,TRUE
A_S-F_heatstroke_shot,projectile,200,0.5,0.6,"[255,101,77]",,280,0.85,1,"[255,101,77]",190,0.5,0.85,"[255,101,77]",,1,TRUE
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"# ""SPECIAL PROJ""",,,,,,,,,,,,,,,,,
A_S-F_chillblain_field_proj,projectile,750,0.6,0.1,"[40,120,240]",,,,,,,,,,,1,FALSE
A_S-F_naxdin_bolt_shot,projectile,100,0.2,0.15,"[0,255,150]",,,,,,,,,,,1,FALSE
A_S-F_naxdin_burst_shot,projectile,150,0.3,0.15,"[70,155,100]",,200,0.3,0.5,"[110,180,230]",,,,,,1,FALSE
A_S-F_spellbind_flak,projectile,100,0.2,0.15,"[155,225,75]",,150,0.2,0.7,"[170,200,80]",,,,,,,
A_S-F_heatstroke_sub_shot,projectile,70,0.15,0.5,"[255,101,77]",,120,0.15,0.5,"[255,101,77]",80,0.1,0.4,"[255,101,77]",,1,TRUE
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# MISSILE,,,,,,,,,,,,,,,,,
A_S-F_akvavit_srm,projectile,90,0.3,0.2,"[65,160,250]",3,100,0.2,0.8,"[48,120,240]",,,,,,1,FALSE
A_S-F_albatreos_missile,projectile,150,0.45,0.75,"[255,172,69]",8,350,0.55,1.2,"[255,172,69]",,,,,,1,FALSE
A_S-F_aspina_srm,projectile,80,0.25,0.2,"[250,95,40]",2,90,0.2,0.7,"[240,100,52]",,,,,,1,FALSE
A_S-F_AURA_missile,projectile,100,0.36,0.3,"[250,150,75]",1,120,0.2,0.9,"[200,170,75]",,,,,,1,FALSE
A_S-F_bip_split,projectile,90,0.25,0.3,"[75,145,255]",7,200,0.3,0.75,"[255,165,50]",,,,,,1,FALSE
A_S-F_bipartisan_lrm,projectile,100,0.25,0.15,"[75,145,255]",10,200,0.3,0.75,"[255,165,50]",,,,,,1,FALSE
A_S-F_bramble_bomb,projectile,,,,,,200,0.2,1,"[255,155,125]",,,,,,1,FALSE
A_S-F_cauldron_torp,projectile,155,0.7,0.45,"[220,80,240]",10,750,0.95,1.7,"[220,80,240]",,,,,,1,FALSE
A_S-F_chillblain_missile,projectile,333,1,0.2,"[100,150,255]",,900,1.25,1.8,"[100,150,255]",,,,,,1,FALSE
A_S-F_cockatrice_torp,projectile,150,0.6,0.5,"[80,175,200]",13,550,0.8,1.15,"[200,225,255]",,,,,,1,FALSE
A_S-F_contradict_rocket,projectile,135,0.32,0.5,"[255,135,50]",8,275,0.3,0.95,"[255,100,100]",,,,,,1,FALSE
A_S-F_copperhead_mssl,projectile,75,0.15,0.5,"[255,125,105]",4,80,0.3,0.4,"[255,125,105]",55,0.1,0.4,"[255,125,105]",,1,FALSE
A_S-F_destructor_rocket,projectile,110,0.25,0.4,"[255,125,25]",11,330,0.3,1,"[255,165,0]",,,,,,1,FALSE
A_S-F_flak_screen_proj,projectile,,,,,,300,0.2,1,"[255,228,165]",,,,,,1,FALSE
A_S-F_formia_orb,projectile,140,0.4,0.5,"[75,150,255]",,190,0.45,1,"[75,150,255]",,,,,,1,FALSE
A_S-F_formia_orb_sys,projectile,120,0.36,0.5,"[75,150,255]",,170,0.4,0.9,"[75,150,255]",,,,,,1,FALSE
A_S-F_gaderoga_mssl,projectile,75,0.15,0.5,"[235,115,45]",6,90,0.2,0.6,"[255,125,50]",,,,,,1,FALSE
A_S-F_gaderoga_rkt,projectile,75,0.15,0.4,"[150,225,205]",5,120,0.2,0.7,"[150,225,205]",,,,,,1,FALSE
A_S-F_gimbal_mssl,projectile,90,0.15,0.5,"[175,255,150]",5,125,0.2,0.65,"[150,255,175]",,,,,,1,TRUE
A_S-F_gimbal_mssl_bomber,projectile,90,0.15,0.5,"[175,255,150]",5,125,0.2,0.65,"[150,255,175]",,,,,,1,TRUE
A_S-F_grandum_torp,projectile,140,0.5,0.75,"[235,255,155]",9,450,0.6,1.25,"[235,255,155]",,,,,,1,FALSE
A_S-F_henki_mssl,projectile,80,0.2,0.2,"[195,235,40]",5,90,0.2,0.6,"[225,225,65]",,,,,,1,FALSE
A_S-F_kombora_missile,projectile,90,0.25,0.3,"[130,200,70]",6,200,0.3,0.75,"[100,255,50]",,,,,,1,FALSE
A_S-F_lamia_main,projectile,145,0.3,0.5,"[100,210,210]",9,210,0.4,0.75,"[100,205,205]",,,,,,1,FALSE
A_S-F_lerna_main,projectile,170,0.3,0.5,"[100,210,210]",11,350,0.4,0.85,"[100,205,205]",,,,,,1,FALSE
A_S-F_lerna_sub,projectile,100,0.2,0.1,"[100,210,210]",,170,0.2,0.5,"[100,205,205]",,,,,,1,FALSE
A_S-F_light_canister_flak,projectile,,,,,,200,0.2,1,"[255,228,165]",,,,,,1,FALSE
A_S-F_lilin_missile,projectile,150,0.3,0.75,"[220,255,155]",8,200,0.35,0.9,"[100,255,50]",,,,,,1,FALSE
A_S-F_moros,projectile,150,0.45,0.6,"[200,150,140]",7,350,0.5,1,"[200,150,140]",,,,,,1,FALSE
A_S-F_nasibu_missile_dummy,projectile,150,0.25,0.9,"[70,175,150]",4,150,0.3,0.7,"[70,185,150]",,,,,,1,FALSE
A_S-F_naxdin_torp,projectile,170,0.6,0.5,"[165,255,225]",11,750,0.8,1.5,"[155,255,235]",,,,,,1,FALSE
A_S-F_omer_srm,projectile,80,0.2,0.2,"[250,155,40]",2,85,0.2,0.6,"[238,212,52]",,,,,,1,FALSE
A_S-F_persis_frag,projectile,70,0.15,0.25,"[190,255,215]",3,70,0.2,0.4,"[190,255,215]",,,,,,1,FALSE
A_S-F_persis_missile,projectile,170,0.3,0.5,"[175,255,210]",6,200,0.35,0.9,"[175,255,210]",,,,,,1,FALSE
A_S-F_phantasmagoria_micro_missile,projectile,80,0.25,0.3,"[180,140,255]",4,100,0.2,0.7,"[215,210,255]",,,,,,1,FALSE
A_S-F_phantasmagoria_missile,projectile,100,0.35,0.3,"[200,120,255]",7,180,0.25,0.9,"[225,200,255]",,,,,,1,FALSE
A_S-F_phantasmagoria_missile_stk,projectile,160,0.4,0.3,"[255,120,200]",8,260,0.35,1.1,"[255,200,225]",,,,,,1,FALSE
A_S-F_philia_srm,projectile,120,0.35,0.2,"[241,155,232]",4,150,0.25,0.9,"[240,155,230]",,,,,,1,FALSE
A_S-F_rainstorm_mssl,projectile,120,0.25,0.5,"[150,225,205]",5,150,0.2,0.7,"[150,225,205]",,,,,,1,TRUE
A_S-F_sprocket_srm,projectile,100,0.25,0.5,"[125,255,100]",5,200,0.2,1,"[100,255,100]",,,,,,1,FALSE
A_S-F_tereshkov_rocket,projectile,140,0.5,0.5,"[220,95,70]",8,450,0.6,1.25,"[175,90,50]",,,,,,1,FALSE
A_S-F_termite_srm,projectile,120,0.25,0.3,"[40,250,165]",6,200,0.2,0.75,"[180,200,245]",,,,,,1,FALSE
A_S-F_thicket_clu,projectile,,,,,,200,0.2,1,"[255,155,125]",,,,,,1,FALSE
A_S-F_thicket_mirv,projectile,150,0.3,0.75,"[120,70,50]",9,275,0.3,1,"[255,150,100]",,,,,,1,FALSE
A_S-F_thicket_sb,projectile,,,,,,250,0.2,1,"[255,150,100]",,,,,,1,FALSE
A_S-F_twister_mirv,projectile,100,0.3,0.5,"[255,145,75]",14,175,0.4,1,"[255,165,0]",,,,,,1,FALSE
A_S-F_twister_submunition,projectile,80,0.25,0.3,"[255,145,75]",3,135,0.25,0.8,"[255,165,0]",,,,,,0.75,FALSE
A_S-F_wasteland_mine,projectile,,,,,,220,0.3,1,"[255,155,125]",,,,,,1,FALSE
A_S-F_wasteland_mirv,projectile,140,0.5,0.5,"[120,90,30]",11,240,0.5,1.2,"[255,150,100]",,,,,,1,FALSE
A_S-F_wasteland_srm,projectile,75,0.15,0.5,"[255,150,75]",6,90,0.2,0.6,"[255,165,50]",,,,,,1,TRUE
A_S-F_weaver_rocket,projectile,75,0.15,0.4,"[255,120,20]",6,150,0.2,1,"[255,140,0]",,,,,,1,FALSE
A_S-F_zweig_srm_missile,projectile,90,0.15,0.5,"[235,185,45]",6,100,0.2,0.65,"[225,195,65]",,,,,,1,TRUE
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# BEAM,,,,,,,,,,,,,,,,,
A_S-F_cockatrice_payload,beam,180,1.6,,"[125,215,255]",,450,0.8,,"[95,185,210]",260,0.8,,"[95,185,210]",,1,FALSE
A_S-F_joro_heavyburst,beam,80,0.7,,"[175,100,255]",,250,0.35,,"[30,0,155]",,,,,,1,TRUE
A_S-F_kufikiri,beam,35,0.35,,"[255,95,95]",,,,,,,,,,,1,FALSE
A_S-F_p_ion,beam,35,0.45,,"[115,190,165]",,100,0.25,,"[25,175,125]",50,0.25,,"[25,175,125]",,1,TRUE
A_S-F_p_ion_f,beam,35,0.45,,"[115,190,165]",,100,0.25,,"[25,175,125]",50,0.25,,"[25,175,125]",,1,TRUE
A_S-F_paladin_tri,beam,15,0.95,,"[130,75,75]",,45,0.45,,"[130,75,75]",,,,,,1,FALSE
A_S-F_paladin_tri_mod,beam,20,1,,"[75,130,75]",,55,0.5,,"[75,130,75]",,,,,,1,FALSE
A_S-F_strobe,beam,30,0.6,,"[160,130,185]",,140,0.4,,"[160,130,185]",,,,,,1,FALSE
A_S-F_tacLance,beam,45,0.45,,"[130,240,130]",,130,0.25,,"[10,245,10]",65,0.25,,"[10,245,10]",,1,TRUE
A_S-F_targetinglaser_cockatrice,beam,15,0.45,,"[50,120,145]",,45,0.25,,"[50,120,145]",,,,,,1,FALSE
A_S-F_targetinglaser_silaha,beam,25,0.5,,"[85,145,85]",,60,0.3,,"[85,145,85]",,,,,,1,FALSE
A_S-F_zalak,beam,70,1,,"[90,255,165]",,190,0.5,,"[90,255,165]",100,0.5,,"[90,255,165]",,1,FALSE
A_S-F_quad_multi-lance,beam,75,0.25,,"[130,240,130]",,190,0.15,,"[10,245,10]",95,0.15,,"[10,245,10]",,1,FALSE
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
