id,trigger,conditions,script,text,options,notes,New Column,Column 09
mimokko_home_zero1_10,DialogOptionSelected,$option == mimikko_Inhome_zero1_8,"$global.arianameet_mission = true
BeginMission mimikko_arianameet","After chatting some more with Zero, you left the dorm and begin examining your Tripad.
 
Based on information from Zero, you should prepare protective equipment against a massive amount of radiation, weapon to deal with emergencies, and finally, an Alpha Core.

You don't know what will happen in the operation, but you should be prepared before heading out.
",100:defaultLeave:Leave,,,
#零_摸头,,,,,,,,
mimokko_home_zero3_1,mimikko_home_zero,,,"""Have Zero, been good today?""",5:mimikko_Inhome_zero3_1:Pat her,,,
mimokko_home_zero3_2,DialogOptionSelected,"$option == mimikko_Inhome_zero3_1
",,"""Zero, is needed, right?""",5:mimikko_Inhome1:Do something else,,,
#零_LPC,,,,,,,,
mimokko_home_zero2_1,PopulateOptions,"$market.isPlayerOwned
$menuState == main
!$global.zerofighter
mmOfficertest 2 Mimikko_zero 1","mmAddtext ""Zero seems to be looking for you for something?"" 2 225 255",,,,,
mimokko_home_zero2_2,mimikko_home_zero,"!$global.zerofighter
mmOfficertest 2 Mimikko_zero 1","SetStoryOption mimikko_Inhome_zero2_1 2 avoidCargoScan ui_char_spent_story_point ""What is Wrong?""","""Captain""",5:mimikko_Inhome_zero2_1:What's wrong?,,,
mimokko_home_zero2_3,DialogOptionSelected,"$option == mimikko_Inhome_zero2_1
",,"You instinctively wanting to touch Zero's head, but you suddenly remember she has something to talk to you about.
You retract your hand and focus your attention to Zero.

""After being with captain for sometime, Zero thinks that Captain is a very warm person. There are many things Zero doesnt quite understand, so Zero wishes to ask the captain.",5:mimikko_Inhome_zero2_2:Go ahead,,,
mimokko_home_zero2_4,DialogOptionSelected,$option == mimikko_Inhome_zero2_2,,"""Actually, long time ago, Zero had a father, he would pat Zero's head like the captain, and take me out to eat good food and have all kinds of fun!""

As you listen to Zero, you cannot help but look at her worryingly. It seems she is talking about a beautiful memory, yet she seems so......sad.",5:mimikko_Inhome_zero2_3:Continue,,,
mimokko_home_zero2_5,DialogOptionSelected,$option == mimikko_Inhome_zero2_3,,"""Although he was really really busy, and don't have much time to play with Zero, when he played with Zero, his expression wont be stiff like usual times.""

Zero called upon her data slate and begin to search something, but she soon gave up after trying for a while. ",5:mimikko_Inhome_zero2_4:Then?,,,
mimokko_home_zero2_6,DialogOptionSelected,$option == mimikko_Inhome_zero2_4,,"""When we were playing in a ancient forest park, we were suddenly attacked. Father suddenly changed, he was very angry to Zero, even though he still protected Zero. In the end, he locked Zero into the shelter and to Zero he doesn’t need Zero anymore...""

Her voice grew quieter and quieter, until you cannot hear what she was saying in the end. The reaction from her emotion system has overridden normal programming, you can clear tell it is no longer right to call this girl an AI.
",5:mimikko_Inhome_zero2_5:Zero!,,,
mimokko_home_zero2_7,DialogOptionSelected,$option == mimikko_Inhome_zero2_5,,"You tightly hugged Zero. 

""There is no way he doesn't need you, analyze, why is it that he only appears relaxed when he plays with you?""

""But he..."" Water begin to form around the corner of Zero's eyes, she even begins to avoid your gaze.
",5:mimikko_Inhome_zero2_6:Gently pat her head,,,
mimokko_home_zero2_8,DialogOptionSelected,$option == mimikko_Inhome_zero2_6,,"""Idiot, A father would never want their daughter to get hurt. As you are his daughter and an artificial intelligence, of course you'd want to protect him as well.""

""So...Sorry Ca...Captain,Zero's language mod...ule,Is a bit ch..chaotic"" Big droplet of water leave the corner of her eyes, she is no different from a real person.
",5:mimikko_Inhome_zero2_7:Hug her tightly again,,,
mimokko_home_zero2_9,DialogOptionSelected,$option == mimikko_Inhome_zero2_7,,"""Your father definitely did not tell you that he doesn't need you because he hated you. The only way for you to give up protecting him is to make you hate him, that's the only way he can protect you. That's true selfless love!""

For a long time, Zero said nothing, she just lay quietly in your arms. 
",5:mimikko_Inhome_zero2_8:Keep comforting her,,,
mimokko_home_zero2_10,DialogOptionSelected,$option == mimikko_Inhome_zero2_8,,"""Whatever that makes you sad, makes you want to cry, just tell me everything, I...even if I cannot replace your father, Zero is already my best assistant, I will always stay by Zero's side!""",5:mimikko_Inhome_zero2_9:Continue,,,
mimokko_home_zero2_11,DialogOptionSelected,$option == mimikko_Inhome_zero2_9,,"She finally stopped crying, or rather, broke out of her chaotic state.

""Actually, Zero had a gift for the captain, but in the end it was the captain that comforted Zero again."" She continues to test her data slate, before sending a message to your implant. 

It is the location of a cargo pod.",5:mimikko_Inhome_zero2_10:What's this?,,,
mimokko_home_zero2_12,DialogOptionSelected,$option == mimikko_Inhome_zero2_10,,"""Actually, Zero managed to learn some design techniques from the technical officer. These are fighters Zero designed when Zero hacked into the Tri-Tachyon database, using their technology, although these are far from perfect.""",5:mimikko_Inhome_zero2_11:Open the panel,,,
mimokko_home_zero2_13,DialogOptionSelected,$option == mimikko_Inhome_zero2_11,mmShowship mimikko_zero_fighter_stand,"""No matter what happens, Zero wants to protect the captain, even in the cold and lonely space, Zero hope these design can fulfill Zero's duty when Zero is unable to do so.""",5:mimikko_Inhome_zero2_12:Thank Zero,,,
mimokko_home_zero2_14,DialogOptionSelected,$option == mimikko_Inhome_zero2_12,"mmAddwing mimikko_zero_fighter_wing 3
$global.zerofighter = true","You left her room.

You stared at the door for a long time, and hope that she can live happily forever from the bottom of your heart. ",100:defaultLeave:Leave,,,
,,,,,,,,
#零_头像,,,,,,,,
mimokko_home_zero_clo_0_1,mimikko_home_zero,,,,"5:mimikko_Inhome_zero_clo_0:Zero, change surface rendering path.",,,
mimokko_home_zero_clo_0_2,DialogOptionSelected,$option == mimikko_Inhome_zero_clo_0,FireAll mimikko_home_zero_clo,,,,,
#零_原皮,,,,,,,,
mimokko_home_zero_clo_1_1,mimikko_home_zero_clo,,,,5:mimikko_Inhome_zero_clo_1:Official Outfit,,,
mimokko_home_zero_clo_1_2,DialogOptionSelected,$option == mimikko_Inhome_zero_clo_1,mmChangeclo Mimikko_zero zero_1,"""Rendering path, reset!ehehe...""",5:mimikko_Inhome1:Yay,,,
#零_抹茶圣代,,,,,,,,
mimokko_home_zero_clo_2_1,mimikko_home_zero_clo,,,,5:mimikko_Inhome_zero_clo_2:Mocha Sundae,,,
mimokko_home_zero_clo_2_2,DialogOptionSelected,$option == mimikko_Inhome_zero_clo_2,mmChangeclo Mimikko_zero zero_2,"""Captain, Zero, recieved your instruction!""",5:mimikko_Inhome1:Yay,,,
#零_掌心之约,,,,,,,,
mimokko_home_zero_clo_3_1,mimikko_home_zero_clo,,,,5:mimikko_Inhome_zero_clo_3:Palmtop Promise,,,
mimokko_home_zero_clo_3_2,DialogOptionSelected,$option == mimikko_Inhome_zero_clo_3,mmChangeclo Mimikko_zero zero_3,"""Captain's hand, Captain's warmth, is Zero's treasure...""",5:mimikko_Inhome1:Yay,,,
,,,,,,,,
#胡桃,,,,,,,,
mimokko_home_kurumi,mimikkoImhome1,mmOfficertest 2 Mimikko_kurumi 0,,,5:mimikko_Inhome_kurumi:Find Kurumi,,,
mimokko_home_kurumi_1,DialogOptionSelected,$option == mimikko_Inhome_kurumi,"FireAll mimikko_home_kurumi
mmShowpeoplev Mimikko_kurumi",,,,,
#胡桃_摸头,,,,,,,,
mimokko_home_kurumi1_1,mimikko_home_kurumi,,,"""What's curious about me, Captain?""",5:mimikko_Inhome_kurumi1_1:Pat her,,,
mimokko_home_kurumi1_2,DialogOptionSelected,$option == mimikko_Inhome_kurumi1_1,,"""You gotta, gotta have a bit of distance!""",5:mimikko_Inhome1:Do something else,,,
#胡桃_魔术脉冲,,,,,,,,
mimokko_home_kurumi2_1,PopulateOptions,"$market.isPlayerOwned
$menuState == main
!$global.kurumiweapon
mmOfficertest 2 Mimikko_kurumi 1","mmAddtext ""There is another card on the table, this time an ace of spades, what could it mean?"" 233 215 203",,,,,
mimokko_home_kurumi2_2,mimikko_home_kurumi,"!$global.kurumiweapon
mmOfficertest 2 Mimikko_kurumi 1","SetStoryOption mimikko_Inhome_kurumi2_1 4 avoidCargoScan ui_char_spent_story_point ""Kurumi?""",,5:mimikko_Inhome_kurumi2_1:Kurumi?,,,
mimokko_home_kurumi2_3,DialogOptionSelected,$option == mimikko_Inhome_kurumi2_1,,"""Wa! Captain, what are you doing! Why'd you sneak into a girl's room like that.""",5:mimikko_Inhome_kurumi2_2:But I knocked,,,
mimokko_home_kurumi2_4,DialogOptionSelected,$option == mimikko_Inhome_kurumi2_2,,"""Ah...Oh...En""",5:mimikko_Inhome_kurumi2_3:What does this mean,,,
mimokko_home_kurumi2_5,DialogOptionSelected,$option == mimikko_Inhome_kurumi2_3,,"You took out the Ace of Spade.

In your rush to find Kurumi, you did not pay attention to this card. Now that you have gotten in a good look, this is no simple card. You can now appreciate that this ""card"" that is more like a work of art.

The card face is not simple cardboard, instead, some strange material has been added to the mix. No matter how you fold it, it always returned to its original state without any visible markings. 

The polished backing of the card is glowing under the crisp lightning of the room, like a silver nebula.

The Ace of Spade on the front of the card is like a black hole eating away at the nebula, creating a contrast with the thorny decorative pattern around the border. In the corner of the card is a beautiful A written in the artistic font of the old earth. 

""Captain?""","5:mimikko_Inhome_kurumi2_4:Ah...sorry, I zoned out...",,,
mimokko_home_kurumi2_6,DialogOptionSelected,$option == mimikko_Inhome_kurumi2_4,,"""Heheheh, seems captain is ensnared by my ""A"" after all!"" It seems your lack of response helped her organize her thought. The girl returned to her usual little devil mode. She seems to be ready to prank you once more, prank of love, as she calls it. 

""Do you have other cards to match this one?"" You can't help but ask, it is hard to find such fine artisan crafts in an age of advanced spacefaring civilization and streamlined industry. Few people would want to put in the effort. 

""Hmph! You came to me just to ask this?""",5:mimikko_Inhome_kurumi2_5:Ah...then...,,,
mimokko_home_kurumi2_7,DialogOptionSelected,$option == mimikko_Inhome_kurumi2_5,,"""Heheh, it's fine, your stiff heart is a treasure for me to steal as well, Captain~ "" She put on her little top hat, spang around on the spot and pointed directly at you. ",5:mimikko_Inhome_kurumi2_6:Is this some kind of declaration to steal stuff?,,,
mimokko_home_kurumi2_8,DialogOptionSelected,$option == mimikko_Inhome_kurumi2_6,,"""I'm an idiot, even though he is in front of me...""(You didn't hear this). You quietly observe her performance, you want her to feel awkward to get back at her pranks, but she seems to be mumbling something on her own.",5:mimikko_Inhome_kurumi2_7:So what do you really want?,,,
mimokko_home_kurumi2_9,DialogOptionSelected,$option == mimikko_Inhome_kurumi2_7,,"""No...That's not it"". Actually, to thank the captain, I've prepared a special gift. As for what gift, why don't you draw a card first, Captain!"" She daftly spread out a deck of card before her and gestures you to draw a card. ","5:mimikko_Inhome_kurumi2_8_1:Pick the first one on the left.
5:mimikko_Inhome_kurumi2_8_2: Pick the one in the middle.
5:mimikko_Inhome_kurumi2_8_3: Pick second one from the right.",,,
mimokko_home_kurumi2_10_2,DialogOptionSelected,$option == mimikko_Inhome_kurumi2_8_1,,"You carefully drew that card, but before you even got a chance to see its face, Kurumi swung her cane in front of you. Even though you instinctively tried to cover the card in your hand, it still got replaced by a small data slate.",5:mimikko_Inhome_kurumi2_9:I didn't even see the card I got.,,,
