name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
MLMV Tug,pn_mlmv_tug,Converted Miner,P9,pn_chaffspray,2,350,100,1250,,250,15,,120,100,80,25,15,250,FRONT,,300,0.2,0.8,,,3,3,25,75,7,,9,16000,5,20,180,0.25,2,2,CIVILIAN,pn_bp,,,,,
Mite,pn_mite,Hauler,P9,pn_chaffspray,2,750,150,850,,250,25,,200,120,100,30,20,5,OMNI,,210,0.4,0.7,,,5,45,100,50,0.9,,9,10000,7.5,12,360,0.25,3,3,CIVILIAN,pn_bp,,,,,
Mite-Tanker,pn_mite-s,Tanker,P9,pn_chaffspray,2,750,250,850,,250,25,,180,120,100,30,20,5,OMNI,,210,0.4,0.7,,,5,25,50,100,0.9,,9,10000,7.5,12,360,0.25,3,3,CIVILIAN,pn_bp,,,,,
P9 Repair Rig,pn_crig,Non Combat Support,P9,emp,3,1800,100,1000,,250,10,,80,50,20,25,15,350,OMNI,,210,0.4,1,,,15,17,15,15,4,0,9,35000,5,20,360,0.25,3,3,CIVILIAN,pn_bp,,,,,
Louse,pn_louse,Combat Hauler,P9,pn_flarelauncher,9,2000,750,2500,,750,40,,50,40,40,20,15,500,OMNI,,210,0.4,0.6,,,22,24,250,100,5,,9,22000,7.5,10,360,0.25,6,6,,pn_bp,,,,,
P9 Buffalo,pn_buffalo,Freighter,High Tech,flarelauncher_active,5,1000,125,1200,1167,200,32,,50,25,20,15,7,400,OMNI,,120,0.5,1,,,10,20,400,80,2,40,8,20000,5,20,240,0.25,3,3,"CIVILIAN, FREIGHTER",pn_bp,,,,,
P9 Valkyrie,pn_valkyrie,Troop Transport,P9,flarelauncher_active,7,2500,400,500,,300,50,,120,60,60,30,45,450,FRONT,,340,0.4,0.8,,,10,200,50,80,2,,9,10000,4,12,360,0.25,5,5,"CIVILIAN, TRANSPORT",pn_bp,,,,,
Tick,pn_tick,Advanced Hauler,P9,pn_drone_sensor,10,2500,150,3000,,1000,30,2,60,20,20,14,8,1200,PHASE,phasecloak,360,,,0.1,0.3,30,50,700,600,6,20,9,30000,5,12,480,0.25,18,18,"CIVILIAN, CARRIER",pn_adv_bp,,,,,
P9 Starliner-Mod,pn_pdliner,Modified Civilian Transport,P9,ammofeed,18,5500,800,2000,1800,1400,117,,105,90,90,60,50,1200,OMNI,,210,0.4,0.6,,,80,1000,300,120,3.5,,9,250000,5,20,390,0.25,10,10,"CIVILIAN, LINER",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9 Wolf,pn_wolf,Frigate,High Tech,displacer,5,800,125,1450,1875,300,57,,150,130,100,60,120,200,FRONT,,150,0.4,0.8,,,15,30,50,20,1,20,10,12000,10,20,180,0.25,5,5,,pn_bp,,,,,
RS,pn_rs,Support Frigate,P9,pn_empdrone,6,750,150,500,,550,38,,180,180,130,100,90,150,FRONT,,300,0.3,0.7,,,12,14,15,10,1.5,,10,14000,5,12,240,0.5,5,5,,pn_bp,,,,,
Sike,pn_sike,Assault Frigate,P9,displacer,8,750,150,500,,1450,65,,200,300,350,300,300,5,OMNI,,360,0.4,1,,,15,17,10,15,2,,10,45000,7.5,12,110,0.25,9,9,,pn_bp,,,,,
Sike-M,pn_sike-m,Support Frigate,P9,displacer,6,750,150,1500,,450,35,,200,300,350,300,300,5,OMNI,,360,0.6,0.5,,,15,17,10,15,2,,10,30000,7.5,12,110,0.25,7,7,,pn_bp,,,,,
SNz-PD platform,pn_snz-gp,Frigate,P9,ammofeed,6,900,450,1150,,350,35,,115,170,130,130,130,200,OMNI,,210,0.2,1,,,14,16,50,35,1,,10,8000,5,12,360,0.25,5,5,,pn_bp,,,,,
Thel-EP,pn_thelep,Phase Frigate,P9,pn_shortteleporter,6,1200,300,1300,,350,45,,100,170,130,130,130,200,PHASE,phasecloak,,,,0.07,0.05,16,18,50,35,1,,10,14000,5,15,300,0.5,5,5,,pn_adv_bp,,,,,
Tartif,pn_trundler,Gel Frigate,P9,pn_leap,12,750,400,1000,,550,58,,160,180,130,130,110,100,PHASE,pn_shortteleporter2,,,,0.3,0.15,12,14,25,20,0.9,,10,60000,5,20,360,0.25,6,6,,pn_adv_bp,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agg-R,pn_aggr,Support Platform,P9,pn_maneuver,9,2000,750,2900,,700,50,,55,40,40,30,20,550,FRONT,,220,0.3,0.5,,,32,34,75,60,6,,9,30000,7.5,15,390,0.25,10,10,,pn_bp,,,,,
Cyz-C hP,pn_korlo-skt_elite,Phase Destroyer,P9,pn_singleemp,22,1750,550,2000,,1200,80,,110,110,110,90,70,1500,PHASE,phasecloak,,,,0.4,0.2,35,40,35,25,2.5,,9,120000,4,15,300,0.5,11,11,,pn_adv_bp,,,,,
SL-t1.5p,pn_sl-t1p,Destroyer,P9,ammofeed,10,1800,800,900,,500,71,,75,170,130,75,65,500,OMNI,,210,0.2,1,,,20,22,100,40,2.5,,9,18000,5,12,390,0.25,9,9,,pn_bp,,,,,
SL-t2,pn_sl-t2,Assault Destroyer,P9,pn_flarelauncher,11,1700,250,1650,,1250,70,,100,170,130,60,55,450,FRONT,,190,0.2,1,,,20,22,20,20,2.5,,9,30000,5,12,300,0.5,11,11,,pn_bp,,,,,
SL-t3,pn_sl-t3,Destroyer,P9,highenergyfocus,12,1700,200,1250,,950,70,,120,170,130,50,35,400,FRONT,,340,0.3,0.7,,,30,32,20,20,1,,9,65000,4,15,300,0.5,12,12,,pn_adv_bp,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cimex,pn_cimex,Phase Carrier,P9,pn_drone_cimex,13,3000,300,4000,,600,80,3,60,20,20,16,10,1350,PHASE,phasecloak,360,,,0.1,0.3,35,70,150,140,6,20,8,80000,3,15,480,0.25,25,25,CARRIER,pn_adv_bp,,,,,
Kaala,pn_kaala,Lancer,P9,pn_laser,16,5000,950,5000,,1500,135,,85,100,150,20,15,1500,OMNI,,210,0.6,0.6,,,50,55,50,50,5,,8,150000,4,18,480,0.25,23,23,,pn_bp,,,,,
Korlo-SKL,pn_korlo-skt,Phase Cruiser,P9,pn_energyfeed,15,3500,500,3300,,3000,135,,105,110,60,60,45,1300,PHASE,phasecloak,,,,0.3,0.15,60,65,50,70,5,,9,150000,5,18,480,0.25,28,28,,pn_adv_bp,,,,,
Silverfish-MPK,pn_silverfish-mpk,Phase Cruiser,P9,highenergyfocus,16,4500,1000,2600,,1200,120,,100,70,250,120,180,1500,PHASE,pnsilverfishphasecloak,,,,0.2,0.25,50,55,45,65,5,,8,130000,5,15,480,0.25,26,26,,pn_adv_bp,,,,,
Mago-FD,pn_pdcruiser,Cruiser,P9,pn_energyfeed,18,5500,1300,5000,,1500,81,,60,100,90,35,45,2000,OMNI,,210,0.2,1,,,55,65,130,85,5,,9,135000,5,12,480,0.25,20,20,,pn_bp,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyfel-EP1,pn_eyfel,Phase Capital,P9,pn_shortteleporter,20,12000,1600,8000,,1900,225,2,55,25,20,25,20,2900,PHASE,phasecloak,,,,0.2,0.2,180,200,550,500,12,,7,340000,4,18,720,0.25,45,45,,rare_bp,,,,,
Samaa-EBM,pn_samaa-ebm,Battlecruiser,P9,fortressshield,28,13000,900,6500,,3000,330,,35,35,20,7,5,3000,OMNI,,210,0.5,0.9,,,220,240,140,140,12,,7,400000,4,18,720,0.25,55,55,,rare_bp,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samaa-DSI,pn_samaa-dsi,Support Capital,P9,fortressshield,28,10500,800,6000,,1000,180,,45,30,20,7,5,3000,FRONT,,210,0.7,0.8,,,175,195,120,120,12,,7,275000,3,15,450,0.25,50,50,,rare_bp,,,,,
