name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Actel-H35,mi_actelh35,Tank Destroyer,Metelson,rostor,15,3000,500,3750,,300,80,,60,40,35,25,15,350,OMNI,,90,0.8,0.8,,,25,30,65,50,2,50,8,27000,4,15,240,0.25,10,10,,,,,,,,metelson_bp,,2.5,4,7,220
Actel-H35A,mi_actelh35a,Stout Destroyer,Metelson,rostor,10,3000,400,3600,,300,85,,100,60,35,50,20,300,OMNI,,120,0.8,0.8,,,25,30,70,50,2,50,8,23000,4,15,360,0.25,10,10,,,,,,,,metelson_bp,,2.5,4,7,210
Rastrum,mi_rastrum,Drone Destroyer,Metelson,drone_sensor,11,4000,550,5000,,300,90,2,65,50,30,30,30,600,FRONT,,210,0.6,0.8,,,35,50,115,90,3,40,8,36000,6,12,360,0.25,8,8,,,,,,,,metelson_bp,,5,3,6,303
Custos,mi_enforcer,Destroyer,Metelson,ammofeed,10,5000,600,4100,,250,100,,90,35,30,30,20,500,FRONT,,280,0.5,0.8,,,60,75,90,60,3,50,9,38000,5,11,360,0.25,9,9,,,,,,,,metelson_bp,,3,2,3,303
Varingur,mi_varingur,Heavy Combat Freighter,Metelson,heavyrostor,10,6500,750,4500,,175,75,1,70,23,15,25,10,760,OMNI,,120,0.4,0.75,,,40,60,200,70,2,60,8,36000,8,12,360,0.25,10,10,,,,,,,,metelson_bp,,2.5,4,8,310
Securi,mi_securi,Prototype Destroyer,Metelson,temporalshell,12,3000,400,5000,,350,90,,90,50,80,20,25,300,FRONT,,200,0.5,0.6,,,50,70,75,50,3,45,9,50000,5,12,360,0.25,14,14,,,,,,,,metelson_bp,,5,3,6,303
#Cruiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stareater,mi_starliner,Converted Salvager,Metelson,rostor,7,5500,225,2500,2500,125,60,,45,20,10,10,10,900,OMNI,,150,0.5,1,,,50,200,500,800,3,40,7,50000,3,20,480,0.25,10,10,,,,,150,500,,metelson_bp,,0.6,2,3,409
Mantarn,mi_mantarn,Light Cruiser,Metelson,drone_sensor,12,10000,900,10000,,450,120,,70,45,30,20,25,800,FRONT,,270,0.5,0.7,,,100,125,150,180,3,80,8,90000,4,12,480,0.25,17,17,,,,,,,,metelson_bp,,3,3,4,400
Varangian,mi_bigvaringur,Combat Carrier,Metelson,maneuveringjets,13,12000,1150,9000,,325,125,3,65,60,40,20,25,1250,OMNI,,150,0.5,1,,,150,300,225,80,2,60,8,100000,4,16,480,0.25,20,20,,,,,,,"CARRIER, COMBAT",metelson_bp,,3,2,4,401
Gadfar,mi_gadfar,Systems Cruiser,Metelson,ammofeed,14,8000,1000,12000,,700,170,,75,40,30,15,20,1500,OMNI,,120,0.4,0.8,,,150,250,300,100,3,85,8,110000,5,15,480,0.25,22,22,,,,,,,,metelson_bp,,2,2,5,402
Grancursor,mi_grancursor,Grand Courier,Metelson,targetingfeed,12,7500,750,7000,,325,125,2,40,15,15,20,15,800,OMNI,,150,0.5,0.7,,,150,300,600,250,3,100,8,80000,3,15,540,0.25,15,15,,,,,,,CARRIER,metelson_bp,,4,3,6,409
Cringer,mi_cringer,Attack Cruiser,Metelson,microburn,10,8000,1000,11000,,550,130,2,60,40,40,15,25,1500,FRONT,,150,0.5,1,,,150,250,400,150,3,40,8,100000,3,12,480,0.25,20,20,,,,,,,,metelson_bp,,0.6,2,3,411
#Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drengur,mi_drengur,Battlecruiser,Metelson,heavyrostor,25,12500,1200,15000,,1000,280,2,75,50,40,8,12,3000,OMNI,,180,0.25,1,,,400,600,500,550,8,45,8,330000,4,20,540,0.25,45,45,,,,,,,,metelson_bp,,0.6,2,4,505
Thrudgelmir,mi_thrudgelmir,Fast Battleship,Metelson,burndrive,20,16000,1400,32500,,1200,300,2,45,20,5,15,50,3500,FRONT,,175,0.4,0.8,,,750,1500,400,500,10,50,7,425000,3,15,720,0.25,50,50,,,,,,,,metelson_bp,,0.8,3,9,503
Acutor,mi_acutor,R&M Hulk,Metelson,drone_acutor,18,11000,850,9000,,450,180,1,40,12,15,12,6,5000,OMNI,,170,0.4,1,,,250,300,525,400,10,40,7,150000,2,20,720,0.25,20,20,,,,,,,CARRIER,metelson_bp,,1,2,5,502
