name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Wolfhound,edshipyard_wolfhound,Frigate,ED Shipyards,flarelauncher,4,1750,275,1750,1875,125,46,,165,150,100,75,120,250,FRONT,,150,0.4,0.8,,,15,40,65,25,1,25,10,6000,7,15,180,0.25,4,4,,"rare_bp, ed_frontlineship_bp",,0.5,2,2,200
Carolina,edshipyard_carolina,Light Cruiser,ED Shipyards,edshipyard_reload_CR,13,4000,600,6000,7000,300,70,,90,50,30,20,25,600,OMNI,,40,0.45,0.8,,,100,150,90,90,3,30,9,100000,4,12,480,0.25,17,17,,"rare_bp, ed_exoticship_bp",,0.5,2,3,400
Malinois,edshipyard_malinois,Light Carrier,ED Shipyards,edshipyard_misdirection,17,4500,700,5000,4000,210,115,4,85,85,85,35,35,1100,OMNI,,100,0.4,0.9,,,120,200,90,60,4,15,9,175000,4,25,360,0.25,24,24,CARRIER,"rare_bp, ed_supportship_bp",,0.4,2,3,410
Basenji,edshipyard_basenji,Science Vessel,ED Shipyards,edshipyard_microburn,12,3000,600,12000,14000,600,90,,80,60,60,40,40,1000,PHASE,phasecloak,,,,0.1,0.05,120,400,400,1200,6,200,12,200000,3,15,210,0.25,18,18,"CIVILIAN, TANKER","rare_bp, ed_explorationship_bp",,0.6,2,3,403
Dachshund,edshipyard_dachshund,Delivery Freighter,ED Shipyards,burndrive,7,6000,300,2400,2000,100,60,,80,20,10,10,10,1600,NONE,,0,0,0,,,20,200,900,300,3,100,9,85000,3,30,300,0.25,8,8,"CIVILIAN, FREIGHTER","rare_bp, ed_explorationship_bp",,0.6,2,3,411
Leonberger,edshipyard_leonberger,Phase Battleship,ED Shipyards,edshipyard_magnetic_burst,28,20000,1750,17500,15000,800,280,,55,75,24,28,18,5000,PHASE,phasecloak,,,,0.08,0.05,250,1000,250,400,20,20,10,525000,4,20,720,0.25,52,52,,"rare_bp, ed_exoticship_bp",0.75,0.4,2,4,500
Groenendael,edshipyard_groenendael,Battle Carrier,ED Shipyards,edshipyard_spatial_swap,32,16000,1200,20000,15000,1000,350,7,30,20,10,20,10,4500,OMNI,,360,0.6,0.8,,,600,2000,400,300,15,20,7,750000,3,15,600,0.25,55,55,"CARRIER, COMBAT","rare_bp, ed_frontlineship_bp",0.85,0.6,2,4,501
Bernard,edshipyard_bernard,Behemoth Tanker,ED Shipyards,burndrive,12,20000,600,2000,7680,300,120,,50,15,10,4,4,6000,NONE,,0,0,0,,,200,600,500,7400,32,180,7,800000,2,20,480,0.25,25,25,"CIVILIAN, TANKER","rare_bp, ed_explorationship_bp",0.4,0.75,3,5,506
Beauceron,edshipyard_beauceron,Support Carrier,ED Shipyards,edshipyard_spatial_swap,15,10000,1000,8000,4000,200,125,3,55,55,55,10,10,2000,FRONT,,210,0.4,0.8,,,200,300,100,60,4,15,8,150000,4,12,420,0.25,22,22,"CARRIER, SHIP_WITH_MODULES","rare_bp, ed_supportship_bp",,0.4,2,3,410
Saluki,edshipyard_saluki,Phase Cruiser,ED Shipyards,edshipyard_relativitydrive,22,6000,1000,10000,18000,750,120,,95,75,40,45,35,900,PHASE,phasecloak,,,,0.045,0.045,70,100,120,160,8,20,9,325000,4,20,420,0.25,35,35,,"rare_bp, ed_exoticship_bp",0.25,0.5,2,3,406
Bernese,edshipyard_bernese,Construction Rig,ED Shipyards,edshipyard_microburn,5,4000,250,2000,1667,80,45,1,100,50,25,25,25,1200,NONE,,0,0,0,,,35,60,200,40,9,4,8,60000,8,24,300,0.25,12,12,CIVILIAN,"rare_bp, ed_explorationship_bp",0.65,0.75,2,3,312
Dalmatian,edshipyard_dalmatian,Superfreighter,ED Shipyards,edshipyard_microburn,8,6000,300,4000,8000,1000,90,,60,4,1,16,16,3000,PHASE,phasecloak,0,0,0,0.15,0.08,75,100,1000,400,8,50,10,400000,10,40,180,0.25,20,20,"CIVILIAN, FREIGHTER","rare_bp, ed_explorationship_bp",0.2,0.7,2,4,502
Rottweiler,edshipyard_rottweiler,Heavy Cruiser,ED Shipyards,edshipyard_ambusher_swap,17,11000,1500,10000,9000,450,175,,40,20,10,30,30,1800,FRONT,,105,0.6,0.6,,,200,300,150,150,5,30,8,155000,4,12,540,0.25,27,27,,"rare_bp, ed_frontlineship_bp",,0.6,2,3,404
Bullmastiff,edshipyard_bullmastiff,Battlecruiser,ED Shipyards,edshipyard_microburn,23,10000,1200,15000,25000,1000,270,,60,60,60,23,23,2000,OMNI,,120,0.25,0.8,,,400,600,300,450,9,50,9,345000,4,15,600,0.25,35,35,,"rare_bp, ed_frontlineship_bp",,0.6,2,4,505
Dobermann,edshipyard_dobermann,Battle Wall,ED Shipyards,edshipyard_grand_salvo,26,12000,1400,20000,30000,1200,210,,28,12,12,12,12,2500,OMNI,,10,0.4,1.5,,,300,350,50,300,10,30,7,315000,3,15,600,0.25,45,45,SHIP_WITH_MODULES,"rare_bp, ed_frontlineship_bp",0.8,0.5,2,4,503
Retriever,edshipyard_retriever,Nurse Ship,ED Shipyards,recalldevice,27,10000,1000,21000,15000,900,240,6,50,20,10,15,7.5,3000,PHASE,edshipyard_field_shield_control,,,,0.25,0,450,900,200,200,10,20,7,600000,3,15,600,0.25,48,48,"CARRIER, SHIP_WITH_MODULES","rare_bp, ed_supportship_bp",0.35,0.6,2,4,501
Wurgandal,edshipyard_wurgandal,Dreadnought,ED Shipyards,edshipyard_wurg_overdrive,65,25000,1500,35000,15000,750,200,1,32,15,15,7,7,6000,OMNI,,15,0.75,1.25,,,1500,2000,1500,600,40,15,5,2000000,3,12,840,0.25,110,110,SHIP_WITH_MODULES,no_dealer,0.1,0.8,3,5,500
Newfoundland,edshipyard_newfoundland,Modular Dreadnought,ED Shipyards,edshipyard_steam_drive,30,28000,1600,20000,5000,1200,240,,30,5,0,12,8,4500,FRONT,,170,0.5,1,,,1500,2500,500,400,18,20,12,1500000,2,20,720,0.25,55,55,SHIP_WITH_MODULES,"rare_bp, no_autofit",0.15,0.7,2,4,502
Doog,edshipyard_doog,Phase Minelayer,ED Shipyards,mine_strike,22,7500,1350,10000,18000,1000,160,,75,55,40,20,25,1200,PHASE,phasecloak,,,,0.05,0.05,50,100,120,150,3,50,8,250000,4,15,480,0.25,35,35,,,,0.5,2,3,406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,edshipyard_dobermann_shieldmodule,Shield Module,ED Shipyards,ammofeed,1,1000,1200,5000,5000,250,28,,0,0,0,10,10,600,FRONT,,30,0.1,0.8,,,0,0,0,0,1,0,,45000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,2100
,edshipyard_wurg_hangarleft,Hangar Module,,edshipyard_wurg_overdrive,1,11000,1250,6000,5000,250,90,5,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER, COMBAT",,,0.5,2,3,2100
,edshipyard_wurg_hangarright,Hangar Module,,edshipyard_wurg_overdrive,1,11000,1250,6000,5000,250,90,5,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER, COMBAT",,,0.5,2,3,2100
,edshipyard_wurg_jawleft,Shield Module,,edshipyard_wurg_overdrive,1,10000,1000,13500,5000,750,110,,0,0,0,10,10,800,FRONT,,110,0.5,0.9,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,2100
,edshipyard_wurg_jawright,Shield Module,,edshipyard_wurg_overdrive,1,10000,1000,13500,5000,750,110,,0,0,0,10,10,800,FRONT,,110,0.5,0.9,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,2100
,edshipyard_wurg_weaponleft,Weapon Module,,edshipyard_wurg_overdrive,1,8000,1750,11500,5000,700,130,,0,0,0,10,10,700,NONE,,0,0,0,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,2100
,edshipyard_wurg_weaponright,Weapon Module,,edshipyard_wurg_overdrive,1,8000,1750,11500,5000,700,130,,0,0,0,10,10,700,NONE,,0,0,0,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,2100
,edshipyard_wurg_buttocks,Defense Module,,edshipyard_wurg_overdrive,1,8000,1750,6500,5000,600,100,,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,2100
,edshipyard_retriever_control,Control Module,,edshipyard_rescuedronecontrol,1,3000,1800,2000,5000,250,0,,0,0,0,0,0,10,NONE,,0,0,0,,,0,0,0,0,0,0,,15000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,2100
,edshipyard_suicide_control,Control Module,,edshipyard_suicidedronecontrol,1,3000,1800,2000,5000,250,0,,0,0,0,0,0,10,NONE,,0,0,0,,,0,0,0,0,0,0,,15000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,2100
,edshipyard_retriever_shield,Shield Module,,,1,3000,900,10000,5000,2000,0,,0,0,0,0,0,0,FRONT,,360,0.5,0.25,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,2100
,edshipyard_newfoundland_combatfreighter,Cargo Wagon,ED Shipyards,edshipyard_target_missiles,5,14000,1500,7500,5000,250,125,1,0,0,0,3,2,2500,NONE,,0,0,0,,,0,200,1000,100,1,0,,500000,2,20,720,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT",no_autofit,,0.7,2,4,502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detonator Drone,edshipyard_detonatordrone,,Pirate,edshipyard_commit_sudoku,,800,900,3000,,300,0,,150,200,200,60,90,200,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,2,6
Rescue Drone,edshipyard_rescuedrone,,,edshipyard_spatial_swap,,800,600,3000,,300,0,,300,200,200,180,90,100,OMNI,,360,0.1,0.8,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,2,6
Chihuahua,edshipyard_chihuahua_doppel,Doppel Corvette,ED Shipyards,edshipyard_doppel_glitch,750,150,0,1200,1000,80,24,,250,250,250,90,180,50,NONE,,,,,,,,,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.75,2,2,217
Shiba,edshipyard_shiba_doppel,Doppel Destroyer,ED Shipyards,edshipyard_doppel_glitch,11,2750,325,6000,5833,160,80,,140,420,420,70,210,275,NONE,,,,,,,,,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.75,2,2,217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papillon,edshipyard_papillon,,ED Shipyards,,,150,75,700,,100,1,,225,225,250,180,360,10,NONE,,0,0,0,0.25,0.01,0,0,,,,,,,,,,,,,,,,0,,,6
Pinscher,edshipyard_affenpinscher,,ED Shipyards,,,175,125,500,,100,0,,300,450,450,180,360,10,PHASE,edshipyard_silent_phasecloak,0,0,0,0.25,0.01,0,0,,,,,,,,,,,,,,,,0,,,6
Pug,edshipyard_pug,,ED Shipyards,ammofeed,,750,250,600,,50,4,,200,50,50,40,80,40,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,6
Maltese,edshipyard_maltese,,ED Shipyards,,,125,15,40,,0,0,,135,360,300,90,180,30,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,6
Terrier,edshipyard_terrier,,ED Shipyards,,,85,15,15,,0,0,,75,25,50,90,180,30,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolfhound Mk.II,edshipyard_wolfhound_p,Frigate,Pirate,ammofeed,5,1750,275,1750,1875,125,46,,165,150,100,75,120,250,FRONT,,150,0.4,0.8,,,20,40,50,20,1,20,10,8000,7,15,180,0.25,6,6,,"rare_bp, pirate_bp",,0.5,2,2,200
Dachshund Mk.II,edshipyard_dachshund_p,Modified Freighter,Pirate,burndrive,9,6000,600,3000,2000,150,75,4,90,60,10,10,10,1400,NONE,,0,0,0,,,60,200,100,300,3,100,7,65000,3,20,240,0.25,20,20,"CARRIER, COMBAT","rare_bp, pirate_bp",,0.6,2,3,411
Beauceron Mk.II,edshipyard_beauceron_p,Carrier,Pirate,targetingfeed,15,11000,1350,5000,4000,200,140,3,45,45,45,10,10,2000,FRONT,,150,0.4,0.8,,,200,300,100,60,4,15,8,125000,4,12,420,0.25,31,31,"CARRIER, COMBAT, SHIP_WITH_MODULES","rare_bp, pirate_bp",0.9,0.4,2,3,410
Carolina Mk.II,edshipyard_carolina_p,Light Cruiser,Pirate,fastmissileracks,12,4000,600,6000,7000,300,110,,85,50,30,20,25,350,OMNI,,30,0.45,0.9,,,75,150,100,120,3,40,9,70000,4,12,480,0.25,15,15,,"rare_bp, pirate_bp",,0.5,2,3,400
Dobermann Mk.II,edshipyard_dobermann_p,Battlecruiser,Pirate,ammofeed,26,12000,1200,20000,30000,1200,255,4,30,15,15,5,3,1900,OMNI,,75,0.4,1.8,,,300,350,250,300,10,30,7,305000,3,15,600,0.25,41,41,"CARRIER, COMBAT","rare_bp, pirate_bp",0.6,0.5,2,4,503
Retriever Mk.II,edshipyard_retriever_p,Battlecarrier,Pirate,targetingfeed,35,11000,1100,21000,15000,900,300,6,45,20,10,15,7.5,3000,FRONT,,135,0.35,1,,,450,900,200,200,10,20,7,675000,3,15,600,0.25,45,45,"COMBAT, CARRIER, SHIP_WITH_MODULES","rare_bp, pirate_bp",0.25,0.6,2,4,501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunslinger,edshipyard_doppelglock,Heavy Cruiser,ED Shipyards,edshipyard_reload_doppel_CR,20,8000,700,12000,8000,650,120,,90,50,30,18,20,1100,NONE,,,0.45,,,,180,260,40,40,5,30,9,400000,4,12,480,0.25,26,26,HIDE_IN_CODEX,"no_autofit, no_dealer",,0.5,3,4,600
Riptide,edshipyard_riptide,Mobile Ship Breaker,Pirate,edshipyard_gravitygun,55,21000,1600,11000,5000,1000,240,,45,8,8,10,7,10000,NONE,,0,0,0,,,1000,1400,100,100,15,40,6,750000,4,15,800,0.25,75,75,"SHIP_WITH_MODULES, HIDE_IN_CODEX","no_autofit, no_dealer",,0.7,3,5,601
Chupacabra,edshipyard_chupacabra,Prototype Phase Ship,ED Shipyards,edshipyard_magnetic_burst,30,20000,1750,17500,15000,800,280,,55,75,24,28,18,5000,PHASE,phasecloak,,,,0.08,0.05,250,1000,250,400,25,20,10,925000,4,25,720,0.25,52,52,HIDE_IN_CODEX,"no_autofit, no_dealer",,0.4,2,4,602
Saluki-X,edshipyard_saluki_x,Custom Phase Cruiser,ED Shipyards,edshipyard_relativitydrive,25,6500,1100,11000,20000,800,125,,95,80,50,50,39,900,PHASE,phasecloak,,,,0.040,0.040,70,100,120,160,8,20,9,750000,4,20,450,0.25,35,35,HIDE_IN_CODEX,"no_autofit, no_dealer",,0.5,2,3,603
