id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
FM_IcicleFall_shot,projectile,100,0.3,0.2,"[189,255,255]",,150,0.4,0.4,"[189,255,255]",80,0.3,0.4,"[189,255,255]",,1,TRUE
FM_ice_shell,projectile,90,0.2,0.2,"[189,255,255]",,125,0.3,0.3,"[189,255,255]",70,0.2,0.4,"[189,255,255]",,1,TRUE
FM_Hailstorm_shot,projectile,100,0.4,0.25,"[0,190,230]",,125,0.7,0.55,"[0,200,255]",100,0.2,0.5,"[200,200,255]",,1,TRUE
FM_LunaticBow_shell,projectile,150,0.4,0.3,"[255,125,114]",,200,0.45,0.75,"[255,125,114]",125,0.55,0.25,"[255,125,114]",,1,TRUE
FM_Amulet_missile,projectile,90,0.3,0.1,"[255,106,102]",,120,0.4,0.2,"[255,106,102]",70,0.15,0.15,"[255,106,102]",,1,TRUE
FM_Nightbugs_proj,projectile,200,0.7,0.4,"[143,255,186]",,250,0.9,1,"[143,255,186]",200,0.4,0.6,"[143,255,186]",,1,TRUE
FM_Kedama_system_project,projectile,80,0.2,0.2,"[124,255,142]",,90,0.3,0.2,"[124,255,142]",65,0.1,0.15,"[124,255,142]",,1,TRUE
FM_Persuasion_extra_missile,projectile,90,0.2,0.2,"[255,255,255]",,100,0.3,0.3,"[255,255,255]",75,0.2,0.3,"[255,255,255]",,1,TRUE
FM_Leaf_shell,projectile,90,0.2,0.25,"[210,255,174]",,120,0.25,0.6,"[160,200,124]",65,0.2,0.3,"[210,255,200]",,1,TRUE
FM_LeafFujin_shell,projectile,90,0.1,0.25,"[210,255,174]",,120,0.15,0.6,"[160,200,124]",65,0.1,0.3,"[210,255,200]",,1,TRUE
FM_LeafFujin_shell_0,projectile,60,0.1,0.15,"[210,255,174]",,120,0.15,0.3,"[160,200,124]",65,0.1,0.15,"[210,255,200]",,1,TRUE
FM_PetaFlare_project,projectile,200,0.7,0.4,"[255,231,132]",,250,0.9,1,"[255,231,182]",200,0.4,0.6,"[255,231,132]",,1,TRUE
FM_PetaFlare_extra_project,projectile,90,0.4,0.3,"[255,226,174]",,130,0.6,0.75,"[255,226,200]",70,0.35,0.15,"[255,226,174]",,1,TRUE
FM_PetaFlare_extra_l_project,projectile,130,0.4,0.3,"[255,192,78]",,170,0.6,0.75,"[255,192,128]",130,0.35,0.15,"[255,192,128]",,1,TRUE
FM_DesireAccelerator_shell,projectile,90,0.3,0.25,"[0,255,230]",,125,0.5,0.35,"[0,255,255]",100,0.2,0.3,"[200,255,255]",,1,TRUE
FM_CaptureWeb_shell,projectile,90,0.4,0.25,"[255,114,250]",,135,0.5,0.55,"[255,180,250]",90,0.3,0.4,"[255,180,250]",,1,TRUE
FM_RumiaSystemWeapon_shot,projectile,120,0.4,0.25,"[255,90,70]",,135,0.6,0.45,"[255,110,90]",90,0.3,0.3,"[255,110,90]",,1,TRUE
FM_MikoBuiltIn_shot,projectile,90,0.4,0.15,"[255,90,101]",,125,0.5,0.25,"[255,140,151]",90,0.3,0.1,"[255,140,151]",,1,TRUE
FM_SkySerpent_shot2,projectile,90,0.2,0.2,"[189,255,255]",,125,0.3,0.3,"[189,255,255]",70,0.2,0.4,"[189,255,255]",,1,TRUE
FM_SkySerpent_shot3,projectile,90,0.2,0.2,"[189,255,255]",,125,0.3,0.3,"[189,255,255]",70,0.2,0.4,"[189,255,255]",,1,TRUE
FM_Petal_rocket,projectile,100,0.4,0.25,"[0,255,224]",,125,0.7,0.55,"[0,255,224]",100,0.2,0.5,"[0,255,224]",,1,TRUE
FM_Petal_rocket_ke,projectile,100,0.4,0.25,"[93,255,0]",,125,0.7,0.55,"[93,255,0]",100,0.2,0.5,"[93,255,0]",,1,TRUE
FM_Petal_rocket_he,projectile,100,0.4,0.25,"[255,30,0]",,125,0.7,0.55,"[255,30,0]",100,0.2,0.5,"[255,30,0]",,1,TRUE
FM_Petal_rocket_fr,projectile,100,0.4,0.25,"[255,189,0]",,125,0.7,0.55,"[255,189,0]",100,0.2,0.5,"[255,189,0]",,1,TRUE

