name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autoFireAccBonus,extraArcForAI,hints,tags,GroupTag,tech/manufacturer,,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Copperhead Gun-Launcher,A_S-F_copperhead,1,0.8,400,800,,80,,5,20,5,8,1,2,HIGH_EXPLOSIVE,72,,0,0.25,2,0.25,3,15,3,1,,400,500,2.2,40,,9,"GUIDED_POOR, DO_NOT_CONSERVE","he6, LR, rare_bp, merc, ind",,,,Anti Armor,Medium,Minor (Course-Correction),,,,,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,2223.1
Macron Cannon,A_S-F_macron,2,,750,800,,20,5,2,30,7,,,,HIGH_EXPLOSIVE,15,,0.1,0.983333,6,0.05,0,0,0,0,,1200,,,10,,,,"he7, LR, remnant, no_dealer",,Remnant,,Anti Armor,,,,,,,,,,2223.2
Sakset Naval Rifle,A_S-F_sakset,2,0.9,3500,1100,,500,,30,8,22,,,,KINETIC,900,,0,2,1,,0,8,4,8,,1000,,,250,,,,"kinetic19, LR, rare_bp, merc, ind",,,,Anti Shield,,,,,"Shell bursts on impact, releasing a spread of %s pieces of shrapnel each dealing %s damage.",25 | 30 Fragmentation,,,,2228.25
Crockett Artillery,A_S-F_crockett,2,0.8,4000,1000,,600,,100,8,20,,,,HIGH_EXPLOSIVE,600,,0,2,1,,0,6,2,2,,650,,,250,,,,"he19, rare_bp, merc",,,,Anti Armor,,,,,,,,,,2228.3
Quicksand Machinecannon,A_S-F_quicksand,2,,1400,500,,30,,2,40,10,60,6.66666,10,HIGH_EXPLOSIVE,18,,0,0.05,,,1,8,0.5,6,,900,,,20,,,"PD,ANTI_FTR","he12, pd10, SR, rare_bp, merc, ind",,,,Point Defense,,,,,,,,,,2223.85
Silaha Linear Cannon,A_S-F_silaha,3,0.3,50000,1200,,900,400,400,4,30,,,,ENERGY,1500,,0.9,2.1,1,,0,0,0,0,,2000,,,500,,,,"energy18, he18, kinetic18, LR, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,Artillery,,,,,"On impact increases the targets soft flux level by %s.
Targets are also knocked back by the force of the impact.",800,Shots will not hit allied vessels and can be fired over them.,,,222020
Stamp Tri-Cannon,A_S-F_stamp,0,,70,600,,80,,2,18,3,,,,FRAGMENTATION,20,,0,1.2,1,,13,21,2,4,,700,,,30,,,,"kinetic5, he5, derelict, no_dealer",,Explorarium,,General,,,,Spread,,,,,,2223.8
Heatstroke Combustion Cannon,A_S-F_heatstroke,3,,999999,1000,,3000,,500,8,35,,,,FRAGMENTATION,2000,,0,5,1,,0,9,3,3,,450,,,500,,,"FIRE_WHEN_INEFFICIENT, DANGEROUS","no_sell, no_dealer, restricted",,[Anomalous],,Punishment,,,,,"In flight the projectile releases up to %s sub-projectiles, each dealing %s damage.
On impact with hull or armour main/sub-projectiles will embed and deal an additional %s/%s damage over the course of %s seconds. 
Embedded projectiles deal up to %s additional damage, scaling with the targets flux level, and if the target %s then they %s and their remaining duration is %s.",10 | 100 | 900 | 200 High Explosive | 8 | 100% | Overloads | Combust | Doubled,,,,22200.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma Burster,A_S-F_plas_burster,2,0.8,2000,500,,60,,0,35,10,,,,ENERGY,45,,0.2,1.4,5,0.1,,,,,,750,,,100,,,"PD,ANTI_FTR","pd11, SR, hightech_bp, remnant, merc, ind",,,,Point Defense (Area),,,,Spread,,,,,,22223
Pulsed Ion Beam,A_S-F_p_ion,2,,600,800,70,,600,1,15,6,,,,ENERGY,,90,0.2,0.1,0.9,1.5,,,,,3200,,,,,,,FIRE_WHEN_INEFFICIENT,"beam10, LR, remnant, no_dealer",,Remnant,,Suppression,,,,,"Hits on hull or armor periodically arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,22222.85
IR Autopulser,A_S-F_ir_autopulse,1,,1250,550,,60,,0,20,10,40,4,6,ENERGY,45,,0.06,0.00001,2,0.07333,,,,,,1000,,,,,,,"energy13, remnant, rare_bp, merc, ind",,,,General,,,,,,,,,,22291.25
X-Pulse Laser,A_S-F_x-pulse,1,,1800,600,,240,,0,15,11,,,,ENERGY,276,,0.4,0.2,,,0,5,1,8,,1000,,,,,,,"energy14, remnant, rare_bp, merc, ind",,,,General,,,,,,,,,,22291.5
Spellbind Saturation Array,A_S-F_spellbind,3,,999999,900,,2000,,100,10,35,,,,ENERGY,6000,,1,11,1,,,,,,,400,,,,,5,"FIRE_WHEN_INEFFICIENT, DANGEROUS","no_sell, no_dealer, restricted",,[Anomalous],,Area Denial,,,,,"Projectile randomly releases unstable energy bursts while traveling. Each burst will deal %s damage, the projectile itself does not deal damage and will pass over ships.

The damage value shown is an estimation for damage dealt to a moderately sized target.",400 Energy,,,TRUE,22200.2
Formia Sling,A_S-F_formia_sling,2,0.75,3000,1200,,80,300,0,15,12,,,,ENERGY,120,,0.4,2,3,0.3,0,4,1,2,,700,100,2.5,90,,,"DO_NOT_AIM, MISSILE_SPREAD","energy13, missile12, remnant, LR, no_dealer",,Remnant,,Suppression,Very Fast,Good,,,"Hits on hull or armor arc to weapons and engines, dealing extra damage equal to %s of the original hit.

If installed in an %s type mount: Per-shot damage is increased to %s, and base range is reduced to %s.",25% | Energy | 100 | 800su,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,22216.3
Formia Storm,A_S-F_formia_storm,2,0.8,9000,1500,,120,250,0,10,26,12,1.5,6,ENERGY,180,,0.2,0.25,6,0.15,0,8,1,2,,700,100,3.15,100,,,"DO_NOT_AIM, DO_NOT_CONSERVE, MISSILE_SPREAD","energy19, missile18, remnant, LR, no_dealer",,Remnant,,Suppression,Very Fast,Good,,,"Hits on hull or armor arc to weapons and engines, dealing extra damage equal to %s of the original hit.

If installed in an %s type mount: Per-shot damage is increased to %s, and base range is reduced to %s.",25% | Energy | 150 | 900su,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,22216.4
Electro-Thermal Blaster,A_S-F_electroThermal_blaster,2,,600,500,,150,50,0,35,6,,,,ENERGY,165,,0.5,0.75,1,,0,10,2,4,,1000,,,,,,,"energy9, remnant, rare_bp, merc, ind",,,,General,,,,,,,,,,22222.25
Strobe Beam,A_S-F_strobe,2,,2000,600,738.46154,,,1,20,11,,,,ENERGY,,640,0,0.05,0.2,0.15,,,,,1000000,,,,,,,,"energy14, beam10, rare_bp, remnant, merc, ind",,,,General,,,,,,,,,,22220.2
Micro-Pulse Repeater,A_S-F_micropulser,1,,300,400,,20,,1,100,4,12,3.75,3,ENERGY,12,,0.06666,0,1,,2,6,0.5,2.5,,1000,,,,,,PD,"pd7, energy7, hightech_bp, remnant, merc, ind",,,,Point Defense,,,,,,,,,,22217
Ion Driver,A_S-F_ionDriver,3,0.6,6500,700,,400,1500,0,18,20,8,0.5,2,ENERGY,440,,0.5,0.3,1,,0,0,0,0,,1000,,,400,,,"STRIKE, USE_VS_FRIGATES","energy18, rare_bp, merc",,,,Strike,,,,,,,,,,22224
Quad Multi-Lance,A_S-F_quad_multi-lance,3,,5000,1000,1800,,,1,10,20,4,0.111111,1,ENERGY,,1636.363636,0.3,0.3,0.8,0.6,,,,,4000,,,,,,,,"beam20, LR, rare_bp, merc",,,,General,,,,,,,,,,22225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bramble Smartbomb Rack,A_S-F_bramble,1,,250,600,,250,,10,45,4,16,0.4,4,FRAGMENTATION,75,,0,3.25,4,0.25,20,30,5,2,,200,600,2.5,150,,50,"GUIDED_POOR, DO_NOT_CONSERVE, PD, ANTI_FTR","utility8, pd6, missile_bp, ind",,,,Point Defense (Area),Slow,None,,,,,,,TRUE,2223.6
Thicket Smartbomb Launcher,A_S-F_thicket,1,,1500,1500,,2400,,10,20,10,,,,FRAGMENTATION,0,,0,12,1,,0,0,0,0,,215,80,10,250,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility11, missile7, missile_bp, ind",,,,Anti Fighter,Medium,Medium,,,"Missile splits into a trio of Smartbombs, that then deploy proximity mines.",,,,TRUE,2223.5
Wasteland Smartbomb Complex,A_S-F_wasteland,2,0.8,4000,1600,,1500,,10,20,18,4,0.0625,,FRAGMENTATION,0,,0,4,1,,0,0,0,0,,350,50,10,350,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, rare_bp, hist1t, ind",,,,Anti Fighter,Medium,Medium,,,Missiles deploy a field of munitions that indiviudally launch bursts of Anti-Fighter SRMs.,,,,TRUE,2223.55
Lamia DEM,A_S-F_lamia,2,0.8,250,2000,,300,900,10,20,4,3,0.025,1,ENERGY,0,,0,3,1,,0,0,0,0,,250,85,8,150,,,"DO_NOT_AIM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","utility10, missile6, strike1, rare_bp, merc",,,,Suppression,Medium,Medium,,,"Submunition hits on hull or armor will arc to weapons and engines, dealing extra damage equal to the original hit.",,,,TRUE,2223.3
Lerna MDEM,A_S-F_lerna,2,0.8,1500,2000,,900,2700,30,10,10,4,0.02,1,ENERGY,0,,0,9,1,,0,0,0,0,,215,80,9,250,,,"DO_NOT_AIM, CONSERVE_1, STRIKE, USE_VS_FRIGATES","utility13, missile7, strike3, rare_bp, merc",,,,Suppression,Medium,Medium,,,"Submunition hits on hull or armor will arc to weapons and engines, dealing extra damage equal to the original hit.",,,,TRUE,2223.4
Bipartisan LRM Launcher,A_S-F_bipartisan,1,,1200,4000,,400,,25,10,9,20,0.1,,HIGH_EXPLOSIVE,0,,0,10,2,0.8,0,0,0,0,,150,100,26,160,,,"DO_NOT_AIM, CONSERVE_1","utility13, missile7, missile_bp, remnant, merc, ind",,,,Long Range Support,Slow,Poor,,,,,,,,22212.5
Bipartisan Submunition,A_S-F_bipartisan_sub,0,,6969,8000,,200,,15,10,69,20,0.1,,HIGH_EXPLOSIVE,0,,0,15,2,0.8,0,0,0,0,,250,100,9,80,,,"DO_NOT_AIM, CONSERVE_1, HEATSEEKER, SYSTEM",,,,,Weapon?,What,How,,,,,,,,22212.69
Lilin Missile Coil,A_S-F_lilin,3,0.3,5000,1600,,250,,20,10,5,5,0.16,1,ENERGY,75,,0,1.25,1,,0,0,0,0,,300,800,8,150,,,"DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT","missile9, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,General,Medium,Good,,,Causes an explosion on impact that deals an additional %s damage to the target.,250 Fragmentation,,,,222012
Naxdin Anomaly Torpedo,A_S-F_naxdin,3,0.3,8000,1200,,400,600,40,10,6,2,0.01666,1,ENERGY,0,,0,8,1,,0,0,0,0,,300,100,8,330,,,"GUIDED_POOR, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES, FIRE_WHEN_INEFFICIENT","utility14, missile9, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,Suppression,Medium,Medium,,,On impact erupts into an electromagnetic anomaly that deals significant amounts of additional Energy and EMP damage to anything within it's proximity.,,,,TRUE,222016
Gimbal Micromissile Pod,A_S-F_gimbal,0,,1000,1600,,100,,25,10,11,24,0.8,4,KINETIC,30,,0,2.6,8,0.2,6,20,2,2,,550,150,5,50,,,"DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD, DIRECT_AIM","kinetic12, missile11, remnant, rare_bp, merc, ind",,,,Close Support,Fast,Good,,,,,,,,22211.1
Sprocket HSRM,A_S-F_sprocket,1,,300,1200,,300,100,15,10,5,12,,,ENERGY,0,,0,7.5,2,0.5,0,0,0,0,,360,50,4.75,150,,,"DO_NOT_AIM, CONSERVE_1","missile7, rare_bp, merc, remnant, ind, reload_6pt",,,,Anti Small Craft,Medium,Good,,,,,,,TRUE,22211.7
Chillblain Catalyst Missile,A_S-F_chillblain,3,,999999,2000,,1000,500,0,10,35,8,,,ENERGY,2000,,0,15,1,,0,0,0,0,,360,100,7,750,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES, CONSERVE_1","no_sell, no_dealer, restricted",,[Anomalous],,Anti Capital,Medium,Medium,,,"On impact or after %s seconds the missiles warhead will trigger, releasing an energy field.

The Energy field will randomly arc to any nearby vessels, and after %s seconds the energy field will collapse, and any vessel within the field will take %s damage scaling with their %s and %s.",6 | 5 | Energy | Size | Mass,,,TRUE,22200.1
Nasibu Missile Projector,A_S-F_nasibu,3,0.3,15000,1500,,200,,10,15,14,50,0.25,10,ENERGY,50,,0.4,9.6,1,,10,10,0,0,,500,100,9,80,,,"DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD","missile14, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,General,Fast,Medium,,,"Missiles are launched in a spread, with a random launch orientation.

Volatile warheads detonate on impact dealing an additional %s damage to the target.",100 High Explosive,,,,222019
Destructor Rocket Artillery,A_S-F_destructor,2,,4000,2500,,500,,15,10,20,120,,,HIGH_EXPLOSIVE,0,,0,7,6,1,8,8,0,0,,400,50,6.75,150,,6,"CONSERVE_3, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","rocket18, strike15, rare_bp, merc, ind",,,,Anti Armor,Fast,Minor (Course-Correction),,,Causes an explosion on impact that deals %s damage to nearby targets.,100 Fragmentation,,,,222101
Contradict Rocket Artillery,A_S-F_contradict,2,,1500,2500,,500,1000,15,10,8,,,,FRAGMENTATION,0,,0,12,1,,8,8,0,0,,400,50,6.75,200,,6,"FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD","rocket6, utility13, rare_bp, merc, ind",,,,Suppression,Fast,Minor (Course-Correction),,,"On impact increases the targets soft flux level by %s.
Hits on hull or armor will produce up to %s arcs, each dealing %s and %s damage.",750 | 3 | 50 Energy | 250 EMP,,,TRUE,222102
Omer Spread Missiles,A_S-F_omer,1,,350,1200,,60,,15,40,5,45,0.5,3,HIGH_EXPLOSIVE,15,,0,4.3,3,0.1,16,16,0,0,,450,90,3.75,35,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility10, missile3, rare_bp, remnant, merc, ind",,,,Anti Small Craft,Fast,Excellent,,,,,,,,22212.1
Albatreos Cruise Missile,A_S-F_albatreos,2,,1800,3000,,1500,,35,12,12,10,,,HIGH_EXPLOSIVE,0,,0,12,1,,8,0,0,0,,500,120,12,250,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","missile14, strike11, rare_bp, remnant, merc, ind",,,,Finisher,Fast,Special,,,After an initial aiming stage accelerates rapidly and continues with limited guidance.,,,,TRUE,222103
Twister MIRV Rack,A_S-F_twister,1,0.7,250,2000,,750,,15,25,4,3,,,HIGH_EXPLOSIVE,0,,0,2,1,,0,0,0,0,,250,50,9.5,175,,,DO_NOT_AIM,"missile8, strike3, missile_bp, merc, ind",,,,Finisher,Medium,Good,,,,,,,TRUE,22216
Cockatrice DEM Torpedo,A_S-F_cockatrice,2,,2000,2000,,1500,,15,15,12,6,,,ENERGY,0,,0,12,1,,0,0,0,0,,160,0,11.5,600,,,"GUIDED_POOR, STRIKE","strike8, missile3, merc, rare_bp, damage_special, damage_soft_flux",,,,Suppression (Strike),Slow,Good,,,"The missile fires a high-powered ion beam when it gets near the target, dealing approximately %s energy damage over the course of %s seconds. This damage is affected by missile damage modifiers and not energy weapon ones.

Beam hits on hull or armor periodically arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",1500 | 4,Gravitic effects slow and push target off-course. The effect is strong and highly noticeable vs lighter craft.,,TRUE,22212.11
    Cockatrice - Payload,A_S-F_cockatrice_payload,2,,0,1000,400,,1000,100,20,0,,,,ENERGY,0,,0.25,0.65,3.5,0.5,,,,,1000000,,,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,22212.12
Targeting Laser - Cockatrice,A_S-F_targetinglaser_cockatrice,0,,1,0,120,,120,10,200,0,,,,KINETIC,,0,0.05,0.05,,,,,,,1000000,,,,,,,SYSTEM,,,,,Special,,,,,,,,,,22212.13
Termite SRM Launcher,A_S-F_termite,2,,5000,1500,,400,300,10,20,20,240,,,FRAGMENTATION,0,,0,6.75,4,0.15,18,18,0,0,,350,100,9.5,90,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, rare_bp, remnant, merc",,,,Suppression,Fast,Excellent,,,"On impact the missile will produce up to %s arcs, each dealing %s and %s damage.",2 | 40 Energy | 150 EMP,,,,22218
Moros-class Torpedo,A_S-F_moros,2,0.5,600,1200,,600,,20,10,3,4,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,,,700,400,2.4,180,,,STRIKE,"strike8, rocket3, remnant, reload_3pt",,,,Torpedo,Very Fast,None,,,,,,,TRUE,2229.2
Cauldron Flux Shear Torpedo,A_S-F_cauldron_pod,1,,1200,1200,,800,1600,40,10,10,10,,,ENERGY,0,,0,12,1,,0,0,0,0,,440,100,3.5,480,,,STRIKE,"strike13, rocket8, rare_bp, merc, remnant",,,,Torpedo,Fast,None,,,"Hits on shields will convert up to %s of the targets soft flux into hard flux.

Hits on hull or armor will arc %s times to weapons and engines, each arc dealing %s energy and %s EMP damage.",1000 | 4 | 100 | 400,,,TRUE,2229.11
Persis Multi Seeker,A_S-F_persis,3,0.3,5000,2000,,600,,30,10,5,4,0.083333,1,ENERGY,240,,0,2.5,1,,0,0,0,0,,400,100,5,150,,,"DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT","missile9, A_S-F_arktech_wep, no_sell, no_dealer",,[ArkTech],,Fire Support,Fast,Excellent,,,,,,,,222021
Weaver Rocket Pod,A_S-F_weaver,0,,900,1200,,80,,5,28,7,100,1,10,HIGH_EXPLOSIVE,0,,0,7.05,20,0.05,11,23,0.5,0.5,,360,90,4.5,45,,,,"rocket12, strike7, derelict, no_dealer",,Explorarium,,Pressure,Medium,Drunk,,,"Unstable propellant has a chance to overheat in flight, causing the rocket to detonate prematurely.",,,,,22212.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin PD System (Tri),A_S-F_paladin_tri,0,,100000,600,600,,,0,75,,12,1,,ENERGY,,400,0,0,0.2,0.1,,,,,1000000,,,,,,,"PD, ANTI_FTR, SYSTEM, SHOW_IN_CODEX","pd19, beam15",,,,Point Defense,,,,,"When all sub-beams impact a target in close proximity to each other, the spalling effect produces an explosion that deals up to 100 points of fragmentation damage to other nearby targets.",100 | fragmentation,,,,22226
Shevalye PD System,A_S-F_paladin_tri_mod,0,,100000,600,600,,,0,75,,,,,ENERGY,,240,0,0,0.25,0.25,,,,,1000000,,,,,,,"PD, ANTI_FTR, SYSTEM, SHOW_IN_CODEX","pd19, beam15",,,,Point Defense,,,,,"When all sub-beams impact a target in close proximity to each other, the spalling effect produces an explosion that deals up to 100 points of fragmentation damage to other nearby targets.",100 | fragmentation,,,,22226.1
Disruption Mortar,A_S-F_dis_mortar,0,,1000,400,,40,80,10,30,,,,,FRAGMENTATION,50,,0,1,1,,0,15,3,10,,500,,,10,,,"SYSTEM, PD, PD_ALSO, FIRE_WHEN_INEFFICIENT",kinetic1,,,,Suppression,,,,,,,,,,2220.8
Formia Emitter,A_S-F_formia,0,,10000,800,,80,300,0,0,,,,,ENERGY,80,,0.6,6.5,6,0.3,0,4,1,2,,800,200,2.5,90,,,"SYSTEM, DO_NOT_AIM, MISSILE_SPREAD","energy10, missile12, restricted",,Remnant,,Suppression,Very Fast,Good,,,"Hits on hull or armor arc to weapons and engines, dealing extra damage equal to %s of the original hit.",25%,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,22216.1
Pulsed Ion Beam (Fighter),A_S-F_p_ion_f,0,,1000,700,70,,450,0,20,,,,,ENERGY,,90,0.2,0.1,0.8,1.6,,,,,1500,,,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT","beam10, LR",,,,Suppression,,,,,"Hits on hull or armor periodically arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,22222.86
Formia Emitter (System),A_S-F_formia_sys,0,,10000,1600,,65,200,0,0,,,,,ENERGY,65,,0.5,1,1,,0,4,1,2,,800,200,5,80,,,"SYSTEM, DO_NOT_AIM, MISSILE_SPREAD","energy10, missile12, restricted",,,,Suppression,Very Fast,Good,,,"Hits on hull or armor arc to weapons and engines, dealing extra damage equal to %s of the original hit.",25%,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,22216.2
Illusion Curtain,A_S-F_phantasmagoria_missile,0,,10000,900,,160,40,10,0,,30,1.25,10,ENERGY,,,0,2.3,10,0.1,0,0,0,,,500,1000,6,140,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, MISSILE_SPREAD, RESET_BARREL_INDEX_ON_BURST","no_drop, no_sell, no_drop_salvage",,,,General,Fast,Excellent,,,,,,,,22219.11
Illusion Shroud,A_S-F_phantasmagoria_micro_missile,0,,10000,900,,80,100,5,0,,64,2.666666,16,FRAGMENTATION,,,0,1.65,8,0.05,0,0,0,,,600,1200,5,40,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, MISSILE_SPREAD, RESET_BARREL_INDEX_ON_BURST","no_drop, no_sell, no_drop_salvage",,,,Suppression,Very Fast,Excellent,,,"Hits on hull or armor arc to weapons and engines, dealing extra damage equal to %s of the original hit.",40%,,,,22219.12
Illusion Partition,A_S-F_phantasmagoria_missile_stk,0,,10000,900,,400,120,25,0,,8,0.25,4,HIGH_EXPLOSIVE,,,0,4.4,4,0.2,0,0,0,,,400,400,4.5,250,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, DIRECT_AIM, DO_NOT_AIM, DO_NOT_CONSERVE, RESET_BARREL_INDEX_ON_BURST","no_drop, no_sell, no_drop_salvage",,,,Strike,Fast,Good,,,Causes an explosion on impact that deals %s damage to nearby targets.,100 Energy,,,,22219.13
