name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Venture (A),missp_venture_heg,Cruiser,Low Tech,fastmissileracks,14,10000,1000,7000,6000,300,110,1,40,15,10,12,6,1500,OMNI,,120,0.4,1,,,150,350,350,120,3,40,7,125000,5,10,540,0.25,15,15,,heg_aux_bp,,0.4,2,3,514
Torpedo Craft,missp_torpedo_craft,,Low Tech,flarelauncher_fighter,,1200,250,1200,,100,0,,175,400,350,75,180,100,OMNI,,120,0,1,,,8,8,,,,,,,,,,,,,,,,0,,,550
Flak Craft,missp_flak_craft,,Low Tech,flarelauncher_fighter,,1200,250,1200,,100,0,,175,400,350,75,180,100,OMNI,,120,0,1,,,8,8,,,,,,,,,,,,,,,,0,,,551
Gun Craft,missp_gun_craft,,Low Tech,flarelauncher_fighter,,1200,250,1200,,100,0,,175,400,350,75,180,100,OMNI,,120,0,1,,,8,8,,,,,,,,,,,,,,,,0,,,552
Patrol Craft,missp_patrol_craft,,Low Tech,flarelauncher_fighter,,1200,250,1200,,100,0,,175,400,350,75,180,100,OMNI,,120,0,1,,,8,8,,,,,,,,,,,,,,,,0,,,553
Broadsword Mk.II,missp_broadswordmkii,,Low Tech,flarelauncher_fighter,,750,100,80,,10,0,,200,400,350,90,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,555
Slasher (A),missp_slasher_heg,Frigate,Low Tech,flarelauncher,5,1750,300,2100,1750,140,55,,120,120,90,60,90,200,FRONT,,210,0.4,1,,,25,50,25,25,1,25,10,10000,8,10,240,0.25,4,4,,heg_aux_bp,,0.4,2,2,556
Lasher (A),missp_lasher_heg,Frigate,Low Tech,ammofeed,5,1750,300,2100,1750,140,55,,120,110,90,60,90,200,FRONT,,210,0.4,1,,,25,50,40,25,1,25,10,9000,8,10,240,0.25,4,4,,heg_aux_bp,,0.4,2,2,557
Snake,missp_path_patrol_craft,,Luddic Path,flarelauncher_fighter,,1200,250,1200,,100,0,,175,400,350,75,180,100,NONE,,,,0,,,8,8,,,,,,,,,,,,,,LP_bp,,0,,,556
Condor (LP),missp_path_condor,Light Carrier,Luddic Path,flarelauncher,8,4500,250,2000,1750,100,40,2,40,30,20,20,10,400,OMNI,,120,0.4,1.2,,,90,150,40,30,2,15,9,30000,5,10,360,0.25,9,9,CARRIER,LP_bp,,0.5,2,3,557
Dominator (LP),missp_path_dominator,Heavy Cruiser,Luddic Path,burndrive,12,9000,1200,8000,7000,300,120,,30,20,10,12,12,2250,FRONT,,150,0.5,1,,,200,300,150,150,5,30,8,80000,4,12,540,0.25,18,18,,LP_bp,,0.4,2,3,559
Eagle (LP),missp_path_eagle,Cruiser,Luddic Path,burndrive,10,7000,800,8000,8000,400,80,,50,30,20,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,80000,3,12,480,0.25,16,16,,LP_bp,,0.5,2,3,560
Enforcer (LP),missp_path_enforcer,Destroyer,Luddic Path,burndrive,8,4000,600,3000,2500,150,50,,60,40,20,30,20,500,OMNI,,150,0.4,1.2,,,60,100,90,90,3,30,9,30000,5,12,420,0.25,7,7,,LP_bp,,0.5,2,3,561
Falcon (LP),missp_path_falcon,Light Cruiser,Luddic Path,burndrive,8,5000,600,5500,5000,250,60,,75,50,30,20,25,650,FRONT,,270,0.4,0.8,,,100,180,120,100,3,33,9,60000,4,12,480,0.25,12,12,,LP_bp,,0.5,2,3,562
Hammerhead (LP),missp_path_hammerhead,Destroyer,Luddic Path,burndrive,8,4000,400,3500,3500,200,45,,90,60,40,30,60,400,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,30000,5,12,360,0.25,8,8,,LP_bp,,0.5,2,3,563
Hermes (LP),missp_path_hermes,Frigate,Luddic Path,flarelauncher,2,1500,200,1000,1000,75,10,,125,90,90,90,120,125,OMNI,,120,0.5,1,,,4,10,50,15,0.5,30,9,3000,5,20,180,0.25,2,2,,LP_bp,,0.5,2,3,564
Mercury (LP),missp_path_mercury,Frigate,Luddic Path,flarelauncher,2,1200,200,1000,1000,75,10,,135,100,100,90,120,125,OMNI,,120,0.5,0.8,,,4,30,20,15,0.5,30,9,3000,5,20,180,0.25,2,2,,LP_bp,,0.5,2,3,565
Mudskipper Mk.II (LP),missp_path_mudskipper,Frigate,Luddic Path,flarelauncher,4,1500,200,1000,1000,75,5,,90,80,50,45,60,200,NONE,,0,0,0,,,5,20,25,40,1,40,9,10000,5,20,180,0.25,4,4,,LP_bp,,0.5,2,3,566
Mule (LP),missp_path_mule,Destroyer,Luddic Path,burndrive,8,5000,500,2500,2000,125,40,,60,40,20,20,15,500,OMNI,,120,0.4,1,,,40,100,250,80,2,40,9,30000,5,10,420,0.25,7,7,,LP_bp,,0.5,2,3,567
Nebula Mk.III (LP),missp_path_nebula,Destroyer,Luddic Path,flarelauncher,8,2500,300,1500,1500,100,30,,55,35,20,20,12,450,FRONT,,150,0.5,1,,,40,300,120,80,2,40,8,30000,4,20,240,0.25,7,7,,LP_bp,,0.5,2,3,568
Starliner Mk.III (LP),missp_path_starliner,Fast Carrier,Luddic Path,flarelauncher,12,5000,400,3000,3000,150,100,1,45,20,10,10,10,900,FRONT,,150,0.5,1,,,200,500,300,120,3,40,7,80000,3,20,480,0.25,18,18,"CARRIER, LINER",LP_bp,,0.5,2,3,569
Tarsus Mk.II (LP),missp_path_tarsus,Destroyer,Luddic Path,flarelauncher,8,4000,300,2000,2000,125,40,,45,35,25,25,15,400,OMNI,,120,0.5,1.2,,,50,80,300,80,2,40,8,25000,5,20,420,0.25,5,5,,LP_bp,,0.5,2,3,570
Venture (LP),missp_path_venture,Cruiser,Luddic Path,burndrive,14,8000,1000,6000,5000,250,60,,40,15,10,12,6,1500,OMNI,,120,0.4,1,,,150,350,350,120,3,40,7,100000,5,10,540,0.25,15,15,,LP_bp,,0.5,2,3,571
Wolf (LP),missp_path_wolf,Frigate,Luddic Path,maneuveringjets,4,2500,300,2000,1500,150,30,,150,130,100,60,120,200,FRONT,,150,0.4,0.8,,,15,30,50,20,1,20,10,12000,10,20,180,0.25,3,3,,LP_bp,,0.5,2,3,572
Atlas Mk.III,missp_atlasmkiii,Pirate Carrier,Pirate,flarelauncher,18,10000,500,5000,5000,250,110,4,30,8,4,4,2,4000,OMNI,,60,0.5,1,,,600,800,400,400,10,40,6,150000,2,20,600,0.25,25,25,CARRIER,rare_bp,,0.7,2,4,517
Starliner Mk.II,missp_starlinermkii,Support Cruiser,Pirate,flarelauncher,18,8000,800,5000,5500,300,90,2,40,15,10,10,6,2000,OMNI,,60,0.5,1,,,200,300,300,120,5,24,7,240000,4,15,540,0.25,20,20,LINER,pirate_bp,,0.7,2,4,520
Nebula Mk.II,missp_nebulamkii,Support Destroyer,Pirate,flarelauncher,14,6000,500,3000,3300,170,62,1,50,20,15,15,12,1000,OMNI,,60,0.5,1,,,100,125,120,80,3,27,8,120000,4,15,480,0.25,10,10,LINER,pirate_bp,,0.5,2,3,521
Pirate Venture,missp_venture_pirate,Cruiser,Pirate,fastmissileracks,14,9500,1100,6000,5500,300,100,,40,15,10,12,6,1500,OMNI,,120,0.5,1,,,150,350,200,100,3,33,7,120000,5,10,540,0.25,15,15,,pirate_bp,,0.4,2,3,523
Nail,missp_nail,,Pirate,,,200,25,400,,100,0,,325,400,300,150,300,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,pirate_bp,,0,,,554
Nagato,missp_nagato,Dreadnought Battleship,Midline,maneuveringjets,125,60000,2400,75000,75000,3600,470,2,30,10,5,5,5,20000,OMNI,,360,0.5,1,,,2000,4000,1000,1000,100,10,7,3000000,4,15,720,0.25,125,200,,rare_bp,,1,4,8,524
Pelagornis,missp_pelagornis,Dreadnought Carrier,Midline,targetingfeed,140,60000,2000,60000,60000,3000,561,20,30,10,5,5,5,20000,OMNI,,360,1,1,,,2600,6000,2000,1000,100,10,7,3000000,10,15,720,0.25,140,200,CARRIER,rare_bp,,1,4,8,525
Ragnarok,missp_path_ragnarok,Sporeship,Luddic Path,burndrive,140,100000,3000,60000,60000,1000,592,10,30,5,3,3,3,40000,NONE,,0,0,0,,,6000,12000,6000,6000,300,20,5,3000000,2,20,720,0.25,140,200,"CARRIER, COMBAT, ALWAYS_PANIC",rare_bp,,1,6,10,526
Anchor,missp_anchor,Harbor Ship,Midline,burndrive,200,50000,1500,60000,60000,2500,505,4,30,5,3,3,3,30000,FRONT,,180,1,1,,,5000,26000,8000,8000,0,100,6,3000000,2,20,360,0.25,200,0,CARRIER,rare_bp,,1,6,10,573
Dominion,missp_dominion,Superheavy Carrier,Low Tech,burndrive,140,60000,4000,40000,40000,2000,486,16,25,10,5,5,5,30000,NONE,,0,0,0,,,6000,10000,2000,1000,100,10,6,3000000,10,15,720,0.25,140,200,CARRIER,rare_bp,,1,4,8,574
,missp_idol,Reaper,Unknown,temporalshell,100,30000,2600,45000,75000,4500,572,,100,100,100,40,110,8000,OMNI,,150,0,0.5,,,0,0,200,600,4,150,11,3000000,20,5,,,80,80,"UNBOARDABLE, HIDE_IN_CODEX","omega, no_autofit, restricted",,0.5,2,3,575
