trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,frameOffsetMult,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
#float frameOffsetMult: scales the per-frame velocity offset (only necessary for overkill levels of control with default x1 multiplier).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_plas_b_shot_1,A_S-F_plas_b_shot,base_trail_zap,10,0,0.08,0.1,12,7.5,"[205,100,255]","[255,50,100]",0.4,200,200,TRUE,20,0,1,0,TRUE,FALSE,TRUE,100,20,0.3,0,1000,200,true,false
A_S-F_plas_b_shot_2,A_S-F_plas_b_shot,base_trail_zap,10,0,0.04,0.1,12,7.5,"[205,205,255]","[145,0,205]",0.8,200,200,TRUE,20,0,1,0,TRUE,FALSE,TRUE,100,100,0.3,0,0,300,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_breaker_shot,A_S-F_breaker_shot,base_trail_fuzzy,10,0.1,0.05,0.3,6,2,"[235,255,155]","[65,30,20]",0.5,256,-128,TRUE,5,7,1,0,TRUE,TRUE,TRUE,11,110,1.1,0,0,330,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_nieuport_shot_sub_1,A_S-F_nieuport_shot_sub_1,base_trail_mild,10,0.1,0,0.25,6,4,"[200,240,200]","[80,40,80]",0.5,256,-128,TRUE,5,1,1,0,TRUE,FALSE,TRUE,5,40,0.2,0,0,0,TRUE,TRUE
A_S-F_nieuport_shot_sub_2,A_S-F_nieuport_shot_sub_2,base_trail_mild,10,0.1,0,0.25,6,4,"[200,240,200]","[80,40,80]",0.5,256,-128,TRUE,5,1,1,0,TRUE,FALSE,TRUE,5,40,0.2,0,0,0,TRUE,TRUE
A_S-F_nieuport_shot_sub_2_z,A_S-F_nieuport_shot_sub_2,base_trail_zap,10,0.05,0,0.2,15,9,"[255,175,255]","[60,20,60]",0.3,256,-128,TRUE,0,4,1,0,TRUE,FALSE,TRUE,20,70,0.2,0,0,90,false,false
A_S-F_nieuport_shot_sub_3,A_S-F_nieuport_shot_sub_3,base_trail_mild,10,0.1,0,0.25,6,4,"[200,240,200]","[80,40,80]",0.5,256,-128,TRUE,5,1,1,0,TRUE,FALSE,TRUE,5,40,0.2,0,0,0,TRUE,TRUE
A_S-F_nieuport_shot_sub_3_z,A_S-F_nieuport_shot_sub_3,base_trail_zap,10,0.05,0,0.2,18,9,"[255,175,255]","[60,20,60]",0.3,256,-128,TRUE,0,5,1,0,TRUE,FALSE,TRUE,20,100,0.2,0,0,180,false,false
A_S-F_nieuport_shot_sub_4,A_S-F_nieuport_shot_sub_4,base_trail_mild,10,0.1,0,0.25,6,4,"[200,240,200]","[80,40,80]",0.5,256,-128,TRUE,5,1,1,0,TRUE,FALSE,TRUE,5,40,0.2,0,0,0,TRUE,TRUE
A_S-F_nieuport_shot_sub_4_z,A_S-F_nieuport_shot_sub_4,base_trail_zap,10,0.05,0,0.2,19,10,"[255,175,255]","[60,20,60]",0.3,256,-128,TRUE,0,6,1,0,TRUE,FALSE,TRUE,20,130,0.2,0,0,270,false,false
A_S-F_nieuport_shot_sub_5,A_S-F_nieuport_shot_sub_5,base_trail_mild,10,0.1,0,0.25,6,4,"[200,240,200]","[80,40,80]",0.5,256,-128,TRUE,5,1,1,0,TRUE,FALSE,TRUE,5,40,0.2,0,0,0,TRUE,TRUE
A_S-F_nieuport_shot_sub_5_z,A_S-F_nieuport_shot_sub_5,base_trail_zap,10,0.05,0,0.2,20,10,"[255,175,255]","[60,20,60]",0.35,256,-128,TRUE,0,7,1,0,TRUE,FALSE,TRUE,20,160,0.2,0,0,360,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_salmson_shot_1,A_S-F_salmson_shot,base_trail_heavySmoke,10,0.05,0.05,0.15,14,18,"[160,85,60]","[100,75,55]",0.3,256,16,TRUE,10,1,1,0,TRUE,TRUE,TRUE,10,100,0,0,0,0,false,false
A_S-F_salmson_shot_2,A_S-F_salmson_shot,base_trail_zap,10,0,0.05,0.15,5,6,"[200,60,50]","[160,75,30]",0.5,256,16,TRUE,0,1,1,0,TRUE,TRUE,TRUE,10,100,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_klabu_shot_1,A_S-F_klabu_shot,base_trail_heavySmoke,10,0.1,0.1,0.6,12,24,"[60,60,60]","[40,25,30]",0.5,256,8,TRUE,-5,2,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,TRUE,TRUE
A_S-F_klabu_shot_2,A_S-F_klabu_shot,base_trail_smoke,10,0.1,0,0.35,22,15,"[255,60,60]","[25,60,20]",0.4,256,8,TRUE,10,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,TRUE
A_S-F_klabu_shot_3,A_S-F_klabu_shot,base_trail_zap,10,0,0.05,0.2,9,10,"[255,190,30]","[180,110,20]",0.8,256,8,TRUE,0,1,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_kabid_shot_1,A_S-F_kabid_shot,base_trail_zapWithCore,10,0,0.1,0.22,9,7,"[175,255,220]","[0,240,160]",0.6,256,-128,TRUE,0,0,1,0,TRUE,FALSE,TRUE,20,160,0,0,0,0,false,false
A_S-F_kabid_shot_2,A_S-F_kabid_shot,base_trail_zap,10,0.05,0.1,0.15,19,23,"[130,255,220]","[180,0,180]",0.4,400,256,TRUE,0,30,1,0,TRUE,FALSE,TRUE,100,600,0.2,0,0,360,TRUE,false
A_S-F_kabid_sub1_shot_1,A_S-F_kabid_sub1_shot,base_trail_zapWithCore,10,0,0.1,0.2,9,6,"[175,255,220]","[0,228,152]",0.6,256,-128,TRUE,0,0,1,0,TRUE,FALSE,TRUE,20,160,0,0,0,0,false,false
A_S-F_kabid_sub1_shot_2,A_S-F_kabid_sub1_shot,base_trail_zap,10,0.05,0.09,0.14,18,22,"[130,255,220]","[180,0,180]",0.4,400,256,TRUE,0,28,1,0,TRUE,FALSE,TRUE,100,600,0.2,0,0,360,TRUE,false
A_S-F_kabid_sub2_shot_1,A_S-F_kabid_sub2_shot,base_trail_zapWithCore,10,0,0.1,0.18,8,6,"[175,255,220]","[0,216,144]",0.6,256,-128,TRUE,0,0,1,0,TRUE,FALSE,TRUE,20,160,0,0,0,0,false,false
A_S-F_kabid_sub2_shot_2,A_S-F_kabid_sub2_shot,base_trail_zap,10,0.05,0.09,0.13,17,21,"[130,255,220]","[180,0,180]",0.4,400,256,TRUE,0,26,1,0,TRUE,FALSE,TRUE,100,600,0.2,0,0,360,TRUE,false
A_S-F_kabid_sub3_shot_1,A_S-F_kabid_sub3_shot,base_trail_zapWithCore,10,0,0.1,0.17,8,5,"[175,255,220]","[0,204,136]",0.6,256,-128,TRUE,0,0,1,0,TRUE,FALSE,TRUE,20,160,0,0,0,0,false,false
A_S-F_kabid_sub3_shot_2,A_S-F_kabid_sub3_shot,base_trail_zap,10,0.05,0.09,0.12,16,20,"[130,255,220]","[180,0,180]",0.4,400,256,TRUE,0,24,1,0,TRUE,FALSE,TRUE,100,600,0.2,0,0,360,TRUE,false
A_S-F_kabid_sub4_shot_1,A_S-F_kabid_sub4_shot,base_trail_zapWithCore,10,0,0.1,0.16,7,5,"[175,255,220]","[0,192,128]",0.6,256,-128,TRUE,0,0,1,0,TRUE,FALSE,TRUE,20,160,0,0,0,0,false,false
A_S-F_kabid_sub4_shot_2,A_S-F_kabid_sub4_shot,base_trail_zap,10,0.05,0.08,0.11,15,19,"[130,255,220]","[180,0,180]",0.4,400,256,TRUE,0,22,1,0,TRUE,FALSE,TRUE,100,600,0.2,0,0,360,TRUE,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_kombeo_shot,A_S-F_kombeo_shot,base_trail_smoke,10,0.05,0.05,0.1,8,4,"[200,80,60]","[60,25,20]",0.3,256,8,TRUE,5,2,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,TRUE
A_S-F_kombeo_fighter_shot,A_S-F_kombeo_fighter_shot,base_trail_smoke,10,0.05,0.05,0.1,8,4,"[200,80,60]","[60,25,20]",0.3,256,8,TRUE,5,2,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_kufikiri_HE_sub_shot_1,A_S-F_kufikiri_HE_sub_shot,base_trail_weave,10,0.05,0,0.35,7,2,"[255,100,100]","[250,150,20]",0.55,256,-256,TRUE,5,1,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
A_S-F_kufikiri_HE_sub_shot_2,A_S-F_kufikiri_HE_sub_shot,base_trail_heavySmoke,10,0.1,0.1,0.4,12,20,"[80,65,65]","[30,15,20]",0.35,256,8,TRUE,10,2,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,TRUE,TRUE
A_S-F_kufikiri_KE_sub_shot,A_S-F_kufikiri_KE_sub_shot,base_trail_weave,10,0.05,0,0.35,5,2,"[250,240,240]","[150,100,230]",0.45,256,-256,TRUE,2,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_phantasmagoria_cutter_overcharge_shot,A_S-F_phantasmagoria_cutter_overcharge_shot,base_trail_smooth,8,0.05,0,0.1,9,2,"[190,100,255]","[10,70,120]",0.7,256,-128,TRUE,5,12,1,0,TRUE,FALSE,TRUE,18,180,0.8,0,0,270,FALSE,TRUE
A_S-F_phantasmagoria_slicer_overcharge_shot,A_S-F_phantasmagoria_slicer_overcharge_shot,base_trail_smooth,8,0.05,0,0.1,7,1,"[90,200,255]","[10,120,70]",0.4,256,-128,TRUE,5,13,1,0,TRUE,FALSE,TRUE,18,180,0.8,0,0,270,TRUE,TRUE
A_S-F_phantasmagoria_piercer_shot_core,A_S-F_phantasmagoria_piercer_shot,base_trail_smooth,8,0.05,0,0.2,9,2,"[190,100,255]","[20,60,120]",0.5,256,-128,TRUE,5,9,1,0,TRUE,FALSE,TRUE,18,180,0.8,0,0,270,FALSE,TRUE
A_S-F_phantasmagoria_piercer_shot_contrail,A_S-F_phantasmagoria_piercer_shot,base_trail_contrail,8,0,0.04,0.12,9,60,"[185,120,240]","[20,60,120]",0.4,256,-128,TRUE,5,0,1,0,TRUE,FALSE,TRUE,36,240,0.9,0,0,0,FALSE,TRUE
A_S-F_phantasmagoria_piercer_overcharge_shot_core,A_S-F_phantasmagoria_piercer_overcharge_shot,base_trail_smooth,8,0.05,0,0.3,12,4,"[255,90,200]","[10,60,130]",0.8,256,-128,TRUE,5,7,1,0,TRUE,FALSE,TRUE,18,180,0.8,0,0,270,FALSE,TRUE
A_S-F_phantasmagoria_piercer_overcharge_shot_contrail,A_S-F_phantasmagoria_piercer_overcharge_shot,base_trail_contrail,8,0,0.04,0.12,12,80,"[200,90,255]","[10,60,130]",0.55,256,-128,TRUE,5,0,1,0,TRUE,FALSE,TRUE,36,240,0.9,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_sumake_shot_1,A_S-F_sumake_shot,base_trail_smooth,10,0,0.05,0.15,8,7,"[55,155,55]","[70,55,70]",0.55,256,-128,TRUE,0,0,1,0,TRUE,FALSE,TRUE,10,80,0,0,0,0,FALSE,TRUE
A_S-F_sumake_shot_2,A_S-F_sumake_shot,base_trail_contrail,10,0,0,0.25,8,16,"[185,55,185]","[65,55,65]",0.5,256,-128,TRUE,0,13,1,0,TRUE,FALSE,TRUE,30,200,0.3,0,0,180,false,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_coralian_bolt_1,A_S-F_coralian_bolt,base_trail_smooth,10,0.05,0,0.35,12,2,"[210,90,200]","[30,10,20]",0.7,256,-128,TRUE,5,0,1,0,TRUE,FALSE,TRUE,20,200,0.1,0,0,0,FALSE,TRUE
A_S-F_coralian_bolt_2,A_S-F_coralian_bolt,A_S-F_trail_sparkle_dense,10,0.05,0.05,0.3,25,25,"[80,150,220]","[5,15,20]",0.8,100,512,TRUE,5,25,1,0,TRUE,FALSE,TRUE,100,400,0.2,0,0,90,TRUE,TRUE
A_S-F_coralian_bolt_3,A_S-F_coralian_bolt,A_S-F_trail_sparkle_light,10,0.05,0.1,0.25,24,24,"[80,150,220]","[5,15,20]",0.6,96,640,TRUE,5,32,1,0,TRUE,FALSE,TRUE,100,400,0.2,10,0,90,TRUE,TRUE
A_S-F_coralian_bolt_4,A_S-F_coralian_bolt,A_S-F_trail_sparkle_light,10,0.05,0.1,0.25,24,24,"[80,150,220]","[5,15,20]",0.6,96,640,TRUE,5,32,1,0,TRUE,FALSE,TRUE,100,400,0.2,0,0,90,TRUE,TRUE
A_S-F_coralian_bolt_5,A_S-F_coralian_bolt,A_S-F_trail_sparkle_light,10,0.05,0.1,0.25,24,24,"[80,150,220]","[5,15,20]",0.6,96,640,TRUE,5,32,1,0,TRUE,FALSE,TRUE,100,400,0.2,-10,0,90,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_compac_bolt_1,A_S-F_compac_bolt,base_trail_smooth,10,0.05,0,0.2,9,1,"[210,90,190]","[30,10,20]",0.7,256,-128,TRUE,5,0,1,0,TRUE,FALSE,TRUE,20,200,0.1,0,0,0,FALSE,TRUE
A_S-F_compac_bolt_2,A_S-F_compac_bolt,A_S-F_trail_sparkle_dense,10,0.05,0.05,0.2,16,16,"[80,150,210]","[5,15,20]",0.8,64,32,TRUE,5,20,1,0,TRUE,FALSE,TRUE,100,400,0.2,0,0,90,TRUE,TRUE
A_S-F_compac_bolt_3,A_S-F_compac_bolt,A_S-F_trail_sparkle_light,10,0.05,0.05,0.2,16,16,"[80,150,210]","[5,15,20]",1.0,64,80,TRUE,5,25,1,0,TRUE,FALSE,TRUE,100,400,0.2,0,0,90,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_x-pulse_shot,A_S-F_x-pulse_shot,base_trail_smooth,10,0.05,0,0.15,20,14,"[150,100,255]","[15,10,51]",0.4,256,-128,TRUE,5,0,1,0,TRUE,FALSE,TRUE,20,200,0.1,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_kaksos_shot,A_S-F_kaksos_shot,base_trail_fuzzy,10,0.05,0.05,0.1,8,2,"[235,255,215]","[60,35,25]",0.4,256,-128,TRUE,5,10,1,0,TRUE,FALSE,TRUE,30,130,1.1,0,0,180,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_bolter_shot,A_S-F_bolter_shot,base_trail_fuzzy,10,0.05,0.05,0.25,6,2,"[255,235,155]","[65,30,20]",0.5,256,-128,TRUE,5,6,1,0,TRUE,TRUE,TRUE,11,110,1.1,0,0,330,TRUE,TRUE
A_S-F_bolter_charged_shot_1,A_S-F_bolter_charged_shot,base_trail_fuzzy,10,0.05,0.05,0.25,6,2,"[255,210,75]","[100,70,25]",0.5,256,-128,TRUE,5,7,1,0,TRUE,TRUE,TRUE,11,110,1.1,0,0,330,TRUE,TRUE
A_S-F_bolter_charged_shot_2,A_S-F_bolter_charged_shot,base_trail_smooth,10,0.05,0,0.2,22,15,"[205,175,80]","[150,125,55]",0.6,256,-128,TRUE,5,0,1,0,TRUE,FALSE,TRUE,20,200,0.1,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_spellbind_shot_1,A_S-F_spellbind_shot,base_trail_smooth,10,0.15,0.2,0.35,49,28,"[190,255,125]","[125,200,25]",0.45,256,-128,TRUE,0,1,1,0,TRUE,FALSE,TRUE,20,200,0.1,0,0,0,FALSE,TRUE
A_S-F_spellbind_shot_2,A_S-F_spellbind_shot,base_trail_weave,10,0.1,0.15,0.2,35,14,"[190,225,125]","[125,200,25]",0.2,256,-256,TRUE,0,1,1,0,TRUE,FALSE,TRUE,20,200,0.1,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_dem_ion_shot_1,A_S-F_dem_ion_shot,base_trail_smooth,10,0.05,0,0.15,20,14,"[50,200,205]","[5,35,36]",0.4,256,-128,TRUE,5,0,1,0,TRUE,FALSE,TRUE,20,200,0.1,0,0,0,FALSE,TRUE
A_S-F_dem_ion_shot_2,A_S-F_dem_ion_shot,base_trail_zap,10,0,0,0.25,9,6,"[25,135,130]","[15,60,95]",0.45,256,-128,TRUE,0,25,1,0,TRUE,FALSE,TRUE,90,360,0.5,0,0,240,TRUE,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_laaja_shot,A_S-F_laaja_shot,base_trail_smoke,10,0.1,0,0.2,5,8,"[235,255,215]","[75,40,25]",0.35,256,-128,TRUE,5,8,1,0,TRUE,TRUE,TRUE,10,150,1.1,0,0,360,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_macron_shot,A_S-F_macron_shot,base_trail_zapWithCore,10,0,0,0.25,5,2,"[250,160,140]","[80,100,240]",0.35,256,-128,TRUE,5,2,1,0,TRUE,FALSE,TRUE,40,400,0.2,0,0,120,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_electroThermal_shot_core,A_S-F_electroThermal_shot,base_trail_zap,10,0,0.1,0.1,9,6,"[100,175,255]","[175,10,0]",0.5,256,-128,TRUE,0,2,1,0,TRUE,FALSE,TRUE,50,200,0.5,0,0,0,FALSE,false
A_S-F_electroThermal_shot_glow,A_S-F_electroThermal_shot,base_trail_smooth,10,0.05,0.05,0.15,23,16,"[100,175,255]","[0,30,150]",0.2,256,-128,TRUE,0,0,1,0,TRUE,FALSE,TRUE,20,400,0.1,0,0,0,FALSE,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_sakset_shot_core,A_S-F_sakset_shot,base_trail_fuzzy,10,0.1,0.15,0.5,11,6,"[205,225,255]","[160,220,140]",0.4,256,-256,true,0,6,1,0,TRUE,TRUE,TRUE,40,40,0.3,0,20,60,TRUE,false
A_S-F_sakset_shot_smoke,A_S-F_sakset_shot,base_trail_weave,10,0.05,0,0.5,14,16,"[160,110,80]","[120,75,60]",0.3,256,256,true,0,0,1,0,TRUE,TRUE,TRUE,120,20,0,0,0,0,false,false
A_S-F_sakset_shot_contrail,A_S-F_sakset_shot,base_trail_contrail,10,0,0.15,0.5,11,69,"[250,200,150]","[110,200,80]",0.25,256,-128,TRUE,0,0,1,0,TRUE,FALSE,TRUE,30,200,0.1,0,0,0,false,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_sakset_frag_shot,A_S-F_sakset_frag_shot,base_trail_fuzzy,10,0.05,0,0.2,6,3,"[195,255,195]","[120,45,45]",0.45,256,-128,TRUE,5,8,1,0,TRUE,TRUE,TRUE,11,220,1.1,0,0,360,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_bramble_bomb,A_S-F_bramble_bomb,base_trail_fuzzy,10,0,0.1,0.4,10,14,"[140,115,100]","[45,42,40]",0.35,256,2,TRUE,0,3,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_crockett_shell_smokeA,A_S-F_crockett_shell,base_trail_heavySmoke,10,0.1,0.15,0.45,11,30,"[55,55,50]","[110,110,135]",0.4,320,5,TRUE,-20,2,1,0,TRUE,FALSE,FALSE,0,25,0,0,0,20,true,false
A_S-F_crockett_shell_smokeB,A_S-F_crockett_shell,base_trail_smoke,10,0.05,0.1,0.15,15,7,"[200,110,150]","[10,15,45]",0.5,192,5,TRUE,10,0,1,0,TRUE,FALSE,TRUE,10,40,0.3,0,0,80,true,false
A_S-F_crockett_shell_coreA,A_S-F_crockett_shell,base_trail_zap,10,0,0,0.25,18,27,"[225,130,30]","[185,70,50]",0.4,360,5,TRUE,0,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
A_S-F_crockett_shell_coreB,A_S-F_crockett_shell,base_trail_zap,10,0,0,0.3,18,27,"[225,130,30]","[75,70,160]",0.4,360,5,TRUE,0,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
A_S-F_crockett_shell_contrail,A_S-F_crockett_shell,base_trail_contrail,10,0,0,0.25,15,22,"[100,85,45]","[10,15,45]",0.4,192,5,TRUE,0,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_quicksand_shot,A_S-F_quicksand_shot,base_trail_smoke,10,0.05,0.05,0.05,3,6,"[235,200,105]","[30,25,20]",0.3,256,32,TRUE,0,3,1,0,TRUE,FALSE,TRUE,0,90,0.4,0,0,90,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_silaha_shot_core_1,A_S-F_silaha_shot,base_trail_zapWithCore,10,0.1,0.05,0.65,8,4,"[100,255,130]","[225,80,235]",0.5,256,-128,TRUE,5,2,1,0,TRUE,FALSE,TRUE,25,120,0.3,0,0,180,TRUE,false
A_S-F_silaha_shot_core_2,A_S-F_silaha_shot,base_trail_zapWithCore,10,0.1,0.05,0.65,8,4,"[100,255,130]","[225,80,235]",0.5,256,-128,TRUE,5,2,1,0,TRUE,FALSE,TRUE,25,120,0.5,0,0,180,TRUE,false
A_S-F_silaha_shot_glow,A_S-F_silaha_shot,base_trail_smooth,10,0,0.1,0.3,68,34,"[120,255,110]","[100,20,110]",0.45,32,0,TRUE,30,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
A_S-F_silaha_shot_contrail_1,A_S-F_silaha_shot,base_trail_contrail,10,0,0,0.65,12,100,"[110,80,190]","[80,60,80]",0.45,256,-128,TRUE,0,2,1,0,TRUE,FALSE,TRUE,60,400,0.1,0,0,0,false,TRUE
A_S-F_silaha_shot_contrail_2,A_S-F_silaha_shot,base_trail_contrail,10,0,0,0.25,12,130,"[80,120,190]","[60,80,60]",0.36,256,-128,TRUE,12,4,1,0,TRUE,FALSE,TRUE,60,400,0.1,0,0,0,false,TRUE
A_S-F_silaha_shot_zap,A_S-F_silaha_shot,base_trail_zap,10,0.2,0,0.6,20,30,"[255,205,255]","[44,40,85]",0.3,256,128,TRUE,8,2,1,0,TRUE,FALSE,TRUE,40,240,0.4,0,0,90,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_stamp_shot,A_S-F_stamp_shot,base_trail_smoke,10,0.05,0,0.12,5,8,"[231,146,140]","[37,22,20]",0.3,256,32,TRUE,0,4,1,0,TRUE,FALSE,TRUE,0,80,0.35,0,0,120,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_S-F_ionDriver_shot_1,A_S-F_ionDriver_shot,base_trail_smooth,10,0.05,0,0.2,22,15,"[90,180,255]","[9,18,51]",0.5,256,-100,TRUE,5,0,1,0,TRUE,FALSE,TRUE,20,200,0.1,0,0,0,FALSE,TRUE
A_S-F_ionDriver_shot_2,A_S-F_ionDriver_shot,base_trail_fuzzy,10,0.05,0,0.15,29,20,"[29,170,255]","[12,111,60]",0.25,256,-200,TRUE,-5,1,1,0,TRUE,FALSE,TRUE,20,300,0.1,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
