id,type,text1,text2,text3,notes
CFT_dhow,SHIP,"The cornerstone of CFT’s economy, ideology, and continued existence as an independent polity, is the act of smuggling. To that end, it is no surprise that CFT engineers are responsible for a truly revolutionary smuggling ship. The Dhow comes with specially-designed cargo containers built into the walls of the phase coils, making contraband extremely difficult to identify by external scan. With enough fuel and cargo capacity for independent operation, the Dhow can smuggle goods from one end of the sector to the other with fuel to spare.",Phase Combat Tender,,
CFT_draeck,SHIP,"Designed to keep the senior officers alive in the case of a catastrophic hull breach, the bridge of Domain-era military ships comes with a self-contained basic life-support system that can keep the crew alive even when fully removed from the hull. In need of a cut-rate tug, Charles Carter welded an engine and field stabilizer to an old destroyer bridge and called it a day. After some refinements, it has become the go-to tug blueprint for Carter's Freetraders.",Tug,,
CFT_dromon,SHIP,"The Dromon is a badge of office and symbol of prestige for CFT fleet admirals. It exemplifies the Carter family's pseudo-aristocratic tradition of 'correct' battlefield conduct - calm and collected control from a safe distance. Aggression and recklessness are the traits of junior officers, meant to be 'burned off' as they rise through the ranks. On its own, the Dromon is capable, but it truly shines as a component of a larger fleet.",Command Carrier,,
CFT_exeter,SHIP,"An absolute behemoth, CFT’s Exeter laughs in the face of common sense. A fully-shielded cargo bay that can eat a Gemini whole and ask for seconds. Engines that can outpace a destroyer with enough power to spare to launch a swarm of drones for point defense. System patrols hate seeing an Exeter on the scans, because they know that somewhere in those endless stacks of metal ore and volatiles an AI core is squirreled away, mocking their feeble attempts to find it. An unmatched addition to a fleet, if you can afford the supplies to keep it running.",Super freighter,,
CFT_foudre,SHIP,"Using an older model designed by engineer Jal that was retired from service. This updated design removes a flight bay from the original model but adds two turret mounts for added point defense protection. By taking parts from salvaged Herons, the Foudre is the brainchild of CFT designers Emto and Dazs that is the fastest carrier in CFT’s lineup. This ship gives them an excellent skirmisher that can deploy its wings in the heat of battle, quickly retreat its fragile hull to a safe distance and use the salvaged targeting feed systems to direct the flights from afar.",Fast Carrier,,
CFT_freebooter,SHIP,"There has been much speculation into why John Carter abandoned the core Domain worlds to travel to the Persean Sector. The only surviving writings on the subject are from his brother Harry, who repudiated smuggling and became a preacher with the Luddic Church. What is well-known is the ship the Carters made the journey in - itself as much of a patchwork of parts as any present-day CFT hull. The Freebooter is a replica of that first ship, subject to an extensive array of refits turning it from a civilian junker into an imposing command-and-control powerhouse. When CFT fields these, they are sending a message.",Battle cruiser,,
CFT_fusta,SHIP,"A very fast courier ship equipped with flares for defense. Its speed, mobility, and shielded cargo capability makes it a favorite among blockade running smugglers.",Corvette,,
CFT_galleon,SHIP,"In the great debate over missile optimization, there are broadly two camps. One claims that modern PD arrays can only be overcome through highly technologically advanced missile systems deployed at great fiscal and material expense. The other does this. On entering combat, the Galleon is designed to generate a cloud of missiles so dense that it can overload any Domain-era shield system through numbers alone. It does not always succeed in this, but it is nonetheless capable of placing extreme pressure on enemy fleets of any size.",Battlewagon,,
CFT_griffon,SHIP,"Depending on who you ask, the Griffon may represent CFT's first foray into original shipbuilding. An alternative explanation is that its parts have been repurposed so many times that it is no longer possible to tell what hull they originated from. A support ship built around a large drone bay with decent PD and mid-range combat capabilities in a pinch.",Drone Tender,,
CFT_ironclad,SHIP,"A legendary CFT arms procurement boondoggle, the Ironclad began life as a simple up-armored destroyer hull. A vicious cycle of corporate bidding wars and behind-the-scenes deals led to so many iterations of armor and engine modification that the final design had to be reclassified as a heavy cruiser. After initial combat trials, a phase coil was thrown in to give the ship some ability to dodge return fire. To the complete shock of its designers, the Ironclad has since gone on to have a respectable combat record.",Heavy Cruiser,,
CFT_jacht,SHIP,"CFT designers created this ship after thorough consultation with current and former marines across the sector. The Jacht can carry more troops and travel faster than the Valkyrie, making it ideal for the raiding activities so popular post-Collapse. It is also able to bring ship-scale weaponry to bear on ground targets when necessary, increasing the overall efficiency of ground support operations. The downside of all these improvements is that it is poorly armored, and falls quickly if caught unawares.",Troop Transport,,
CFT_jackdaw,SHIP,"The Jackdaw is one of a number of hulls that soak up the detritus of CFT’s other ship salvaging programs. Composed of an enormous variety of components, every surface of the Jackdaw is a patchwork of materials and technologies. Life aboard the ship is a distinctly surreal experience, as crewmembers travel through a century of ship design simply by moving from their bunk to their station. In combat, the ship relies on its damper fields and large number of mounts to both take, and deal, a greater punch than the average frigate.",Heavy Frigate,,
CFT_kerberos,SHIP,"The first Kerberos arose from an unusual question posed by a CFT fleet admiral: Could the debris from a destroyed pirate station be salvaged into a ship? While lacking any fighter or missile capability, the sheer density of overlapping firing arcs boasted by the design was enough to get it approved for full-scale production. The modern Kerberos variant no longer requires station parts to be built, and also incorporates more energy mounts. Essentially unapproachable by unsupported smaller ships.",Mobile Weapons Platform,,
CFT_knarr,SHIP,"Originally intended as a simple mining platform, multiple interest groups within CFT attempted to take control of the project for their own ends. The resulting design creep produced a ship large enough to be a capital class but has to wear a very large number of hats so only has the battle weight of a cruiser to make room for it all. A mining/exploration/combat/logistics vessel with bespoke drones and a contingent of Combat Engineers, the Knarr has so far managed to avoid descending into mediocrity and actually excels in some areas. Exploration fleets particularly value its lower supply requirements when compared to other cruisers.",Mining Support,,
CFT_lennox,SHIP,"As much as CFT admirals may wish it wasn't true, there are some assignments a Dromon is unsuitable for. Typically deployed in high-speed scouting and interception roles, the Lennox brings command-and-control to the wolfpack. A 'King's Burden' is a derogatory term among the officer class for a Lennox fitted with four Reaper missiles.",Command Destroyer,,
CFT_odam,SHIP,"The Odam is designed as a 'mini-Apogee', capable of providing logistics support to smaller fleets while avoiding the maintenance costs that come with mounting two large weapons. Technically still a cruiser, it is distinctly less capable in a fight when compared to its forebear.",Light Cruiser,,
CFT_naruebet,SHIP,"Within CFT’s officer training schools, it is said that few things predict a cadet’s command style as accurately as their reaction to the Naruebet. A pair of military-grade fighter production forges made space worthy on a budget, this ship virtually guarantees the presence of fighter support in any CFT patrol fleet. This ship has a reputation for catching pirates by surprise, as most threat assessment software classifies it as space junk.",Light Carrier,,
CFT_pinnacle,SHIP,"The Pinnacle was the first phase ship produced in large numbers by the Freetraders -  the high-tech nature of the Apogee makes it relatively easy and inexpensive to refit salvaged hulls for P-space transit. It is intended for high-speed, high-risk point capture and fleet harassment. Resentment is occasionally sown among the crew by the contrast between the cruiser-scale bridge and the frigate-scale crew quarters. harassment and distraction",Frigate,,
CFT_raven,SHIP,"The work of an influential auteur embedded deep within CFT’s most peculiar design circles, the Raven heavy destroyer is as eccentric as it is popular. With a large ballistic mount, a burn drive, and looks to kill, its siren song has incinerated the bank balance of many a small-time bounty hunter. Reckless piloting incidents are extremely high with this model, as the reverberations from the discharge of the weapons seem to lull the crew into a sort of ‘combat trance’.",Heavy Destroyer,,
CFT_retourschip,SHIP,"Traditional tanker design places fuel storage units around a minimal ship frame. The designers of the Retourschip adopted the opposite approach, building a complex interconnected hull space around salvaged Phaeton and Prometheus tanks. This inverted design provides more space for engine and weapon mounting, producing a fast-moving, high-capacity tanker with ample PD coverage.",Tanker,,
CFT_schooner,SHIP,"An infamous pet project of an eccentric CFT engineering group, the midsection of the Schooner was originally intended as a top-of-the-line assault ship. The project leads nearly came to blows during construction, as it was discovered that the salvage built into the rear of the ship couldn't support the installation of engines. Someone pointed out the huge number of unused Buffalo hulls in orbit of Prussia, and a compromise was made. Currently in use as an aggressive blockade runner.",Combat Freighter,,
CFT_scow,SHIP,"The Scow is a miniature smuggler’s ship; quick and able to hold its own. The majority of the hull is open to vacuum at all times - only the bridge and crew quarters are pressurized. CFT uses these to sneak high-value small items past system patrols, as Domain-era contraband scanners are optimized for the habitable sections of a target ship. In emergency situations, the Scow’s engines and weapons can be controlled from a single computer console on the bridge.",Combat Freighter,,
CFT_shallop,SHIP,"The Shallop veers uncomfortably close to pirate engineering for many CFT officers - a ball of otherwise-unsalvageable high-tech components and scrap hull plates welded to a phase coil and a medium missile hardpoint. No attempt is made during construction to eliminate redundant electrical systems, giving the ship a measure of EMP resistance. Shallops have a labyrinthine interior layout, with some crews preferring to disable grav-plating altogether during combat to navigate the twisting corridors more rapidly. Operates best at close range.",Frigate,,
CFT_sloop,SHIP,"A common sight in CFT space, the Sloop is a fast, cheap fuel tanker with more weapon mounts than average for a civilian ship. Due to a number of critical design flaws, the ship’s hull can split apart when subjected to relatively minor stresses. The cost of recalling and refitting every Sloop currently in service would be astronomical for the Freetraders, so this information has been quietly suppressed.",Tanker,,
CFT_triton,SHIP,"Spies and other observers of CFT struggle to determine the provenance of the Triton. The central section of the Eagle can be clearly discerned, along with what appear to be modified Heron flight decks, but the rest of the hull remains unknown. Signs of Triton worship have been found on decivilized worlds in the sector periphery - the sight of a great circle floating in the sky fascinates the humans of the Post-Collapse as much as it did their ancestors. In combat, the Triton uses its relatively high top speed to its advantage, sandwiching opponents between its fighters and its guns.",Battle Carrier,,
CFT_vasa,SHIP,"The Vasa originated as a technology test platform built out of a radiation-scoured Falcon hull. CFT researchers were encouraged to incorporate whatever systems took their fancy, leading to an unusual weapon layout as well as both mine strike and phase cloak capabilities. The ship entered regular service after scoring decisive kills on multiple Atlas Mk. II capitals during a pirate raid on Pengersick. The Vasa is highly versatile, and excels at delivering its payload where the enemy least expects it. An ideal posting for an aggressive officer.",Phase Cruiser,,
CFT_vergulde,SHIP,"The Carter’s Freetraders preference for ‘post-construction engineering’ allows them to overcome the limitations of the wider sector’s reliance on Domain-era blueprints. The Vergulde is an improvement over the Buffalo in all the ways that matter amidst the chaos of the post-collapse. A high speed, low sensor profile, and forgiving maintenance requirements coupled with a surprisingly stylish appearance make this ship a darling of civilians and smugglers alike.",Freighter,,
CFT_vestale,SHIP,"Originally plagued by design issues, the current form of the Vestale was arrived at by accident when a furious salvor-engineer removed all of the armor to achieve the top speed demanded by Richard Champion. The grey color of the ship is not paintwork, but rather hull and substructure exposed directly to vacuum. The ship fields an effective shield generator, rapid flux venting, and a pair of PD drones to compensate. Beware - overly-aggressive captains do not last long at the helm of a Vestale. ",Frigate,,
,,,,,
CFT_apollo,SHIP,A repurposed freight containment unit packed with ECM-jamming missiles and a sub-delta guidance system. Good for countering point defense.,Missile Pod,,
CFT_brig,SHIP,A salvaged maneuvering thruster with a wavepulse laser mounted to the side. The design was converted to an autonomous interceptor drone when human pilots refused to ride in it.,Interceptor Drone,,
CFT_cutter,SHIP,"Composed primarily of disused scaffolding welded together, this well-armed drone has an impressive combat lifespan for its humble origins.",Fighter Drone,,
CFT_dingy,SHIP,"A lavish, multi-room escape pod designed for corporate elites has been carefully reassembled into this heavy bomber. Crews appreciate the rear-facing PD mount as much as they do the plush carpeting.",Heavy Bomber,,
CFT_mizzen,SHIP,A PD drone with guidance systems so primitive they are written in a pre-Domain programming language. Can take a fair amount of punishment thanks to its Omni shield.,PD Drone,,
CFT_skiff,SHIP,The primary fighter of the CFT arsenal. Purpose-built for securing kills on distant unshielded targets.,Interceptor,,
CFT_centurion,SHIP,A Recreational Drug-fueled bender led CFT’s top ace to design this on the back of his TriPad in permanent marker. Superior to the Skiff in every way except durability.,Interceptor,,
CFT_skjold,SHIP,"While most CFT fighter jockeys claim they want to fly a Centurion, the truth is the Skjold is a far more popular posting. A rock-solid fighter that is difficult to bring down.",Heavy Fighter,,
CFT_blackburn,SHIP,"Occupies a similar role to the Cobra in CFT fleets. Annihilates even the sturdiest hull and armor, and benefits greatly from a fighter screen",Torpedo Bomber,,
CFT_tender,SHIP,This no nonsense prototype mining drone is currently exclusive to the CFT Combat Engineers for field testing. Able to withstand the battering of an asteroid field it also doubles as an armored fighter when things get hairy. ,Mining Drone,,
CFT_arkyd,SHIP,Carter's combat engineers made this fighter to compliment and expiate their resource extraction when mining. It is equipped with two new prototype electromagnetic rail guns and a proprietary ship system that deploys four mining drones that requires a crew of four to operate. Unfortunately due to the nature of these weapons it cannot deploy shields and relies on armor for protection.,Combat Engineer drone deployer,,
,,,,,
planet_king,CUSTOM,This planet is the landing site of the Carter clan fleet in the early days of the migration. It has since been the heart of CFT's operations.,,,
planet_prussia,CUSTOM,"An arid planet, Prussia serves as  CFT's primary ship build facility and salvage base of operations to process the debris found all over the sector and turn it into something useful. ",,,
Prussia_desc,CUSTOM,"This station was erected by Carter's Freetraders as a combined sentinel for the nearby warp point as well as a trans-hub for the collection, smelting and processing of ore mined in the nearby belt and unsettled planets. Salvaged and mined commodities are available for sale and a refit and repair facility are available as well as a bar where more shady business can be conducted.",,,
planet_porthleah,CUSTOM,"Porthleah is a remote pirate stronghold set up as a base of operations that provides an alternate market for CFT's ""salvage"".",,,
,,,,,
,,,,,
CFT,FACTION,"Carter's Freetraders was founded by the legendary freebooter John Carter who sold his holdings and migrated his clan to the Corvus sector to start anew. CFT is a trading faction focused on smuggling and salvaging. They live just outside the law of most factions but have a reputation for making honest deals. 

They have a realistic stance on using the technology they scavenge, if it works use it. Their stance on not dealing in coned organs and slaves puts them in good standing with the Lud and their profits help them turn the eye of Hegemony inspectors even though they use cores in their industry.",,,
,,,,,
CFT_basilisk,WEAPON,This triple burst medium cannon got its name from the mythological basilisk: a fire-breathing venomous serpent that could cause large-scale destruction and kill its victims with its glance alone. The very sight of its incoming shot should be enough to scare the enemy to death.,Anti Armor,,
CFT_culverin,WEAPON,"A point defense weapon that fires blasts of large shots at extremely high speeds. 

Though incredibly damaging, the shots disperse shortly after, making this an extremely short ranged weapon most effective against missiles and fighters.",Point Defense,,
CFT_spreadchaingun,WEAPON,"A modified chaingun that fires multiple shots at once spread over a wide area. 
 
The modification makes this weapon more effective at closer range, or against fighters.",Anti Armor,,
CFT_volleyrocket,WEAPON,Fires five wildly inaccurate rockets at high velocity and does excellent damage versus shields but do not be fooled by the raw DPS as most will miss. Very effective at baiting point defense systems though.,Anti Shield,,
CFT_demiculverin,WEAPON,"A light needler modified to burst into more needles that creates a spread effect.

Yet another experiment employed by the Scrapper forces.",Anti Shield,,
CFT_bombard,WEAPON,"An extremely effective heavy dual flak cannon, it has been modified to fire faster and more powerful shells.",Point Defense,,
CFT_dartgun,WEAPON,Designed to fire charged core flechettes that excel at depleting enemy shields.,Anti Shield,,
CFT_shredder,WEAPON,A machine gun that fires bursts of powerful kinetic shots at good range.,Anti Shield,,
CFT_wrecker,WEAPON,A powerful ballistic weapon that deals heavy explosive damage at long range at the cost of long reloads.,Anti Armor,,
CFT_infernorockets,WEAPON,A two stage explosive MIRV missile that starts off as an unguided rocket to confuse PD systems then splits into 4 guided missiles that target the rear of enemy ships as they approach in order to circle around shields.,Anti Armor,,
CFT_hellfirerockets,WEAPON,"Fires large inferno rockets in groups of three, that splits into eight guided MIRV missiles that target the rear of enemy ships as they approach in order to circle around shields.",Anti Armor,,
CFT_pointmissiles,WEAPON,"A specialized missile designed to chase down any and all targets with its` great launch speed. However, unlike most other missiles, they carry an EMP charge instead of an explosive one.",Point Defense,,
CFT_falconet,WEAPON,A slow fire weapon that  packs a decent punch for its` size.,Anti Armor,,
CFT_autocannon,WEAPON,Using an electromagnetic coil this weapon propels its` dense core projectiles long distances that can penetrate armor and the charged impact has a chance of disabling systems.,Anti Armor,,
CFT_howitzer,WEAPON,"A large, powerful twin burst cannon. It can be fired again quickly after, but the force of the shots typically requires a quick recalibration after firing.",Anti Armor,,
CFT_saker,WEAPON,"A large weapon that fires a multitude of kinetic shots. Devastates shields, but quickly loses accuracy.",Anti Shield,,
CFT_firestorm,WEAPON,The final stage of modified MIRV missile weapons. The Firestorm can fire its` eight second stage Hellfire Rockets faster than its` smaller counterpart.,Anti Armor,,
CFT_sledge,WEAPON,A powerful armored missile built to devastate any target it reaches. The additional plating allows it to withstand PD fire but causes it to move very slowly.,Anti Armor,,
CFT_paixhan,WEAPON,A small flak weapon that fires ballistic shrapnel-filled shells fitted with a proximity fuse. The hail of flechettes from the resulting explosion are particularly effective against fighter craft and slower missiles.,Point Defense,,
CFT_fogger,WEAPON,An inaccurate cheap point defense system that trades accuracy for turn speed and fire rate.,Point Defense,,
CFT_wavemotion,WEAPON,The wavemotion beam is explosive when applied to target ship hulls.,Anti Armor,,
CFT_wavemotiongun,WEAPON,"This weapon rapidly bends space in a vacuum, resulting in highly explosive damage to the unfortunate target. ",Anti Armor,,
CFT_wavepulse,WEAPON,This weapon uses the wavemotion technology and compresses it into a pulse charge. Doing more damage than the standard pulse laser but with a higher flux budget and a slight delay in re-fire.,ENERGY,,
CFT_pdwburst,WEAPON,A scaled down version of the standard pd burst laser using wavepulse technology,ENERGY,,
CFT_heavywburst,WEAPON,By focusing the wavemotion beam and incorporating pulse technology this weapon can better drain enemy shields though at a shorter range.,Anti Shield,,
CFT_mpdwburst,WEAPON,A scaled up Twin Barrel version of the standard pd burst laser using wavepulse technology.,ENERGY,,
CFT_s_carronade,WEAPON,"Using the leftover scrap from their salvaging missions, CFT designed this fragmentation torpedo as a cost savings measure.",Anti Hull,,
CFT_m_carronade,WEAPON,A medium version of the Carronade fragmentation torpedo that fires multiple flechettes made from leftover scrap. Quantity over quality!,Anti Hull,,
CFT_l_carronade,WEAPON,This cost saving solution to munitions has been used to overwhelm point defense by sheer weight of numbers.,Anti Hull,,
CFT_katyusha ,WEAPON,"The Katyusha missile's damage is nothing impressive, however the low ordnance cost, long range and a three rocket burst allows it to overwhelm enemy PD systems.",Support Fire,,
CFT_twinrocket,WEAPON,The Twin Plasma Rocket Launcher fires two fast direct fire unguided superheated rockets that deplete enemy shields.,Anti Shield,,
CFT_chet,WEAPON,"A cheap weapon made from bits of leftover scrap welded to a short ranged rocket, best used once armor is stripped away. Quantity over quality is the phrase that best describes this weapon.",Anti Hull,,
CFT_pmb,WEAPON,"Harnessing waveform pulse energy into a condensed shot this weapon's shot is primed to explode on contact. Initially designed as a mining weapon for breaking up small asteroids, it doubles as an effective HE weapon verses ship armor.",Anti Armor,,
CFT_mpmb,WEAPON,"Harnessing waveform pulse energy into a condensed shot this weapon fires a twin shot that is primed to explode on contact. Initially designed as a mining weapon for breaking up medium asteroids, it doubles as an effective HE weapon verses ship armor.",Anti Armor,,
CFT_lpmb,WEAPON,"Harnessing waveform pulse energy into a condensed shot this weapon's powerful shot is primed to explode on contact. Initially designed as a mining weapon for reaching a planet's core, it doubles as an effective HE weapon verses ship armor.",Anti Armor,,
CFT_ltautocannon,WEAPON,This weapon was designed to break down fast moving asteroids when mining in a dense belt. The extended range allows ships to stay at a safe distance and also doubles as great hull chewer when chasing down targets when used in combat mode. The electromagnetic propulsion system used conveys a small EMP charge when its` projectiles impact.,Anti Hull,,
CFT_medautocannon,WEAPON,This medium sized variant was designed to break down asteroids when mining in a dense belt. The extended range allows ships to stay at a safe distance and also doubles as great hull chewer when chasing down targets when used in combat mode. The electromagnetic propulsion system used conveys a small EMP charge when its` projectiles impact.,Anti Hull,,
CFT_lrgautocannon,WEAPON,This large sized variant was designed to drill into moons and lifeless planets when mining. The extended range allows ships to stay at a safe distance to collect the minerals that expel from the surface. It also doubles as great hull chewer when chasing down targets when used in combat mode. The electromagnetic propulsion system used conveys a small EMP charge when its` projectiles impact.,Anti Hull,,
,,,,,
CFT_empburst,SHIP_SYSTEM,"Combat Enginners aboard ship are trained to activate a modified EMP generator that disables nearby missiles, fighters, weapon emplacements and engines of enemy ships if things get our of hand.",Special,"Combat Engineers aboard ship are trained to activate a modified EMP generator that disables nearby missiles, fighters, weapon emplacements and engines of enemy ships if things get our of hand. The effect is unfortunately mostly negated by shields.",
CFT_cedrones,SHIP_SYSTEM,Combat Engineers aboard the Arkyd deploy a flight of four mining drones to asset in resource extraction and also provide PD support if attacked.,Special,Combat Engineers aboard the Arkyd deploy a flight of four mining drones to asset in resource extraction and also provide PD support if attacked.,
