id,type,text1,text2,text3,text4,notes
ii_javelinsmall,WEAPON,"The Javelin ASM is a heavy medium range anti-ship missile that trades speed for extreme durability. Slow and inevitable. This rack contains a pair of ready-to-fire missiles.

The Javelin ASM is an offshoot of the Harpoon MRM, developed by Vulcan over a long period of iterative development. In its current form, it doesn't even resemble the original missile, but it paradoxically fulfills a similar role. While the original's fine attitude controls and powerful thrusters made it great at chasing down frigates, much of that speed was wasted against harder targets. The Javelin, on the other hand, boasts a much bigger warhead and enough ablative plating to be considered paranoid, a feature the Harpoon decidedly lacks.",,,,
ii_javelin,WEAPON,"The Javelin ASM is a heavy medium range anti-ship missile that trades speed for extreme durability. Slow and inevitable. This launcher pod contains a handful of missiles, prepped and released in triplets from an internal magazine.

The Javelin ASM is an offshoot of the Harpoon MRM, developed by Vulcan over a long period of iterative development. In its current form, it doesn't even resemble the original missile, but it paradoxically fulfills a similar role. While the original's fine attitude controls and powerful thrusters made it great at chasing down frigates, much of that speed was wasted against harder targets. The Javelin, on the other hand, boasts a much bigger warhead and enough ablative plating to be considered paranoid, a feature the Harpoon decidedly lacks.",,,,
ii_javelinlarge,WEAPON,"The Scorpio is a terrifying strike weapon, capable of deploying six Javelins - heavy medium range anti-ship missiles that trade speed for extreme durability - all at once. Easily overwhelms point defense grids and can shatter beleaguered shield systems in a single salvo.

The Javelin ASM is an offshoot of the Harpoon MRM, developed by Vulcan over a long period of iterative development. In its current form, it doesn't even resemble the original missile, but it paradoxically fulfills a similar role. While the original's fine attitude controls and powerful thrusters made it great at chasing down frigates, much of that speed was wasted against harder targets. The Javelin, on the other hand, boasts a much bigger warhead and enough ablative plating to be considered paranoid, a feature the Harpoon decidedly lacks.",,,,
ii_lux,WEAPON,"Small but fierce, the Lux Repeater is a premium anti-armor weapon boasting a desirable combination of range and burst damage.

The Lux Repeater was actually Justitia's idea, having requested a counterpart to the highly-respected needler weapons (allegedly for aesthetic purposes). Vulcan, as the stories go, begrudgingly acquiesced to Justitia's demands at the insistence of then-emperor Germanus, crafting a beautiful weapon of war to appease the mercurial goddess. The result is the Lux Repeater, a somewhat impractical but admittedly powerful weapon that achieves its aesthetic goals. Best used in situations where a lot of power needs to be packed into a tightly limited number of slots.",,,,
ii_solis,WEAPON,"This weapon is a heavy twin-linked cannon, adept at cracking holes through armor with tightly-grouped high-explosive shells. Offers best-in-class performance normally associated with much larger weapons.

The Interstellar Imperium has been very secretive about the Solis Cannon's manufacturing process. One of the relatively few things known about it is that the majority of the development went into the ammunition, rather than the weapon itself. Solis shells are exceptionally explosive to a degree that shouldn't be possible, suggesting that some type of exotic material - perhaps antimatter - is utilized. As it stands, very few ships' armor can withstand a direct hit from this weapon. Evidently, this power comes at a cost: it's expensive and difficult to mount, largely due to the sophisticated munitions foundry built into the housing.",,,,
ii_telum,WEAPON,"This is a high-end kinetic weapon, capable of pressuring and overloading even the strongest shield systems. Individual shells are powerful enough to threaten weakened armor sections.

The Telum Autocannon fires shells at such a high velocity that repeated rounds would actually cause structural failure inside the weapon. To counteract this, the weapon uses a rotary triple-barrel system, making it larger and more mechanically complex than it might have otherwise been. Still, the Telum's performance is famously high, earning the weapon a reputation for overloading shields more reliably than any other.",,,,
ii_heavypulselaser,WEAPON,"An upgraded, overcharged variant of the Pulse Laser, this weapon trades efficiency for raw damage output. Good armor penetration and short-term shock capabilities, but usually can't be fired continuously.

The Heavy Pulse Laser is an appropriate name for a weapon that literally began from a reverse-engineered Pulse Laser blueprint. After undergoing a set of radical electrical changes and optimization efforts by the hand of Vulcan, this much deadlier weapon began to resemble a mixture of the Pulse Laser and the Heavy Blaster - stronger than the former but more efficient than the latter. A favorite of the Imperial Guard, as this weapon requires amazing reactor output to make full use of.",,,,
ii_fundae_s,WEAPON,"This pod launches a cluster of eight SRMs, with internal capacity for eight firing cycles. Fundae SRMs, while individually weak, are high-performance defensive missiles capable of dispatching fighters and other small craft with ease.

A wholesale replacement of the venerable Swarmer, this weapon system is a unique invention of the Imperium's greatest minds - namely, its three AI deities. Seeking a definitive trump card to be used against heavy carrier tactics (a notable counter to the Titan Planetbreaker), the Fundae is hyper-specialized for the task of destroying fighter craft. A general explosive warhead is augmented with a smart-fragmentation system that distributes flechettes optimally, while retaining excellent thruster performance for pursuit capability. However, the missile's small package leaves little for hardening; usefulness against warships is tempered by the ease by which a Fundae can be shot down by even the cheapest point defenses.

The Fundae remains the pre-eminent anti-fighter missile system in the Persean Sector, but tight manufacturing tolerances and a sophisticated loading system drives up cost and makes the launchers notoriously difficult to mount.",,,,
ii_fundae_m,WEAPON,"This pod launches a swarm of fourteen SRMs, with internal capacity for twelve firing cycles. Fundae SRMs, while individually weak, are high-performance defensive missiles capable of destroying fighters and other small craft with ease.

A wholesale replacement of the venerable Swarmer, this weapon system is a unique invention of the Imperium's greatest minds - namely, its three AI deities. Seeking a definitive trump card to be used against heavy carrier tactics (a notable counter to the Titan Planetbreaker), the Fundae is hyper-specialized for the task of destroying fighter craft. A general explosive warhead is augmented with a smart-fragmentation system that distributes flechettes optimally, while retaining excellent thruster performance for pursuit capability. However, the missile's small package leaves little for hardening; usefulness against warships is tempered by the ease by which a Fundae can be shot down by even the cheapest point defenses.

The Fundae remains the pre-eminent anti-fighter missile system in the Persean Sector, but tight manufacturing tolerances and a sophisticated loading system drives up cost and makes the launchers notoriously difficult to mount.",,,,
ii_onager,WEAPON,"This specialized launcher deploys a unique type of torpedo with an internal supply of thirty-six Fundae SRMs. In addition to being a top-class anti-fighter weapon by virtue of its submunitions, the Onager is a powerful anti-capital torpedo in its own right. Difficult to shoot down. Most effective against carriers.

The Onager MIRV is a very recent design, practically fresh off the manufactories of Nova Capitalis. The ultimate in anti-carrier technology, this weapon system delivers a one-two punch. First, a swarm of thirty-six Fundae SRMs are launched from the torpedo's internal housing as soon as either the carrier or its fighters draw near. Second, the torpedo proceeds to strike the carrier with a powerful high-explosive charge. Sustained Onager barrages can leave even the largest carriers completely drained of resources and vulnerable to a mop-up task force, such as a group of frigates and destroyers - or your own carriers.",,,,
ii_custos,WEAPON,"An all-business point defense beam specialized for anti-missile duty. Rips apart incoming ordnance with ruthless efficiency, but lacks the range to do much else. Also effective against unshielded, lightly-armored fighters.

This weapon was developed by the Imperium in the early days after the Collapse, closing a significant weakness on many of their hulls: poor point-defense coverage. Lacking the luxury of overlapping slots, particularly in the rear, the Custos Defender was created specifically to be as effective against missiles (and only missiles) as possible, thereby squeezing out the utmost performance in a limited space. Since then, the crude weapon was refined and made more efficient, but its characteristics have remained largely the same for nearly two centuries.",,,,
ii_particlegun,WEAPON,"A low-cost, low-performance point defense weapon. Surprisingly effective when deployed in large numbers.

The Particle Gun is a warship-grade conversion of a weapon system that appears on certain Imperium fighter chassis. Its low cost and excellent efficiency makes it suitable as ""slot-filler"", and it performs particularly well on Imperial ships with the ""Targeting Package"" suite of modifications. Brash commanders often make the mistake of ignoring this weapon, foolishly wasting precious ordnance on unnecessary high-end point defense systems when the lowly Particle Gun would do just fine.",,,,
ii_particlecannon,WEAPON,"An advanced tactical suppression cannon capable of chipping away at shields and shredding unprotected hull. Useful for general long-range attack capability, but excels at pressuring and finishing off damaged targets.

The Extended Range Particle Cannon is related to the Particle Gun in terms of physics principles, but is otherwise completely distinct as a weapon system. An advancement upon the Tactical Laser's combat role, this weapon is an important component of the Imperial arsenal. The ER Particle Cannon's primary purpose is to ""checkmate"" a weakened opponent by leveraging its range to force a choice between two fatal outcomes. Either the target can drop shields, in which case this weapon will make short work of the underlying hull; or the target can remain shielded, dooming itself to eventually being flux-locked and subsequently struck down.

The standard Particle Cannon was never put into production, given its poor performance in simulations. However, the ""Extended Range"" name stuck on the follow-up (much more successful) design.",,,,
ii_arcus,WEAPON,"This high-velocity autocannon trades overall kinetic damage output for improved efficiency. Ideal for ships with excess weapon slots. Fairly fast and accurate.

The Arcus Autocannon is a standard-issue Imperium retrofit, generally used in place of the Light Autocannon series of weapons. In Imperial design doctrine, warships generally have more weapon hardpoints than their reactors can sustainably support; this weapon attempts to remedy the situation by offering a low-yield, high-efficiency alternative. Some captains malign this weapon for its conservative design, but its reliability is begrudgingly respected even by such detractors.",,,,
ii_siegemortar,WEAPON,"This high-yield explosive weapon trades overall anti-armor damage output for improved efficiency. Ideal for ships with excess weapon slots. Long-ranged and excellent for cracking through armor, but very inaccurate.

The Siege Mortar is a standard-issue Imperium retrofit, generally used in place of the Light Assault Gun. Generally seen as a better fit for Imperial combat doctrine, this weapon is a high-efficiency alternative with better armor penetration but weaker attack pressure. Some captains consider the Siege Mortar's poor accuracy to be its Achilles' Heel, but others argue that it's only as accurate as it needs to be to get the job done.",,,,
ii_photonbeam,WEAPON,"A heavy long-range beam capable of extreme output, but for a very short burst. Blasts straight through armor and strains weaker shield systems. Requires special ammunition.

The Photon Beam Cannon - or PBC - is a siege-grade laser weapon with ludicrously high energy content, far exceeding any standard Domain equipment in peak output. Requiring massive internal capacitors and ungainly ultra-grade flux conduits, this weapon is impossible to be modularized; certain Imperial hulls are built around it, as a result.

The PBC produces a laser hot enough to potentially ignite atomic fusion, which poses certain challenges... as a result, the entire mid-weapon assembly is a heavily-shielded single-use gain medium, designed to be able to absorb all of the waste heat. This weapon's burst length is so short because this part of the weapon literally melts into a star-hot puddle of plasma, posing a physical limit on the beam's duration. After this happens, the gain medium - container and all - is quickly ejected into space so that a fresh one can be installed while the capacitors recharge. All told, the PBC is a marvel of weapons engineering.",,,,
ii_croceamors,WEAPON,"This spinal-mounted weapon is a powerful railgun that accelerates the projectile to relativistic speeds. Such extreme acceleration turns the projectile into a blob of plasma as a byproduct, making it function similarly to an energy weapon. Dangerous and difficult to avoid.

The Crocea Mors uses a unique two-stage acceleration mechanism, exploiting the Caesar's long hull to produce a higher muzzle velocity than just about anything else. The first stage is a classic electromagnetic matter accelerator, while the second stage exploits poorly-understood P-space physics to warp space-time as the projectile passes by, greatly magnifying the superconductor coils' effects like an EM-lens.

Minerva's first attempt at a final solution to the Imperium's tenuous position in the Persean Sector, the Crocea Mors didn't quite live up to expectations. While it is a very powerful weapon in space, the projectile is just not energetic enough to cause sufficiently dire damage on a planetary scale. The Titan, developed decades later, would eventually fill the shoes that the Crocea Mors failed to wear.",,,,
ii_gravitycannon,WEAPON,"This enormous and unusual beam weapon creates a powerful gravitic effect, shearing hull and pushing the target with great force.

So large and sophisticated is the Gravity Cannon that it cannot be mounted onto a starship; only a full orbital station can power such a device. With immense range, it is often used as a method to single out targets from a larger invading fleet by hurling them into space, away from their allies.",,,,
ii_photonblaster_left,WEAPON,"A product of the Adamas' unique power system, this blaster fires a steady cadence of supersaturated energy pulses. A straightforward - yet devastating - weapon.

The Photon Blaster was originally an afterthought, essentially a weaponized adaptation of the catalyzed containment field system integral to the Adamas' Lightspear. Relatively few modifications were needed in order to craft a terrifying weapon out of the otherwise innocuous CCFS. Early photon blaster tests yielded overwhelmingly positive results, prompting the final Adamas design's commitment to making the most out of them, leading to the Lux Finis's mode-shifting behavior.

While it is theoretically possible to create a modular variant of the photon blaster, Vulcan ultimately deemed such an endeavor to be too impractical to be worth the cost. This decision has been a matter of continuing debate within the Pantheon.",,,,
ii_photonblaster_right,WEAPON,"A product of the Adamas' unique power system, this blaster fires a steady cadence of supersaturated energy pulses. A straightforward - yet devastating - weapon.

The Photon Blaster was originally an afterthought, essentially a weaponized adaptation of the catalyzed containment field system integral to the Adamas' Lightspear. Relatively few modifications were needed in order to craft a terrifying weapon out of the otherwise innocuous CCFS. Early photon blaster tests yielded overwhelmingly positive results, prompting the final Adamas design's commitment to making the most out of them, leading to the Lux Finis's mode-shifting behavior.

While it is theoretically possible to create a modular variant of the photon blaster, Vulcan ultimately deemed such an endeavor to be too impractical to be worth the cost. This decision has been a matter of continuing debate within the Pantheon.",,,,
ii_lightspear,WEAPON,"The Adamas is constructed around this titanic beam weapon, and even then it must reconfigure its power system mid-combat in order to fire. After a charge-up sequence, this weapon does extremely heavy damage, sufficient to overpower and destroy smaller ships in a single stroke.

The fancifully-named Lightspear was dreamed up by the AI goddess Minerva and realized by her AI god counterpart, Vulcan. Essentially an incredibly power laser, its gain medium is a homogenous quantum-crystalline field, a concept whose properties were previously thought to be poorly understood. However it works, this weapon is demonstrably monstrous in both power and proportions, forever locked to the Adamas' unique design.

Completion of the Lightspear, despite widespread reports of the Adamas' problematic design cycle, continues to spawn rumors that the so-called Imperial Pantheon has already exceeded the Domain's mastery of technology. Such rumors are dismissed as baseless conjecture by both the Imperium and - surprisingly - the Tri-Tachyon Corporation.",,,,
ii_armageddon,WEAPON,"A self-replenishing launcher that fires waves of slow, swarming MRMs with erratic, unpredictable flight behavior. Ideal for pressuring and distracting a wide variety of targets.

The Apocalypse MRM uses a plethora of hard-coded and inefficient guidance algorithms in order to confuse the target's point defense systems, sacrificing speed for sheer suppression potential. The explosive payload is less than ideal, but nevertheless a large swarm of these missiles is a serious threat to any target. Many potential performance-enhancing modifications could conceivably be made to the Apocalypse MRM, but simplicity was prioritized and tolerances were slackened in order to better serve in-combat construction of replacement ordnance.",,,,
ii_triplepbc,WEAPON,"A heavy tri-linked beam weapon ideal for sustained pressure against smaller targets. Performs well against armor, unlike most beam weapons.

The Triplex Beam Cannon - or TBC - is an offshoot of the Photon Beam Cannon. Scaling the weapon up to a larger size was found to be impossible, so the PBC was actually downsized and duplicated, cramming three such weapons into one housing assembly. The result is an altogether weaker beam with less stringent power requirements and a reduced thermal load, allowing the three emitters to alternate for an overall rapid firing cycle.",,,,
ii_patella,WEAPON,"A steady-firing heavy EMP weapon, capable of ravaging even the most hardened subsystems without sacrificing raw damage output. Notoriously inefficient.

Based on the standard ion cannon found on many worlds, the Patella Breaker was designed from the ground up to complement the Maximus' combat role: a hard-hitting strike-disabler. The resulting design is not really transferable to a modular slot, but the resulting weapon outperforms even an ion pulser in sustained workloads.",,,,
ii_titan_w,WEAPON,"This is the Imperium's final trump card, singularly responsible for their continued existence outside of the Domain's AI laws: mutually assured destruction. A strategic weapon like no other, the Titan's destructive power vastly exceeds any other shipborne weapon system. In its base configuration, the Titan's blast wave can consume nearly an entire battlefield.

The Titan Project is the brainchild of Minerva and Vulcan, two deific AI entities with broad reign over most of the Interstellar Imperium. Seeking a way to prevent the Imperium's downfall - and with it, their destruction - the pair set out to forge a superweapon that could hold the Hegemony at bay. Owing to decades of relatively unopposed buildup during the First AI War, the Imperium ultimately succeeded, creating a warhead with a destructive yield within spitting distance of an original Domain-manufactured planetkiller.

Further enhancements to the Titan resulted in its integration into a cruiser-sized missile, and eventually the creation of a purpose-built ship to house it: the Olympus-class. The ease of delivery and, more importantly, manufacturing accessibility resulted in an unprecedented tipping of the scale, credited with single-handedly forestalling a brutal Hegemony crackdown on the burgeoning Interstellar Imperium. Despite the gross impracticalities of actually fielding enough Titans to beat back the Hegemony, the mere threat that the Imperium could, in fact, burn a large fraction of the sector's populated worlds with their current arsenal has forced a tenuous stalemate.

Other variations upon the Titan have been experimented with, but the original Titan Planetbreaker is a device mimicking the behavior of a starship's power core. Even the radiance of a Paragon's destruction, however, is merely a candle to the Titan's bonfire: once the warhead is primed, a series of unshielded phase coils is activated in precisely the correct sequence to trigger a reality disruption event. Compounding the detonation of the core with the power amplification effect caused by an exponential time-factor increase, the resulting instantaneous energy output is sufficient to rip apart the vacuum itself. An enormously large amount of energy is thus released, converting the Titan into exotic matter and raising the temperature of nearby material far beyond that of the core of a star. In short, it can melt a continent. Notably, shield and phase systems are insufficient to protect against the initial blast.",,,,
ii_apocalypse_mirv,WEAPON,"Fires endless waves of slow, swarming LRMs with erratic, unpredictable flight behavior.",,,,
ii_fundae_mirv,WEAPON,"Fires endless waves of fast, swarming MRMs that chew through fighters with ease.",,,,
ii_magna_fulmen,WEAPON,"The Libritor is built around this spinal-mounted weapon: a long-range energy projector with top-rate striking power. While the standard firing cycle is lengthy, banks of reserve capacitors built into the hull (the Arbalest Loader system) keep the Magna Fulmen ready to go at a moment's notice.

With the Magna Fulmen bears a similar tactical profile to the Crocea Mors, they operate on entirely different technologies. Developed much later than the Caesar's spinal gun, the Magna Fulmen is a pure directed energy weapon that feeds directly from the Libritor's reactor for power. At the moment of firing, so much energy is released instantaneously that it arcs through the vacuum of space, creating lightning from trace gases escaping from the ship's thrusters.

The Magna Fulmen has a wide range of variants, swapped out at the drydock as part of an Imperial Package installation. Some of these variants are dual-mode, offering more tactical options in battle at the cost of a more complicated capacitor arrangement.",,,,
ii_particlegun_f,WEAPON,"A low-cost, low-performance point defense and anti-fighter weapon. Purpose-built for the Flamen, this weapon fires in bursts to strike down missiles and other small craft.",,,,
ii_particlerepeater,WEAPON,"A continuous-fire variant of the Particle Gun, designed for swivel mounts and defensive use.",,,,
ii_lux_fighter,WEAPON,"A miniaturized (and slightly weaker) variant of the Lux Repeater, designed solely for the Draconarius. Boasts powerful anti-armor capabilities and superior range compared to similar weapons.",,,,
ii_pulsarbomb,WEAPON,"A quantity-over-quality saturation weapon system. Very easy to fabricate; a fighter bay can churn out a prodigious number of Pulsar Bombs over the course of a battle, allowing the Inferna to rain destruction down upon the enemy.",,,,
ii_ballista_f,WEAPON,"An artillery missile with a two-stage propulsion system. Offers a first-strike punch that is hard to avoid from medium range. Comes with spare munitions, but the reloader is rather slow and basic, to save tonnage.",,,,
ii_fundae_f,WEAPON,"This rack launches two SRMs in sequence, but requires a long time to reload from the internal magazine. Fundae SRMs, while individually weak, are high-performance defensive missiles capable of dispatching fighters and other small craft with ease.",,,,
ii_arcus_f,WEAPON,This high-velocity autocannon trades overall kinetic damage output for improved efficiency. Fairly fast and accurate. This variant is downsized for use on fighter craft.,,,,
ii_siegemortar_f,WEAPON,"This high-yield explosive weapon trades overall anti-armor damage output for improved efficiency. Long-ranged and excellent for cracking through armor, but very inaccurate. This variant is downsized for use on fighter craft.",,,,
ii_javelin_f,WEAPON,"The Amentum is a powerful close-range torpedo, designed specifically for the Carnifex. Hard to intercept, owing to its durability and the extreme speed of the bomber that launches it.",,,,
ii_custos_f,WEAPON,"An all-business point defense beam specialized for anti-missile duty. Rips apart incoming ordnance with ruthless efficiency, and works well against unshielded, lightly-armored fighters. Customized for deployment on the Sectator.",,,,
ii_sledgegun_f,WEAPON,A long-range support weapon that can directly add to the overall firepower of the mothership. Ineffective against shields. Customized for deployment on the Sectator.,,,,
,,,,,,
ii_basileus,SHIP,"Rotund and spacious, the Basileus-class trades grace for unmatched firepower. With missiles payload that can top out at volumes typical for a cruiser - let alone a frigate - and the flexibility to adopt a competent direct-fire role as well, the Basileus commands begrudging respect from all but the least pragmatic Imperial commanders.

After looking past its striking lack of sex appeal, one can see this unassuming ship for what it is: a deliverer of death. It is clear that the Basileus' designers had to make certain sacrifices in order to fit a miniaturized autoforge into a standard frigate's berth, but the results speak for themselves. Few frigates - even the most advanced technological marvels employed by the Tri-Tachyon - can best a properly-equipped Basileus' time-to-kill.

Like most ships designed by the Interstellar Imperium, this hull is left underutilized; conspicuous design exclusions and unfilled modular slots harm the ship's base performance compared to similar vessels of other philosophies. However, this practice offers an unusual level of flexibility for equipment selection in the field, and a series of standardized ""packages"" can be fitted at port for specialized performance in a particular area.",,,,
ii_carrum,SHIP,"Essentially an armed cargo container, the Carrum is the de-facto workhorse of the Imperium, valued for being incredibly easy to maintain and manufacture. Can be easily stacked.

The Carrum-class actually serves as the basis for all other Imperial freighters, re-using the standardized cargo pod popularized by this unassuming hauler. It may not be glamorous, but many a quartermaster working for the Interstellar Imperium believe superstitiously that the Carrum is holy, blessed with luck and success by the Pantheon that designed it, and will angrily berate anyone who dares belittle the humble freighter.

Like most ships designed by the Interstellar Imperium, this hull is left underutilized; conspicuous design exclusions and unfilled modular slots harm the ship's base performance compared to similar vessels of other philosophies. However, this practice offers an unusual level of flexibility for equipment selection in the field, and a series of standardized ""packages"" can be fitted at port for specialized performance in a particular area. In addition, the ship's cargo configuration can be rearranged as a part of installing one of these packages.",,,,
ii_decurion,SHIP,"The Decurion is a fast skirmisher gunship with warship-grade armaments, the quintessential jack-of-all-trades with a place in any Imperial fleet. Despite its on-paper statistics, the Decurion-class is only as good as its captain; the combination of flux-hungry weapons and short-term maneuverability is a reliable source of junior officer casualties.

Outfitting the Decurion properly can be a distinct challenge for fleet commanders. Careful consideration of the ship's maneuverability and flux budget is required to make the best of its capabilities, and poor-quality equipment can severely limit its effectiveness. While Minerva adores the Decurion's valorous potential, Vulcan dislikes its drain on valuable Imperial manufacturing capacity.

Like most ships designed by the Interstellar Imperium, this hull is left underutilized; conspicuous design exclusions and unfilled modular slots harm the ship's base performance compared to similar vessels of other philosophies. However, this practice offers an unusual level of flexibility for equipment selection in the field, and a series of standardized ""packages"" can be fitted at port for specialized performance in a particular area.",,,,
ii_triarius,SHIP,"The Triarius-class is heavily armed and even more heavily armored, trading speed and maneuverability for the ability to survive in a large engagement. Excels at escort duties, and functions as an excellent wingmate in an attack group.

Pretty much any combination of weapons on a Triarius can work, making it practical to outfit even after resources run dry. The Turbofeeder system can compensate for flux-hungry loadouts, and the ship's heavy armor can cover for a greedy venting order. It may not be glamorous, but the Triarius-class is the Imperium's primary combat frigate for a reason.

Like most ships designed by the Interstellar Imperium, this hull is left underutilized; conspicuous design exclusions and unfilled modular slots harm the ship's base performance compared to similar vessels of other philosophies. However, this practice offers an unusual level of flexibility for equipment selection in the field, and a series of standardized ""packages"" can be fitted at port for specialized performance in a particular area.",,,,
ii_maximus,SHIP,"A recent design, the Maximus-class is a close-in strike frigate with the ability to aggressively dive through the flow of time to devastate an unsuspecting target. Specializes in heavy EMP capabilities.

The Imperial phase program remains shrouded in mystery, and the Maximus is no exception. Somehow, this ship is able to ""borrow"" time from itself, apparently slowing down for a while before abruptly speeding up to an incredible degree. Maximus crews tend to strongly dislike the assignment due to the blackouts and nausea involved, and there are widespread reports of hallucinations and other forms of mental destabilization. Perhaps some natural laws are not meant to be broken.

Like most ships designed by the Interstellar Imperium, this hull is left underutilized; conspicuous design exclusions and unfilled modular slots harm the ship's base performance compared to similar vessels of other philosophies. However, this practice offers an unusual level of flexibility for equipment selection in the field, and a series of standardized ""packages"" can be fitted at port for specialized performance in a particular area.",,,,
