name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Clipper,CFT_clipper,Heavy Destroyer,CFT Midline,CFT_empburst,12,5000,750,7200,,420,120,,90,70,60,35,30,660,FRONT,,270,0.4,0.8,,,110,180,100,100,3,33,9,80000,4,13,480,0.25,14,14,,,,,,,,cft_bp,,0.5,2,3,,
Collier,CFT_collier,Mining and Logistics,CFT Midline,CFT_empburst,18,5000,290,2820,,150,115,2,80,55,35,30,18,1500,OMNI,,165,0.5,1,,,40,80,1000,600,4,30,6,95000,3,20,480,0.25,16,16,,,,,,,"CIVILIAN, FREIGHTER",cft_bp,,0.6,2,3,,
Coventry,CFT_coventry,Heavy Cruiser,CFT Midline,fastmissileracks,17,8700,1480,10200,,540,195,,65,30,10,25,25,2800,FRONT,,100,0.5,1,,,210,300,120,220,5,30,8,115500,4,12,540,0.25,30,30,,,,,,,,cft_bp,,0.5,2,2,,
Cutty,CFT_cutty,Heavy Destroyer,CFT Midline,microburn,10,4800,510,7500,,500,105,,100,80,60,35,30,400,OMNI,,200,0.4,1,,,60,80,100,50,2,25,9,45000,5,15,300,0.25,11,11,,,,,,,,cft_bp,,0.5,2,3,,
Danube,CFT_danube,Salvage Miner,CFT Midline,CFT_empburst,7,3050,275,1800,,190,70,4,115,100,70,65,80,200,OMNI,,125,0.5,1,,,30,55,325,40,1,40,10,51500,8,20,240,0.25,7,7,,,,,,,CARRIER,cft_bp,,0.5,2,2,,
Draeck,CFT_draeck,Tug,CFT Midline,flarelauncher,3,500,150,1100,,65,30,1,90,150,120,45,50,200,OMNI,,90,0.4,1,,,20,45,150,15,4,5,8,19000,11,5,240,0.25,5,5,,,,,,,CIVILIAN,cft_bp,,0.25,2,2,,
Dhow,CFT_dhow,Phase Combat Tender,CFT Midline,microburn,10,6000,900,8000,,400,145,,60,50,30,15,15,1800,PHASE,phasecloak,120,,,0.06,0.06,40,90,1000,1000,4,300,8,120000,3,20,420,0.25,18,18,,,,,,,"TANKER, FREIGHTER",cft_bp,,0.5,4,5,,
Dromon,CFT_dromon,Command Carrier,CFT Midline,targetingfeed,29,8200,1400,9800,,1170,220,4,60,40,15,30,25,2800,OMNI,,105,0.5,1,,,250,350,150,220,5,30,8,215500,4,18,540,0.25,29,29,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",cft_bp,,0.5,4,5,,
Exeter,CFT_exeter,Superfreighter,CFT Midline,maneuveringjets,28,18000,1000,12900,,920,215,2,65,12,12,14,12,5100,OMNI,,200,0.4,1,,,800,2000,3500,1500,15,66,8,410000,3,15,840,0.25,50,50,,,,,,,CIVILIAN,cft_bp,,0.5,4,5,,
Foudre,CFT_foudre,Fast Carrier,CFT Midline,targetingfeed,18,5000,650,5100,,325,115,4,90,70,50,35,30,750,OMNI,,200,0.5,0.8,,,120,220,70,50,3,20,8,120000,3,11,360,0.25,25,25,,,,,,,CARRIER,cft_bp,,0.5,2,3,,
Freebooter,CFT_freebooter,Command Battlecruiser,CFT Midline,maneuveringjets,30,11050,1250,20200,,1370,305,2,70,25,20,10,5,2500,OMNI,,110,0.4,0.9,,,450,500,200,300,10,30,8,300000,3,15,600,0.25,45,45,,,,,,,,cft_bp,,0.5,2,4,,
Fusta,CFT_fusta,Corvette,CFT Midline,flarelauncher,3,500,95,2800,,280,45,,225,175,150,125,200,150,FRONT,,120,0.4,1,,,2,6,90,60,1,100,10,5500,3,3,360,0.2,3,3,,,,,,,CIVILIAN,cft_bp,,0.5,2,2,,
Galleon,CFT_galleon,Battlewagon,CFT Midline,canister_flak,30,15000,1200,15000,,880,295,2,50,35,35,15,15,3800,OMNI,,170,0.4,0.9,,,400,600,210,500,18,27,8,430000,3,15,800,0.25,45,45,,,,,,,CARRIER,cft_bp,,0.4,2,4,,
Griffon,CFT_griffon,Drone Tender,CFT Midline,maneuveringjets,18,9000,1140,6500,,370,120,4,100,120,70,27,27,1400,OMNI,,170,0.5,1,,,15,215,250,90,2,40,8,85000,8,20,240,0.25,28,28,,,,,,,"CARRIER, COMBAT",cft_bp,,0.5,2,2,,
Ironclad,CFT_ironclad,Phase Heavy Cruiser,CFT Midline,microburn,20,10000,1900,12000,,1200,175,,50,50,40,35,35,1600,PHASE,phasecloak,120,,,0.08,0.08,80,125,200,200,3,67,8,65000,8,20,240,0.25,33,33,,,,,,,,cft_bp,,0.5,2,2,,
Jacht,CFT_jacht,Troop Transport,CFT Midline,flarelauncher_active,7,2500,400,3000,,140,90,,100,50,60,30,25,450,OMNI,,95,0.4,1,,,75,550,260,70,2,40,9,28000,5,15,360,0.25,7,7,,,,,,,"CIVILIAN, TRANSPORT",cft_bp,,0.5,2,3,,
Jackdaw,CFT_jackdaw,Heavy Frigate,CFT Midline,damper,7,2100,310,3000,,275,70,,125,120,90,50,60,200,FRONT,,210,0.4,0.9,,,25,50,85,45,1,25,10,9500,8,10,240,0.25,7,7,,,,,,,,cft_bp,,0.4,2,2,,
Kerberos,CFT_kerberos,Cruiser,CFT Midline,microburn,15,8100,980,15000,,860,230,0,70,50,20,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,120000,3,12,480,0.25,25,25,,,,,,,,cft_bp,,0.5,2,3,,
Knarr,CFT_knarr,Expeditionary Support,CFT Midline,CFT_empburst,26,12000,1500,14000,,700,260,4,50,20,15,15,15,4000,OMNI,,140,0.5,0.9,,,300,600,650,400,8,50,8,200000,2,13,720,0.25,20,20,,,,,,,"CIVILIAN, COMBAT",cft_bp,,0.5,2,4,,
Lennox,CFT_lennox,Command Destroyer,CFT Midline,microburn,10,2500,200,8000,,550,100,2,95,80,60,40,30,400,OMNI,,200,0.4,1,,,60,80,50,50,2,25,9,45000,5,15,300,0.25,11,11,,,,,,,,cft_bp,,0.5,2,3,,
Naruebet,CFT_naruebet,Small Carrier,CFT Midline,reservewing,9,3500,275,2600,,200,60,2,85,60,40,40,25,400,OMNI,,120,0.4,1,,,80,120,80,30,2,15,9,28000,5,10,360,0.25,10,10,,,,,,,CARRIER,cft_bp,,0.5,2,3,,
Odam,CFT_odam,Light Cruiser,CFT Midline,flarelauncher_active,12,6000,450,12000,,700,140,2,70,60,40,20,25,2000,FRONT,,360,0.6,0.7,,,65,250,300,150,2,100,8,140000,3,13,420,0.25,13,13,,,,,,,,cft_bp,,0.6,2,3,,
Pinnacle,CFT_pinnacle,Phase Frigate,CFT Midline,microburn,5,500,85,2800,,280,50,,175,150,100,90,180,150,PHASE,phasecloak,120,,,0.01,0.03,4,8,10,20,1,100,10,5500,3,5,360,0.2,4,4,,,,,,,,cft_bp,,0.5,2,2,,
Raven,CFT_raven,Destroyer,CFT Midline,burndrive,9,5200,880,6000,,240,105,,85,45,20,25,20,450,OMNI,,170,0.4,0.9,,,65,90,80,80,3,30,9,40000,5,10,420,0.25,9,9,,,,,,,,cft_bp,,0.4,2,3,,
Retourschip,CFT_retourschip,Tanker,CFT Midline,flarelauncher,12,7000,800,7200,,400,170,2,85,45,45,14,14,4000,OMNI,,200,0.5,1,,,50,100,500,3150,6,500,8,80000,2,20,720,0.25,10,10,,,,,,,"CIVILIAN, TANKER",cft_bp,,0.75,3,5,,
Schooner,CFT_schooner,Combat Freighter,CFT Midline,burndrive,12,4850,520,3700,,290,155,,70,35,25,25,15,450,OMNI,,120,0.4,1,,,50,100,650,90,3,37,9,38000,5,15,420,0.25,12,12,,,,,,,,cft_bp,,0.5,2,3,,
Scow,CFT_scow,Combat Freighter,CFT Midline,flarelauncher,4,1500,200,1850,,250,60,,120,175,100,90,120,200,FRONT,,170,0.4,0.9,,,10,40,100,30,1,30,10,7500,5,10,240,0.25,5,5,,,,,,,,cft_bp,,0.4,2,2,,
Shallop,CFT_shallop,Phase Destroyer,CFT Midline,acausaldisruptor,15,3000,650,5000,,600,95,,80,70,40,40,30,400,PHASE,phasecloak,90,,,0.05,0.04,25,50,70,100,2,50,9,125000,5,20,300,0.25,20,20,,,,,,,,cft_bp,,0.5,2,3,,
Sloop,CFT_sloop,Tanker,CFT Midline,flarelauncher,3,500,125,1150,,180,50,,120,80,65,40,60,200,OMNI,,120,0.5,1,,,5,10,35,325,1,300,9,9000,8,20,180,0.25,2,2,,,,,,,"CIVILIAN, TANKER",cft_bp,,0.7,2,4,,
Triton,CFT_triton,Battlecarrier,CFT Midline,recalldevice,30,17900,1500,19000,,920,355,6,65,30,30,14,14,3700,FRONT,,210,0.4,1,,,750,1500,300,400,15,27,8,490000,3,12,720,0.25,50,50,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",cft_bp,,0.4,2,4,,
Vasa,CFT_vasa,Phase Cruiser,CFT Midline,mine_strike,20,7000,950,12000,,1100,155,,95,70,40,20,30,1200,PHASE,phasecloak,,,,0.05,0.05,50,90,120,150,3,50,8,250000,4,15,420,0.25,28,28,,,,,,,,cft_bp,,0.5,2,3,,
Vergulde,CFT_vergulde,Freighter,CFT Midline,flarelauncher,6,1800,100,2300,,110,70,,90,55,35,30,20,350,OMNI,,95,0.6,1,,,10,20,500,80,1.5,66,10,29000,5,20,180,0.25,5,5,,,,,,,"CIVILIAN, FREIGHTER",cft_bp,,0,,,,
Vestale,CFT_vestale,Frigate,CFT Midline,burndrive,5,2800,90,3000,,300,55,2,120,100,85,55,50,270,OMNI,,270,0.4,0.9,,,50,80,200,80,3,30,10,9000,4,10,360,0.2,4,4,,,,,,,,cft_bp,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Drones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo,CFT_apollo,Missile Pod,CFT Midline,,,250,125,150,,110,0,,120,75,75,90,90,25,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Brig,CFT_brig,Interceptor Drone,CFT Midline,,,150,55,200,,110,0,,225,175,150,120,180,25,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Cutter,CFT_cutter,Fighter Drone,CFT Midline,,,800,200,400,,150,,,150,150,100,80,120,90,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Mizzen,CFT_mizzen,PD Pod,CFT Midline,flarelauncher_fighter,,100,80,200,,150,0,,120,75,75,130,130,15,OMNI,,270,0.5,0.8,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tender,CFT_tender,Mining Drone,CFT Midline,,,650,275,350,,150,0,,275,200,175,300,300,85,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skiff,CFT_skiff,Interceptor ,CFT Midline,,,250,400,1000,,120,0,,220,200,200,100,180,30,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Centurion,CFT_centurion,Interceptor ,CFT Midline,,,100,200,1000,,120,0,,250,210,210,120,180,15,FRONT,,120,0.2,0.8,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Dinghy,CFT_dingy,Heavy Bomber,CFT Midline,,,400,210,300,,100,,,110,150,200,120,180,100,OMNI,,90,0.2,0.8,,,5,5,,,,,,,,,,,,,,,,,,,,,,0,,,,
Skjold,CFT_skjold,Heavy Fighter,CFT Midline,flarelauncher_fighter,,800,500,200,,85,0,,130,180,150,100,200,60,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackburn,CFT_blackburn,Torpedo Bomber,CFT Midline,flarelauncher_fighter,,650,450,200,,75,0,,130,140,140,100,200,60,FRONT,,90,0.2,0.8,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkyd,CFT_arkyd,Combat Engineer Drone Deployer,CFT Midline,CFT_cedrones,,900,350,400,,150,,,80,100,100,80,120,115,NONE,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,0,,,,
