trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
FM_FM_Nightbugs_proj_trail,FM_Nightbugs_proj,FM_trail_2,10,0,0,0.5,25,200,"[212,253,212]","[180,255,219]",0.8,300,1100,0,40,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
FM_Kedama_system_project_trail,FM_Kedama_system_project,base_trail_smooth,10,0,0,0.1,10,25,"[135,255,205]","[100,255,205]",0.8,64,2200,0,0,1.0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
FM_Opposition_warhead_trail_p,FM_Opposition_warhead,base_trail_smooth,10,0,0.1,0.5,10,8,"[104,174,255]","[189,246,255]",0.8,64,2200,0,0,1.0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
#FM_WolfsFang_project_trail,FM_WolfsFang_project,base_trail_contrail,10,0,0.1,0.2,8,32,"[255,174,174]","[255,200,200]",0.6,64,2200,0,0,1.0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
FM_PetaFlare_project_trail,FM_PetaFlare_project,base_trail_smooth,10,0,0.2,0.5,32,16,"[255,210,130]","[255,210,130]",0.8,300,2200,10,10,1.0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
FM_PetaFlare_project_extra_trail,FM_PetaFlare_extra_project,base_trail_smooth,10,0,0,0.5,16,6,"[255,255,200]","[255,255,200]",0.5,300,2200,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
FM_PetaFlare_project_extra_l_trail,FM_PetaFlare_extra_l_project,base_trail_smooth,10,0,0,0.7,24,8,"[255,200,100]","[255,200,150]",0.6,300,2200,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
FM_DesireAccelerator_shell_trail,FM_DesireAccelerator_shell,base_trail_smooth,10,0,0.5,0.3,10,15,"[55,255,247]","[153,255,255]",0.5,300,500,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
FM_CaptureWeb_shell_trail,FM_CaptureWeb_shell,base_trail_smooth,10,0,0.5,1,10,8,"[255,234,255]","[255,234,255]",0.45,300,500,0,15,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
FM_Blade_ac_shell_trail,FM_Blade_ac_shell,base_trail_mild,10,0,0,0.3,26,10,"[0,200,200]","[100,200,200]",0.5,128,400,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
FM_Blade_ac_shell_trail_p,FM_Blade_ac_shell,base_trail_smooth,10,0,0,0.3,26,10,"[100,200,200]","[150,200,200]",0.3,128,400,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_RumiaSystemWeapon_shot_trail,FM_RumiaSystemWeapon_shot,base_trail_smooth,20,0,0.2,0.4,15,6,"[255,25,25]","[200,75,75]",0.8,500,700,0,10,0.9,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
FM_MikoBuiltIn_shot_trail,FM_MikoBuiltIn_shot,base_trail_zapWithCore,20,0,0,0.5,6,4,"[255,25,25]","[90,41,255]",0.7,350,700,0,0,0.9,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
FM_MikoBuiltIn_shot_trail_p,FM_MikoBuiltIn_shot,base_trail_smooth,20,0,0,0.5,6,4,"[255,125,125]","[190,141,255]",0.6,350,700,0,20,0.9,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
FM_SkySerpent_shot2_trail,FM_SkySerpent_shot2,base_trail_smooth,20,0,0.5,0.5,10,8,"[125,125,255]","[125,125,255]",0.7,350,700,0,0,0.9,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
FM_SkySerpent_shot3_trail,FM_SkySerpent_shot3,base_trail_smooth,20,0,0.5,0.5,10,8,"[125,125,255]","[125,125,255]",0.7,350,700,0,0,0.9,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
FM_Amulet_missile_trail,FM_Amulet_missile,base_trail_smooth,10,0,0.2,0.2,8,16,"[174,124,255]","[255,124,124]",0.4,64,2200,0,0.3,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,true
#FM_RumiaSystemWeapon_shot_trail_p,FM_RumiaSystemWeapon_shot,base_trail_weave,20,0,0,0.15,15,90,"[255,150,150]","[255,175,175]",0.6,300,400,0,0,0.9,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
#FM_PdMissile_project_trail,FM_PdMissile_project,base_trail_smooth,10,0,0,0.4,10,25,"[228,248,196]","[246,183,246]",0.5,64,2200,0,0,20,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
