id,type,text1,text2,text3
pn_korlo-skt,SHIP,"While phase-technology is inherently inefficient when powered with with P9 reactors, the Korlo-SKL is designed by the A.A.L.A defence bureau to maximise both that that inefficient phase-cloak and the reactor output. Having an enormous P9 reactor with no energy diversion to sheilds, it has fantastic mobility and an energy output far in excess of conventional battleships. Crews are not fond of serving on this ship however, as the persistent nausea among those working in proximity to the core is well known.",,
pn_spore,SHIP,"Initially engineered to be an advanced multi role fighter with variable weapon load-outs, the Spore was deemed to have a support profile incompatible with that of fighters. It was also deemed too expensive, too under preforming and too complicated to mass produce. Despite this, the vessel has become somewhat popular with a few freelance captains that need the versatility of a frigate in the package of a fighter.",,
pn_spore-mk2,SHIP,"A diligent attempt to salvage the Spore concept. This ship is designed to be an advanced multirole micro frigate, though after a decade of trials it has yet to be widely adopted.",,
pn_spore-mk3,SHIP,"The spore-MK3 is a refined and simplified version of the Spore-MK2 merged with the newly developed Raala Ray Blaster. The tiny hull of the Spore-MK2 has been extended and all non essential equipment have been stripped. The end result is a simplified heavy assault design that is much more suitable to carrier logistics than any of the other Spore-class ships".,,
pn_kaala,SHIP,"Yet again a ship fully designed by the A.A.L.A defence bureau, the P9 core of this ship is wired to an impressive central laser array that fuse 384 smaller beams together into one massive energy lance. However, the energy lance is also extremely energy hungry and can only be activated by supercharging the whole energy circutry of the ship. In practice this requires all manuvering thrusters to disengage while excess heat is vented out into the main thrusters.",,
pn_stress,SHIP,"A dedicated support interceptor, this nimble and excessively speedy figther is equipped with an EMP vulcan and a micro EMP emitter, a staple craft for any P9 fleet.",,
pn_samaa-dsi,SHIP,"Based on the frame of a predecessor to the Tri-Tachyon Paragon, this massive capital ship has a singular purpose, to incapacitate high value targets on the battlefield by overloading their sheilds.",,
pn_samaa-ebm,SHIP,"Based on the frame of a predecessor to the Tri-Tachyon Paragon, this massive capital ship is the P9 ship of the line in any of the rare super capital slugfests that they fail to avoid. It's unique ammo storage and charge capacitors does however interfere somewhat with other technologies, and the ship can not mount shield extenders.",,
pn_silverfish-mpk,SHIP,"A novel design, this new P9 cruiser is the fruit of years of kissing up to Blackrock executives. The result is a highly restrictive license to produce an earlier version of the Blackrock armor regenerator. The Silverfish's very unusual shape, armaments and speed boost system is actually a way of working around the restrictions of this license, and not because a pre planned design.",,
pn_saksh-t_turret,SHIP,"Though classed as a fighter, this is actually a P9 Shash defensive turret fitted with small thrusters for mobility and a phase-cloak powered by a separate antimatter core.",,
pn_louse,SHIP,"Simple and sturdy, this hauler lacks the speed to run away from most fast pirate vessels. This is however not necessarily a problem, as thick armor and superb shield generators coupled with P9 vessel design allows the ship to sustain heavy fire without flinching. Some commanders even take it to combat specifically to lure any foolish enemy to target the seemingly harmless freighter, opening themselves up to the withering fire of more fragile P9 ships.",,
pn_valkyrie,SHIP,"The Valkyrie is a standard destroyer-sized troop transport with enough room to carry two companies of marines. Why this commonly available and well proven design was even retrofitted by the P9 colony group is a mystery, a mystery likely linked to badly monitored defence procurement.",,
planet_tolpI,CUSTOM,"The surface charred by eons of radiation from Tolp, this planet is a ball of rock and metal, constantly heated by the intense radiation and radioactive decay from it's molten core. Thanks to the great abundance of rare ores the P9 collective maintains a small but strategically important mining outpost here.",,
planet_tolpII,CUSTOM,"A highly radioactive wasteland, this world was once the green oasis of Tolp. Chosen as a the location for the first P-series reactors, the surface became dotted with a multitude of interlinked P-reactors, producing antimatter-fuel for 17 different Domain systems. This all ended after the gate collapse, as in a bid for power and market dominance of the Persean sector the energy-selfreliant Tri-Tachyon corporation sought to cripple the energy supply for the remaining domain elements. Thus, seeing an imminent threat from domain worlds and a strategic weakness with the centralized energy-production center on Tolp II, the the Tri-Tachyon decided to detonate the P-reactors to permanently end their operation. Residents were given a 3 hour warning.",,
planet_tolpIII,CUSTOM,"While the surface is in places charred by eons of radiation from Tolp and multiple operating P9 reactors, the planet still contains habitable zones. This has led to this world being heavily colonized by the P9 collective, their numerous manufacturing colonies dotting the surface.",,
planet_tolpIV,CUSTOM,"Cold and mostly barren, aside from the subterranean headquarters of the A.A.L.A defence bureau and various large scale farming and mining operations the surface of this homeworld is not very populated. However, the orbit of of TolpIV is cluttered with orbital factories and habitats, with most of the habitats being clustered around the equator and industry at the poles.",,
planet_tolpV,CUSTOM,"Though used for some minor gas mining operations by private enteties, the orbit of TolpV contains little permanent infrastructure. The numerous stray asteroids that can threaten the inner planets are shot down by two automated military complexes, one at each pole.",,
planet_tolpVI,CUSTOM,"Thanks to this failed star and it's useful sibling Tolp V, the inner part of the solar system is rarely plagued by stray asteroids.",,
tolp_station,CUSTOM,"A massive P9 logistics-nexus, every day most Tolp IV residents pass through or work within this bumbling structure. After a Tri-Tachyon induced trade disruption in cycle 162 resulted in system-wide famine a gigantic agricultural section has been added. Thus the vast majority of the food consumed in the system is grown within the confines of this imposing structure.",,
tolp_piratestation,CUSTOM,"This station complex started out as a complex of open prisons. Here hardened criminals were supposed to re-adapt and reintegrate into society by getting first class education and work experience. Sadly, the famine of 162 led to a breakdown of security within the system an a small pirate flotilla seized the complex. Nowadays, the most well educated pirates in the sector can be found within the suprisingly clean cantinas of Complex 43.",,
tolp_hingistation,CUSTOM,"Never tolerant of its old spliter group, the Tri Tachyon corporation summoned a significant force in cycle 162 to establish a foothold in Tolp. Since then they have invested significantly in building up a permanent military presence in Tolp to contain what they consider rogue corporate assets.",,
star_tolpstar,PLANET,"Tolp, originally a shortening of Tri-Tachyon Orion-Leuiticus Project, is a system that was originally settled by the Tri-Tachyon corporation as a site to test their experimental P-series of reactors developed by the now defunct Orion-Leuiticus research subdivision. A very successful enterprise, the system became a pearl in the Tri-Tachyon crown, a leading exporter of antimatter fuel, providing energy for 17 different Domain worlds. Further spread of the P-series reactor technology was never realized due to issues with how to safely incorporate it with existing energy infrastructure and Tri-Tachyon was content with having their precious P-reactors localized in one easily controlled nexus.",,
pn_korlo-skt_elite,SHIP,"As P9 reactors are inherently incompatible with standard phase technology it takes effort and customized solutions to achieve any sustained phase times in ships powered by P9 reactors. This ship, designed and comissioned by the A.A.L.A defence bureau contains three separate cores and a non standard phase device to achieve this phase longivity. The strong radiation emitted from the three cores forces the crews assigned to this shipclass to submit themselves to four mandatory cancer screenings per day.",,
pn_eyfel,SHIP,"Designed as the linchpin for task forces on prolonged covert deployment far from friendly systems, this impressive hull is a rare sight as its mission profile has fallen out of favor due to encroaching Tri-Tachyon forces.",,
pn_thelep,SHIP,"An old but well tested design by the A.A.L.A defence bureau, this ship might lack the renowned staying power of other modern phase ships, but its battlefield agility still allow for effective use by experienced captains.",,
pn_aggr,SHIP,"More of a mobile gun emplacement than a proper ship, the Agg-R is built from the ground up with an emphasis on a solid defense interspersed with bursts of aggression.",,
pn_pdliner,SHIP,"A point defence platform obviously based upon the heavy modification of a common starliner hull. Multiple point defence batteries line the sides of this ship and multiple missile hardpoints sprout awkwardly from the sides. Yet the crew quarters that were not removed during the conversion is as spaceous as in any other starliner. It is obvious his ship was intended for intense military action but yet it retains a high degree of common civilian grade components within its hull, possibly due to it still being an early protype.",,
pn_cruiser,SHIP,"Seeing the that their traditional point defence platforms often proved incapable of taking down heavy armored fighters or modern shielded fighters, the A.A.L.A defence bureau developed the Mago Fighter Defence platform. A pure dedicated point defence ship the Mago-FD is designed to both act as an anchor and to clear the field from hostile fighters or ordinance that would otherwise restrict the engagement capabilities of nearby allied ships.",,
,,,,
pn_colony,FACTION,"The P9 colony group is a faction that sprung up from ashes of the former Tri-Tachyon colonies within the Tolp system. Though tied tightly to the Hegemony central command the faction has somehow been allowed a great deal of autonomy in both administration and industry. Theese unique freedoms along with their dependence of their propietary reactor technology have led the P9 Colony Group to develop a large amount of new technologies post collapse hulls to an extent that is almost unheard of in the wider sector.

The Tolp system was initially settled by the Tri-Tachyon corporation as a full scale test of their experimental P-series reactors. Labeled Project Orion Leuiticus the main colony was constructed on the geologically stable and habitable Tolp II. While the technology proved wholly incompatible with the current energy infrastructure, the colony itself was a huge success. The Tri-Tachyon corporation nurtured the Tolp system to become their energy production nexus, with great investments into their P-reactor technology, building thousands of interlinked reactors on the surface of Tolp II. Within a few decades the Tolp system was the main supplier of energy for 17 different domain systems, producing the energy needed by for a total of 96 billion humans.

This was not to last however. The Tri-Tachyon corporation always had a more confrontational stance against what they saw as the consistent inefficiency of the Domain and the restrictive regulations which it enforced within its spheare of control. When the gates went down the remaining Domain politys assembled mighty armadas to quell any armed rebellion against the authority of the Domain. Though they were battered and disorganised, the vast fleets of the Domain was deemed an overwhelming foe for the Tri-Tachyon forces. As the Domain fleets set their sights on strategic fuel and energy infrastructure, the Tri-Tachyon board of directors approved of a callous plan to increase the company's power and market dominance of the Persean sector. Detonate the reactors in Tolp, strangle the Domain forces within the sector, thereby allowing the energy independent Tri-Tachyon corporation to build up and muster their forces for the inevitable conflict.

While a tactically sound idea, it was to prove fatal for the vast majority of citizens of the Tolp system. A 3 hour warning was made to evacuate the system in face of the advancing Domain, failure to comply with evacuation orders would lead to immidiate contract termination and loss of severance bonus. No mentioning was made of the impending reactor detonations. As most citizens did not think the forces of the Domain would do them harm, they stayed put. 3 hours later, the surface of Tolp II lit up like a star, and half a billion lives were no more.

The evacuation of the remaining colonists and other assets within the Tolp system was not deemed a priority by the Tri-Tachyon asset evaluation algorithm, and starports along with other essential infrastructure was bombarded from orbit to deny all company assets to the forces of the Domain. The only surviving Tri-Tachyon infrastructure being a small subterranean research facility on Tolp IV which inexplicably denied the self destruct command sent by the orbiting Tri-Tachyon fleet.",, 
,,,,
pnphaseteleporter1,SHIP_SYSTEM,Long range teleporter.,,
pn_laser,SHIP_SYSTEM,A deadly beam and with an accompanying charge.,,
pn_microemp,SHIP_SYSTEM,A much more compact and weaker version of the common EMP.,,
pn_drone_sensor,SHIP_SYSTEM,Sensor drones that greatly expand view range.,,
pn_flarelauncher,SHIP_SYSTEM,A simple countermeasure system with unguided fragmentation rounds.,,
pn_chaffspray,SHIP_SYSTEM,Speed boost with simultaneous chaff deployment.,,
pn_empdrone,SHIP_SYSTEM,A small mobile EMP emitter to incapacitate and shoot down incoming missiles.,,
pn_burstburn,SHIP_SYSTEM,A very short speed burst to help with bombing runs.,,
pn_energyfeed,SHIP_SYSTEM,Supercharges the energy feeders to allow for faster energy weapon fire.,,
pn_drone_cimex,SHIP_SYSTEM,A simplified and autonomous version of the common Stress fighter.,,
pn_leap,SHIP_SYSTEM,An inverted version of the Sike's M-drive allows the ship to drastically increase in mass and launch itself into it's current direction. The gel armor effectively prevents any eventual collision damage.,,
pn_maneuver,SHIP_SYSTEM,Building up and releasing a massive flux charge through numerous auxiliary maneuvering jets and specialized ballistic mount vents allows the sluggish Agg-R to both re-position and go on the offense.,,
pnsilverfishphasecloak,SHIP_SYSTEM,Activates a short afterburner along with a minor dampeniing field. Though the armor repair license requires a heavily clamped speed limit for any vessel utilizing the technology, this can normally be circumvented via implementation of standardized auxilary thrusters. However, only a short pulsing of a boosted drive field without any auxilary thrusters nor any manuvering jets is allowed within the licence, this is clearly stated in section N5-B, paragraph 166.,,
pn_shortteleporter,SHIP_SYSTEM,A simplified and weaker version of the common displacer present on the Wolf and Medusa.,,
pn_singleemp,SHIP_SYSTEM,A longer range and shorter duration version of the common EMP.,,
pn_shortteleporter2,SHIP_SYSTEM,A short pulse of EM damage emananates out from the hull.,,
